firm,net_influence,net_strength,total_firsts,total_losses
ROCKWELL AUTOMATION,-7,-1.3376,6,13
UNUM GROUP,-42,-1.3428,5,47
QUALCOMM,-59,-1.3542,9,68
BERKSHIRE HATHAWAY,-27,-1.4038,37,64
LOEWS,-58,-1.4341,21,79
R.R. DONNELLEY & SONS,-21,-1.4527,1,22
INTEL,-12,-1.5558,21,33
UNITED TECHNOLOGIES,-14,-1.603,39,53
INTERPUBLIC GROUP,-19,-1.6102,9,28
JPMORGAN CHASE & CO.,5,-1.7105,64,59
DXC TECHNOLOGY,-32,-1.7485,15,47
CITIGROUP,19,-1.7708,69,50
DUPONT DE NEMOURS,-40,-1.7795,45,85
STARBUCKS,-10,-1.8746,2,12
ALASKA AIR GROUP,-12,-1.8897,7,19
METLIFE,-72,-1.9282,21,93
BLACKROCK,-19,-1.9596,11,30
CALPINE,-1,-2.0272,75,76
CITIZENS FINANCIAL GROUP,-34,-2.0314,12,46
EASTMAN CHEMICAL,-35,-2.3156,9,44
LIBERTY MUTUAL INSURANCE GROUP,-8,-2.3684,58,66
RYDER SYSTEM,-48,-2.3731,1,49
L3HARRIS TECHNOLOGIES,-48,-2.46,41,89
PEABODY ENERGY,-65,-2.4861,22,87
CISCO SYSTEMS,-35,-2.6753,8,43
UNITED PARCEL SERVICE,-56,-2.6877,16,72
MERCK,-23,-2.7279,21,44
DEAN FOODS,-7,-3.1267,26,33
GENERAL MOTORS,-46,-3.2858,23,69
MUTUAL OF OMAHA INSURANCE,-27,-3.3026,34,61
MCDONALD'S,-31,-3.5338,4,35
OMNICOM GROUP,-44,-3.6685,33,77
HORMEL FOODS,-24,-3.6796,14,38
SUPERVALU,-54,-3.7068,24,78
BAXTER INTERNATIONAL,-50,-4.0632,27,77
FISERV,-45,-4.1498,16,61
PPL,-19,-4.8726,67,86
HONEYWELL INTERNATIONAL,-23,-6.0074,76,99
CONSOLIDATED EDISON,-114,-6.5713,2,116
WEC ENERGY GROUP,-50,-7.0712,2,52
ALLY FINANCIAL,-99,-7.9611,5,104
TRAVELERS,-102,-8.0184,2,104
SOUTHERN,-77,-9.0925,39,116
GENERAL DYNAMICS,-103,-10.6224,7,110
