fortune_name,community_composite,community_affiliation,community_cosine,community_rbo,consensus_count,stability_label
MICRON TECHNOLOGY,0.0,5,0.0,6.0,1,partially_stable
MICROSOFT,0.0,5,0.0,0.0,2,partially_stable
MOLINA HEALTHCARE,2.0,2,2.0,2.0,3,fully_stable
MOLSON COORS BEVERAGE,5.0,5,5.0,7.0,2,partially_stable
MORGAN STANLEY,,1,1.0,,0,absent_from_composite
MOTOROLA SOLUTIONS,0.0,0,0.0,4.0,2,partially_stable
MUTUAL OF OMAHA INSURANCE,2.0,2,2.0,2.0,3,fully_stable
NATIONWIDE,1.0,1,4.0,7.0,1,partially_stable
NAVIENT,11.0,5,0.0,0.0,0,composite_divergent
NAVISTAR INTERNATIONAL,2.0,2,2.0,2.0,3,fully_stable
NCR,,1,1.0,,0,absent_from_composite
NEW YORK LIFE INSURANCE,1.0,1,1.0,1.0,3,fully_stable
NEWS CORP.,,5,0.0,,0,absent_from_composite
NEXTERA ENERGY,1.0,1,4.0,7.0,1,partially_stable
NIKE,0.0,5,5.0,0.0,1,partially_stable
NORFOLK SOUTHERN,10.0,0,3.0,10.0,1,partially_stable
NORTHERN TRUST,1.0,1,1.0,1.0,3,fully_stable
NORTHROP GRUMMAN,0.0,0,6.0,6.0,1,partially_stable
NORTHWESTERN MUTUAL,1.0,1,1.0,1.0,3,fully_stable
NRG ENERGY,,4,3.0,,0,absent_from_composite
NUCOR,6.0,4,5.0,6.0,1,partially_stable
OLIN,,4,3.0,,0,absent_from_composite
ONEOK,3.0,4,3.0,4.0,1,partially_stable
ORACLE,0.0,5,0.0,0.0,2,partially_stable
OSHKOSH,0.0,0,6.0,6.0,1,partially_stable
OWENS & MINOR,,2,4.0,,0,absent_from_composite
OWENS CORNING,0.0,0,6.0,7.0,1,partially_stable
OWENS-ILLINOIS,1.0,1,4.0,7.0,1,partially_stable
PEABODY ENERGY,3.0,4,3.0,4.0,1,partially_stable
PEPSICO,5.0,5,5.0,5.0,3,fully_stable
PG&E,4.0,4,3.0,4.0,2,partially_stable
PHILIP MORRIS INTERNATIONAL,,1,1.0,,0,absent_from_composite
PHILLIPS 66,3.0,4,3.0,4.0,1,partially_stable
PNC FINANCIAL SERVICES,1.0,1,1.0,1.0,3,fully_stable
POLARIS INC,0.0,0,6.0,6.0,1,partially_stable
PPG INDUSTRIES,0.0,0,4.0,7.0,1,partially_stable
PPL,4.0,4,3.0,4.0,2,partially_stable
PRINCIPAL FINANCIAL,1.0,1,1.0,0.0,2,partially_stable
PROCTER & GAMBLE,6.0,2,6.0,6.0,2,partially_stable
PRUDENTIAL FINANCIAL,1.0,1,1.0,7.0,2,partially_stable
PUBLIC SERVICE ENTERPRISE GROUP,4.0,4,3.0,4.0,2,partially_stable
PUBLIX SUPER MARKETS,1.0,1,1.0,7.0,2,partially_stable
QUALCOMM,0.0,5,0.0,0.0,2,partially_stable
QUEST DIAGNOSTICS,9.0,2,2.0,2.0,0,composite_divergent
QURATE RETAIL,11.0,5,0.0,0.0,0,composite_divergent
RAYTHEON,0.0,0,6.0,6.0,1,partially_stable
REGENERON PHARMACEUTICALS,2.0,2,2.0,2.0,3,fully_stable
REGIONS FINANCIAL,1.0,1,1.0,1.0,3,fully_stable
RITE AID,2.0,2,2.0,2.0,3,fully_stable
RYDER SYSTEM,,2,2.0,,0,absent_from_composite
S&P GLOBAL,5.0,1,4.0,7.0,0,composite_divergent
SALESFORCE,0.0,5,0.0,0.0,2,partially_stable
SEMPRA ENERGY,4.0,4,3.0,4.0,2,partially_stable
SHERWIN-WILLIAMS,0.0,4,3.0,6.0,0,composite_divergent
SOUTHERN,4.0,4,3.0,4.0,2,partially_stable
SOUTHWEST AIRLINES,7.0,0,6.0,6.0,0,composite_divergent
STANLEY BLACK & DECKER,0.0,5,0.0,0.0,2,partially_stable
STARBUCKS,,2,2.0,,0,absent_from_composite
STATE FARM INSURANCE,1.0,1,1.0,5.0,2,partially_stable
STATE STREET CORP.,1.0,1,1.0,1.0,3,fully_stable
SYNCHRONY FINANCIAL,1.0,1,1.0,1.0,3,fully_stable
SYSCO,5.0,5,5.0,5.0,3,fully_stable
TARGET,2.0,5,0.0,2.0,1,partially_stable
TENET HEALTHCARE,4.0,4,3.0,4.0,2,partially_stable
TENNECO,,4,7.0,,0,absent_from_composite
TESLA,3.0,4,3.0,4.0,1,partially_stable
TEXAS INSTRUMENTS,0.0,5,0.0,0.0,2,partially_stable
TEXTRON,0.0,0,6.0,6.0,1,partially_stable
