fortune_name,community_rbo,quarter
PRUDENTIAL FINANCIAL,2,3
W.R. BERKLEY,2,3
WESTERN UNION,2,3
AES,3,3
ALASKA AIR GROUP,3,3
AMERICAN AIRLINES GROUP,3,3
BAXTER INTERNATIONAL,3,3
BECTON DICKINSON,3,3
BOSTON SCIENTIFIC,3,3
CARDINAL HEALTH,3,3
DEAN FOODS,3,3
ECOLAB,3,3
FEDEX,3,3
GENERAL MILLS,3,3
HOME DEPOT,3,3
INTERNATIONAL PAPER,3,3
KIMBERLY-CLARK,3,3
KROGER,3,3
L3HARRIS TECHNOLOGIES,3,3
LOWE'S,3,3
MCDONALD'S,3,3
MOLSON COORS BEVERAGE,3,3
PEPSICO,3,3
S&P GLOBAL,3,3
SOUTHWEST AIRLINES,3,3
STANLEY BLACK & DECKER,3,3
SYSCO,3,3
UNITED AIRLINES HOLDINGS,3,3
WEYERHAEUSER,3,3
YUM BRANDS,3,3
ALTRIA GROUP,4,3
AMEREN,4,3
AMERICAN ELECTRIC POWER,4,3
BERKSHIRE HATHAWAY,4,3
CMS ENERGY,4,3
COCA-COLA,4,3
CSX,4,3
DOMINION ENERGY,4,3
DTE ENERGY,4,3
DUKE ENERGY,4,3
EXELON,4,3
FIRSTENERGY,4,3
GENERAL MOTORS,4,3
ILLINOIS TOOL WORKS,4,3
MARATHON PETROLEUM,4,3
NORFOLK SOUTHERN,4,3
NUCOR,4,3
ONEOK,4,3
PG&E,4,3
PHILLIPS 66,4,3
PPL,4,3
PUBLIC SERVICE ENTERPRISE GROUP,4,3
SOUTHERN,4,3
TESLA,4,3
UNION PACIFIC,4,3
XCEL ENERGY,4,3
ALPHABET,5,3
AMAZON,5,3
AT&T,5,3
CBS,5,3
CHARTER COMMUNICATIONS,5,3
CISCO SYSTEMS,5,3
COGNIZANT TECHNOLOGY SOLUTIONS,5,3
COMCAST,5,3
CUMMINS,5,3
EXXONMOBIL,5,3
FOX CORP,5,3
HEWLETT PACKARD ENTERPRISE,5,3
INTEL,5,3
LUMEN TECHNOLOGIES,5,3
MICROSOFT,5,3
MOTOROLA SOLUTIONS,5,3
NAVIENT,5,3
ORACLE,5,3
QUALCOMM,5,3
SALESFORCE,5,3
TEXAS INSTRUMENTS,5,3
VERIZON,5,3
WINDSTREAM HOLDINGS,5,3
3M,6,3
ADP,6,3
AMERISOURCEBERGEN,6,3
AMGEN,6,3
BIOGEN,6,3
BLACKSTONE GROUP,6,3
BRISTOL-MYERS SQUIBB,6,3
CENTENE,6,3
CIGNA,6,3
CVS HEALTH,6,3
ELI LILLY,6,3
HCA HEALTHCARE,6,3
HUMANA,6,3
JOHNSON & JOHNSON,6,3
LABORATORY CORP. OF AMERICA,6,3
MAGELLAN HEALTH,6,3
MERCK,6,3
MOLINA HEALTHCARE,6,3
NAVISTAR INTERNATIONAL,6,3
RITE AID,6,3
WALGREENS BOOTS ALLIANCE,6,3
WALMART,6,3
HILTON WORLDWIDE HOLDINGS,7,3
IHEARTMEDIA,7,3
LOEWS,7,3
MARRIOTT INTERNATIONAL,7,3
ABBOTT LABORATORIES,8,3
ARCHER DANIELS MIDLAND,8,3
DEERE,8,3
LAND O'LAKES,8,3
