client_name,community_aff,community_bc,stability,degree_aff,degree_bc,intra_edges_aff,cross_edges_aff,participation_aff,intra_edges_bc,cross_edges_bc,participation_bc
FLUOR,0,0.0,stable,178,16.54765063840376,90.0,88.0,0.5811,9.2775,7.2701,0.5823
FORD,1,1.0,stable,124,10.628988811891558,58.0,66.0,0.6253,5.2984,5.3306,0.6185
GAP,4,0.0,cross-community,58,7.622249460374169,15.0,43.0,0.7604,3.7782,3.844,0.6862
GENERAL DYNAMICS,0,0.0,stable,466,28.97368231994431,305.0,161.0,0.5223,17.426,11.5476,0.5822
GENERAL ELECTRIC,0,0.0,stable,332,27.870154323954758,170.0,162.0,0.6538,12.6013,15.2688,0.689
GENERAL MILLS,0,3.0,cross-community,47,2.5971951360835357,23.0,24.0,0.66,0.7115,1.8857,0.7063
GENERAL MOTORS,2,2.0,stable,282,27.05005225523785,139.0,143.0,0.6751,12.5135,14.5365,0.6906
GENWORTH FINANCIAL,1,1.0,stable,149,13.885674892025529,83.0,66.0,0.612,7.582,6.3037,0.5935
GILEAD SCIENCES,3,3.0,stable,313,27.795774179593568,140.0,173.0,0.6413,10.0102,17.7856,0.6682
GOLDMAN SACHS GROUP,1,1.0,stable,15,2.2713294886462734,15.0,0.0,0.0,2.2052,0.0661,0.0565
GOODYEAR TIRE & RUBBER,0,5.0,cross-community,57,1.2112159238483293,32.0,25.0,0.5214,0.6237,0.5875,0.5918
GUARDIAN LIFE INS. CO. OF AMERICA,1,3.0,cross-community,315,34.10499138249945,134.0,181.0,0.6833,10.2148,23.8902,0.7181
HALLIBURTON,2,2.0,stable,1,0.017222669020435535,1.0,0.0,0.0,0.0172,0.0,0.0
HARLEY-DAVIDSON,1,1.0,stable,5,0.3903046997735274,2.0,3.0,0.64,0.2339,0.1564,0.5527
HARTFORD FINANCIAL SERVICES,1,1.0,stable,263,22.17668798918886,208.0,55.0,0.3589,13.9171,8.2596,0.5595
HERSHEY,4,,cross-community,1,,1.0,0.0,0.0,0.0,0.0,
HEWLETT PACKARD ENTERPRISE,0,0.0,stable,427,37.018501199581195,267.0,160.0,0.5661,17.6281,19.3904,0.6837
HILTON WORLDWIDE HOLDINGS,1,1.0,stable,113,11.446489831514349,70.0,43.0,0.5617,6.4188,5.0277,0.6209
HOME DEPOT,4,4.0,stable,239,26.208349976290723,28.0,211.0,0.7555,2.864,23.3444,0.7513
HONEYWELL INTERNATIONAL,0,0.0,stable,290,24.51896580654557,161.0,129.0,0.5826,12.6635,11.8554,0.6211
HORMEL FOODS,4,2.0,cross-community,38,2.1456842675941363,10.0,28.0,0.7327,1.1222,1.0235,0.5924
HUMANA,3,3.0,stable,234,20.462755122669915,160.0,74.0,0.4948,11.6438,8.819,0.613
HUNTINGTON INGALLS INDUSTRIES,0,0.0,stable,245,22.05723378052939,180.0,65.0,0.434,15.7316,6.3256,0.4616
HUNTSMAN,0,0.0,stable,88,6.250753036134578,58.0,30.0,0.4925,4.9477,1.3031,0.3357
IBM,0,0.0,stable,674,49.35376766689269,399.0,275.0,0.6022,20.3594,28.9944,0.7301
IHEARTMEDIA,0,1.0,cross-community,144,15.033598779932428,78.0,66.0,0.6035,5.671,9.3626,0.6712
ILLINOIS TOOL WORKS,4,4.0,stable,99,11.556317675540425,27.0,72.0,0.7209,2.0565,9.4999,0.6992
INTEL,0,2.0,cross-community,140,16.179203821208002,79.0,61.0,0.537,7.9589,8.2203,0.5612
INTERNATIONAL PAPER,4,2.0,cross-community,144,15.26324778511217,27.0,117.0,0.7595,7.6581,7.6052,0.6722
INTUIT,1,1.0,stable,114,12.170914564795009,52.0,62.0,0.6525,4.0699,8.101,0.6956
J.M. SMUCKER,4,4.0,stable,13,1.2194355523494178,8.0,5.0,0.5799,1.0562,0.1633,0.2415
JETBLUE AIRWAYS,0,0.0,stable,56,6.283538382742644,29.0,27.0,0.6365,3.915,2.3686,0.5529
JOHNSON & JOHNSON,3,3.0,stable,412,28.808340668303632,198.0,214.0,0.6861,10.8387,17.9697,0.7369
JPMORGAN CHASE & CO.,1,1.0,stable,275,28.256959430194343,146.0,129.0,0.6193,15.1558,13.1012,0.625
KELLOGG,4,4.0,stable,36,3.860419200380195,10.0,26.0,0.7762,1.4857,2.3748,0.7361
KEURIG DR PEPPER,4,4.0,stable,44,3.883470837252647,31.0,13.0,0.4649,2.096,1.7875,0.5985
KEYCORP,1,1.0,stable,95,10.892076922439397,76.0,19.0,0.3417,7.8743,3.0177,0.4478
KIMBERLY-CLARK,3,1.0,cross-community,3,0.2829096072640999,1.0,2.0,0.6667,0.1248,0.1581,0.6313
KROGER,1,1.0,stable,101,11.259547449398053,38.0,63.0,0.7166,5.3346,5.925,0.6955
LABORATORY CORP. OF AMERICA,3,3.0,stable,189,19.002187176744812,80.0,109.0,0.6673,7.4428,11.5594,0.7001
LAND O'LAKES,4,0.0,cross-community,39,5.928675033932316,11.0,28.0,0.7324,2.9682,2.9604,0.675
LAS VEGAS SANDS,1,1.0,stable,12,0.706249388325988,4.0,8.0,0.7639,0.264,0.4423,0.6574
LENNAR,2,2.0,stable,42,2.9210631284958963,16.0,26.0,0.6621,1.4698,1.4512,0.6277
LIBERTY MEDIA,0,1.0,cross-community,47,1.919279336059426,23.0,24.0,0.6673,1.4525,0.4668,0.3942
LIBERTY MUTUAL INSURANCE GROUP,1,1.0,stable,276,19.877431316007367,124.0,152.0,0.7111,5.9125,13.965,0.7412
LKQ,0,0.0,stable,4,0.09594429758694537,3.0,1.0,0.375,0.0959,0.0,0.0
LOCKHEED MARTIN,0,0.0,stable,612,40.333836991309745,386.0,226.0,0.5497,19.4371,20.8968,0.6728
LOEWS,1,1.0,stable,43,4.61692592385375,35.0,8.0,0.3213,3.5981,1.0188,0.3672
LOWE'S,4,4.0,stable,54,5.830296089273844,23.0,31.0,0.6907,2.5584,3.2719,0.6438
M&T BANK CORP.,1,1.0,stable,18,1.285415060519972,18.0,0.0,0.0,1.2854,-0.0,-0.0
MAGELLAN HEALTH,3,3.0,stable,124,11.751893709891494,108.0,16.0,0.2336,9.7345,2.0174,0.3025
MARATHON OIL,4,2.0,cross-community,1,0.008596185494737622,1.0,0.0,0.0,0.0086,0.0,0.0
MARATHON PETROLEUM,2,2.0,stable,237,21.525909325194377,149.0,88.0,0.5492,11.914,9.6119,0.615
MARRIOTT INTERNATIONAL,1,1.0,stable,65,7.015582416786647,44.0,21.0,0.5051,4.5144,2.5012,0.5226
MARSH & MCLENNAN,1,1.0,stable,234,26.80618122835088,78.0,156.0,0.7343,8.5976,18.2086,0.7476
MASCO,0,2.0,cross-community,13,0.358330617516077,9.0,4.0,0.426,0.2051,0.1533,0.4896
MASSACHUSETTS MUTUAL LIFE INSURANCE,1,1.0,stable,127,6.130856885982659,115.0,12.0,0.1772,5.2275,0.9034,0.2638
MASTERCARD,4,0.0,cross-community,76,8.06136972741788,13.0,63.0,0.7247,3.0125,5.0489,0.7191
MCDONALD'S,4,4.0,stable,22,2.500704327894941,6.0,16.0,0.7645,0.6823,1.8184,0.7539
MCKESSON,3,3.0,stable,110,13.473261487080757,78.0,32.0,0.4691,8.9714,4.5018,0.5182
MERCK,3,3.0,stable,477,19.724483556135194,243.0,234.0,0.6129,9.485,10.2395,0.653
METLIFE,1,1.0,stable,210,18.285654444792254,103.0,107.0,0.687,9.7445,8.5412,0.6455
MGM RESORTS INTERNATIONAL,2,0.0,cross-community,35,3.8362170610599122,15.0,20.0,0.6269,2.1923,1.6439,0.5814
MICRON TECHNOLOGY,0,0.0,stable,236,20.539365211727475,158.0,78.0,0.4968,14.4046,6.1347,0.4656
MICROSOFT,0,0.0,stable,585,35.99534267192559,370.0,215.0,0.5562,15.0088,20.9866,0.7141
MOLINA HEALTHCARE,3,3.0,stable,86,9.140878141564505,69.0,17.0,0.3415,7.1144,2.0265,0.377
MORGAN STANLEY,1,0.0,cross-community,158,14.708062133604056,48.0,110.0,0.6751,7.1262,7.5818,0.6545
MOSAIC,2,5.0,cross-community,13,0.7435608243564351,11.0,2.0,0.2604,0.5075,0.2361,0.4334
MOTOROLA SOLUTIONS,0,0.0,stable,356,27.688904736188167,248.0,108.0,0.476,15.6968,11.9921,0.6026
MUTUAL OF OMAHA INSURANCE,3,1.0,cross-community,366,27.993552071100652,147.0,219.0,0.6487,13.1468,14.8468,0.6402
NATIONWIDE,1,1.0,stable,737,34.14031816186812,473.0,264.0,0.5424,15.4484,18.692,0.6942
