firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
J.M. SMUCKER,4,0.106061,-1.0577,0.2415,0.000967,peripheral
NRG ENERGY,2,0.105829,-0.0171,0.1718,0.003001,peripheral
ADOBE,1,0.105384,-0.1186,0.5554,0.00384,peripheral
ALTRIA GROUP,3,0.102503,-0.3879,0.7443,0.005614,non_hub_connector
KEYCORP,0,0.101693,0.3304,0.4478,0.003219,peripheral
DAVITA,1,0.101349,-0.1806,0.5227,0.003376,peripheral
NORTHERN TRUST,0,0.099524,0.5,0.4046,0.003633,peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,0,0.098538,-0.227,0.2638,0.001945,peripheral
SOUTHWEST AIRLINES,1,0.098134,-0.1883,0.6956,0.004771,non_hub_connector
THERMO FISHER SCIENTIFIC,1,0.096219,-0.2716,0.6049,0.00372,peripheral
NEXTERA ENERGY,2,0.095933,-0.1929,0.6341,0.003225,non_hub_connector
FLUOR,1,0.095599,-0.1311,0.5823,0.00419,peripheral
DISCOVER FINANCIAL SERVICES,0,0.0949,-0.1282,0.6065,0.003049,peripheral
CELGENE,3,0.094338,-0.4384,0.361,0.001822,peripheral
CITIGROUP,0,0.093896,0.3719,0.6094,0.004134,peripheral
CSX,1,0.093778,-0.3166,0.5151,0.003131,peripheral
TESLA,2,0.093735,-0.0832,0.5585,0.003107,peripheral
BLACKSTONE GROUP,3,0.091745,-0.4605,0.2974,0.001769,peripheral
FORD,0,0.09174,-0.2121,0.6185,0.003,peripheral
LIBERTY MUTUAL INSURANCE GROUP,0,0.091484,-0.0827,0.7412,0.005381,non_hub_connector
INTERNATIONAL PAPER,2,0.090849,-0.003,0.6722,0.004609,non_hub_connector
CONOCOPHILLIPS,2,0.090164,-0.0741,0.6674,0.004716,non_hub_connector
NAVISTAR INTERNATIONAL,3,0.085806,-0.5141,0.5133,0.002482,peripheral
CISCO SYSTEMS,1,0.085657,-0.0296,0.6016,0.004528,peripheral
CHEMOURS,2,0.084127,-0.0649,0.5556,0.003549,peripheral
ASSURANT,0,0.083453,-0.3658,0.2379,0.001763,peripheral
TWENTY-FIRST CENTURY FOX,0,0.082908,-0.0437,0.5503,0.003156,peripheral
KROGER,0,0.081835,-0.2044,0.6955,0.003423,non_hub_connector
WESTERN UNION,0,0.080018,-0.144,0.0197,0.001993,ultra_peripheral
MCDONALD'S,4,0.077229,-1.4432,0.7539,0.001177,non_hub_connector
ALPHABET,1,0.075937,-0.3217,0.5778,0.003537,peripheral
TRAVELERS,0,0.074624,-0.0517,0.6659,0.003826,non_hub_connector
TEXAS INSTRUMENTS,1,0.074481,-0.2102,0.5696,0.003984,peripheral
HILTON WORLDWIDE HOLDINGS,0,0.073837,0.0239,0.6209,0.00348,peripheral
IHEARTMEDIA,0,0.073515,-0.1336,0.6712,0.004996,non_hub_connector
MORGAN STANLEY,1,0.072184,-0.4779,0.6545,0.003901,non_hub_connector
ABBOTT LABORATORIES,1,0.071328,-0.6196,0.617,0.003094,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,1,0.068814,-0.5053,0.475,0.002727,peripheral
OWENS CORNING,2,0.068738,-0.3368,0.6369,0.003058,non_hub_connector
PAYPAL HOLDINGS,0,0.067553,-0.0784,0.3152,0.002423,peripheral
S&P GLOBAL,2,0.066747,-0.41,0.6535,0.002746,non_hub_connector
EXPEDIA GROUP,1,0.064393,-0.6224,0.4022,0.002337,peripheral
AFLAC,3,0.06384,-0.8302,0.6408,0.001868,non_hub_connector
VISA,0,0.060357,-0.2139,0.6879,0.003637,non_hub_connector
WELLS FARGO,0,0.058766,-0.1235,0.3963,0.002498,peripheral
ALLY FINANCIAL,0,0.057844,-0.0322,0.5075,0.00287,peripheral
SYNCHRONY FINANCIAL,0,0.054954,-0.4486,0.5545,0.002155,peripheral
FIFTH THIRD BANCORP,0,0.052438,-0.1986,0.0547,0.002032,peripheral
HUNTSMAN,1,0.051801,-0.829,0.3357,0.001885,peripheral
ZIMMER BIOMET HOLDINGS,3,0.051754,-0.937,0.5339,0.001436,peripheral
QUEST DIAGNOSTICS,3,0.050854,-0.8731,0.7331,0.002891,non_hub_connector
AMERICAN TOWER,1,0.05078,-0.9151,0.6108,0.002295,peripheral
REGIONS FINANCIAL,0,0.050319,-0.4356,0.5764,0.002234,peripheral
PUBLIX SUPER MARKETS,0,0.049769,-0.6886,0.3494,0.001547,peripheral
LOEWS,0,0.048942,-0.5701,0.3672,0.002327,peripheral
USAA,0,0.048938,-0.6162,0.1269,0.00148,peripheral
APPLE,1,0.048003,-0.6192,0.5496,0.00307,peripheral
INTUIT,0,0.047859,-0.4707,0.6956,0.003697,non_hub_connector
CITIZENS FINANCIAL GROUP,0,0.047351,-0.318,0.341,0.002142,peripheral
MARRIOTT INTERNATIONAL,0,0.045239,-0.3771,0.5226,0.002526,peripheral
COMCAST,3,0.045218,-1.0383,0.7432,0.002599,non_hub_connector
AMERISOURCEBERGEN,3,0.04418,-0.9387,0.6072,0.001764,peripheral
CBS,0,0.041285,-0.6613,0.6381,0.002058,non_hub_connector
REGENERON PHARMACEUTICALS,3,0.041108,-1.0114,0.2128,0.001108,peripheral
JETBLUE AIRWAYS,1,0.04092,-0.9955,0.5529,0.001937,peripheral
VIACOM,0,0.040399,-0.6054,0.4322,0.001718,peripheral
CHS,2,0.037046,-0.6104,0.6446,0.002505,non_hub_connector
TARGET,0,0.03617,-0.7082,0.5871,0.002011,peripheral
DISH NETWORK,1,0.035058,-1.1044,0.5322,0.001744,peripheral
GAP,1,0.033297,-1.0176,0.6862,0.002492,non_hub_connector
OCCIDENTAL PETROLEUM,2,0.033284,-0.8998,0.0616,0.001029,peripheral
QUALCOMM,1,0.032798,-1.0692,0.5236,0.001871,peripheral
CONSTELLATION BRANDS,0,0.032462,-0.5992,0.2053,0.001685,peripheral
PNC FINANCIAL SERVICES,0,0.031207,-0.6785,0.2592,0.001484,peripheral
MASTERCARD,1,0.029447,-1.141,0.7191,0.002541,non_hub_connector
NIKE,1,0.028626,-1.0237,0.5257,0.002122,peripheral
CARDINAL HEALTH,3,0.028214,-0.9863,0.6383,0.001667,non_hub_connector
ONEOK,2,0.027866,-0.8391,0.4916,0.00153,peripheral
LAND O'LAKES,1,0.027075,-1.1481,0.675,0.001939,non_hub_connector
XEROX,0,0.024532,-0.9843,0.1484,0.001003,peripheral
