fortune_name,community_rbo,quarter
LIBERTY MUTUAL INSURANCE GROUP,4,5
LIVE NATION ENTERTAINMENT,4,5
MARATHON OIL,4,5
MCDONALD'S,4,5
NORTHROP GRUMMAN,4,5
QUEST DIAGNOSTICS,4,5
WESTROCK,4,5
ALPHABET,5,5
AMAZON,5,5
COGNIZANT TECHNOLOGY SOLUTIONS,5,5
CUMMINS,5,5
GENERAL MILLS,5,5
HEWLETT PACKARD ENTERPRISE,5,5
INTEL,5,5
MICROSOFT,5,5
NAVISTAR INTERNATIONAL,5,5
ORACLE,5,5
SALESFORCE,5,5
STANLEY BLACK & DECKER,5,5
TEXAS INSTRUMENTS,5,5
WINDSTREAM HOLDINGS,5,5
AECOM,6,5
BERKSHIRE HATHAWAY,6,5
CSX,6,5
NORFOLK SOUTHERN,6,5
UNION PACIFIC,6,5
VALERO ENERGY,6,5
ALLY FINANCIAL,7,5
STATE STREET CORP.,7,5
VISA,7,5
ARAMARK,8,5
JACOBS ENGINEERING GROUP,8,5
CHEMOURS,9,5
EMERSON ELECTRIC,9,5
DEERE,10,5
LAND O'LAKES,10,5
GAP,11,5
NIKE,11,5
KEURIG DR PEPPER,12,5
WASTE MANAGEMENT,12,5
