firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
CHARTER COMMUNICATIONS,4,0.004572,-0.9489,0.6198,0.002414,0.024977,peripheral
PEPSICO,3,0.003885,0.7464,0.0741,0.007002,0.027065,peripheral
WALMART,1,0.003845,0.3505,0.0538,0.005435,0.026323,peripheral
MAGELLAN HEALTH,1,0.003576,-0.7574,0.3734,0.002023,0.023513,peripheral
HOME DEPOT,3,0.003399,0.4149,0.337,0.00664,0.029711,peripheral
U.S. BANCORP,1,0.003381,-1.0737,0.3383,0.001334,0.022131,peripheral
AMERISOURCEBERGEN,1,0.003369,0.009,0.0,0.004212,0.024634,ultra_peripheral
REGIONS FINANCIAL,1,0.003342,-0.9527,0.2303,0.002351,0.022401,peripheral
DUPONT DE NEMOURS,0,0.003017,-1.2028,0.4745,0.001169,0.022391,peripheral
LOWE'S,3,0.002688,0.6672,0.0,0.00664,0.025691,ultra_peripheral
DEAN FOODS,3,0.002649,0.2012,0.2414,0.005629,0.025469,peripheral
MOLSON COORS BEVERAGE,3,0.002644,-0.8869,0.1049,0.002743,0.022402,peripheral
NAVIENT,4,0.00211,-1.0356,0.2963,0.001595,0.021776,peripheral
BLACKSTONE GROUP,1,0.002088,-0.7892,0.1688,0.002867,0.022351,peripheral
CONSTELLATION BRANDS,1,0.002013,-0.8045,0.2538,0.002561,0.023489,peripheral
ALTRIA GROUP,3,0.001873,-1.2178,0.0,0.001441,0.021609,ultra_peripheral
WALGREENS BOOTS ALLIANCE,1,0.001812,-0.5308,0.0,0.002679,0.023035,ultra_peripheral
ONEOK,0,0.001775,-1.1208,0.0,0.001507,0.022109,ultra_peripheral
EDISON INTERNATIONAL,0,0.001576,-1.169,0.242,0.001296,0.022045,peripheral
BRISTOL-MYERS SQUIBB,1,0.00149,-0.8614,0.3985,0.001915,0.023353,peripheral
SYSCO,3,0.001489,-0.1896,0.0,0.00399,0.023915,ultra_peripheral
LIBERTY MEDIA,4,0.001487,-0.8941,0.0,0.003281,0.022076,ultra_peripheral
TRAVELERS,1,0.001483,-0.8784,0.0,0.002106,0.021952,ultra_peripheral
HCA HEALTHCARE,4,0.001308,-1.1216,0.6376,0.001009,0.022019,non_hub_connector
KEYCORP,1,0.000415,-1.0782,0.0,0.001638,0.021357,ultra_peripheral
YUM BRANDS,3,0.000333,-0.4841,0.1047,0.004381,0.02311,peripheral
JOHNSON & JOHNSON,1,0.00031,-1.0614,0.623,0.001487,0.024969,peripheral
KROGER,3,0.000252,-0.5047,0.2618,0.005054,0.023305,peripheral
S&P GLOBAL,3,0.00023,-1.2847,0.0,0.001359,0.021397,ultra_peripheral
MCDONALD'S,3,0.000164,-0.7372,0.0,0.00335,0.02246,ultra_peripheral
HP,4,0.000158,-1.1442,0.3528,0.000853,0.021306,peripheral
