firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
NORFOLK SOUTHERN,3,0.093814,0.1345,0.3867,0.004787,peripheral
CSX,3,0.093215,0.053,0.2843,0.004167,peripheral
POLARIS INDUSTRIES,1,0.091566,-0.6702,0.1442,0.00149,peripheral
MARATHON PETROLEUM,3,0.090953,0.143,0.4214,0.005583,peripheral
UNION PACIFIC,3,0.090542,0.1315,0.3749,0.004692,peripheral
NAVISTAR INTERNATIONAL,4,0.090084,-0.5896,0.1304,0.003144,peripheral
AMERISOURCEBERGEN,4,0.089687,-0.8278,0.1169,0.002569,peripheral
AT&T,2,0.088855,0.259,0.167,0.004324,peripheral
ADOBE,1,0.08794,-0.5448,0.5521,0.002081,peripheral
DELL TECHNOLOGIES,2,0.081212,0.0448,0.694,0.005906,non_hub_connector
EASTMAN CHEMICAL,7,0.079043,-0.4951,0.5801,0.002374,peripheral
ILLINOIS TOOL WORKS,1,0.077788,0.7265,0.2791,0.004725,peripheral
NORTHWESTERN MUTUAL,0,0.076958,-0.4055,0.597,0.004427,peripheral
COMCAST,2,0.076103,-0.2271,0.6357,0.004129,non_hub_connector
EXXONMOBIL,3,0.075353,-0.197,0.5714,0.005485,peripheral
REGENERON PHARMACEUTICALS,4,0.074778,-0.9605,-0.0,0.002102,ultra_peripheral
CAPITAL ONE FINANCIAL,1,0.073496,-0.1516,0.7168,0.004959,non_hub_connector
VERIZON,2,0.073454,-0.1498,0.3967,0.00345,peripheral
KEURIG DR PEPPER,1,0.071995,-0.2284,0.5769,0.003416,peripheral
S&P GLOBAL,5,0.071489,-1.0209,0.7094,0.001339,non_hub_connector
CELGENE,4,0.069829,-0.9611,-0.0,0.002114,ultra_peripheral
AMERIPRISE FINANCIAL,0,0.067846,-0.6645,0.276,0.003084,peripheral
CITIGROUP,0,0.066618,0.2007,0.2818,0.005086,peripheral
HUNTSMAN,1,0.06492,-0.7319,0.5754,0.002054,peripheral
ALLSTATE,0,0.062694,0.0707,0.135,0.004282,peripheral
AES,3,0.061565,-1.0076,0.3985,0.002243,peripheral
ANIXTER INTERNATIONAL,3,0.060511,-0.5621,0.4585,0.00353,peripheral
WELLS FARGO,0,0.059613,0.4943,0.0,0.005,ultra_peripheral
SEMPRA ENERGY,3,0.059319,-0.5398,0.6157,0.004449,peripheral
PHILLIPS 66,3,0.057652,-0.4933,0.5682,0.00409,peripheral
TESLA,3,0.056958,-0.6566,0.5798,0.003979,peripheral
KEYCORP,0,0.056077,-0.319,0.0951,0.003249,peripheral
NEXTERA ENERGY,0,0.055355,-1.0275,0.5833,0.002644,peripheral
HARTFORD FINANCIAL SERVICES,0,0.05464,-0.5617,0.6282,0.004421,non_hub_connector
FIFTH THIRD BANCORP,0,0.053201,-0.0064,0.0,0.00372,ultra_peripheral
MOTOROLA SOLUTIONS,3,0.05274,-0.8838,0.6994,0.004431,non_hub_connector
DISCOVER FINANCIAL SERVICES,1,0.051685,-0.5095,0.5794,0.002404,peripheral
REGIONS FINANCIAL,0,0.050294,0.2479,0.0,0.00424,ultra_peripheral
AMERICAN EXPRESS,0,0.050088,0.2891,0.4185,0.005684,peripheral
XEROX,0,0.049007,-1.1465,0.0,0.001388,ultra_peripheral
LAND O'LAKES,7,0.047467,-1.2982,0.4063,0.000973,peripheral
CLOROX,6,0.047446,-1.3602,0.0,0.00085,ultra_peripheral
WALGREENS BOOTS ALLIANCE,4,0.045471,-0.8957,0.3526,0.003689,peripheral
TRAVELERS,0,0.042286,0.1609,0.4438,0.005683,peripheral
DUPONT DE NEMOURS,3,0.041988,-1.1701,0.3834,0.001776,peripheral
HONEYWELL INTERNATIONAL,2,0.040904,-0.6629,0.7824,0.003051,non_hub_connector
ALLY FINANCIAL,0,0.040882,0.1966,0.1068,0.004439,peripheral
VISA,0,0.040858,0.0226,0.4848,0.006252,peripheral
KELLOGG,5,0.039842,-0.4393,0.4796,0.002427,peripheral
GENERAL MILLS,2,0.039165,-0.4579,0.6172,0.003021,peripheral
VALERO ENERGY,3,0.038865,-0.7068,0.7202,0.005055,non_hub_connector
WHIRLPOOL,1,0.038168,-0.4449,0.1298,0.002087,peripheral
MARSH & MCLENNAN,0,0.037845,-0.5784,0.7167,0.004883,non_hub_connector
CHARLES SCHWAB,0,0.037469,-0.8512,0.0551,0.002089,peripheral
BAXTER INTERNATIONAL,4,0.036217,-1.2587,0.6716,0.002583,non_hub_connector
TENET HEALTHCARE,4,0.034335,-1.1789,0.5592,0.002456,peripheral
OSHKOSH,1,0.032415,-0.7808,0.2544,0.001654,peripheral
CONOCOPHILLIPS,3,0.032411,-1.0058,0.7008,0.003441,non_hub_connector
ONEOK,3,0.032291,-1.1185,0.3118,0.002053,peripheral
ASSURANT,0,0.032274,-0.8682,0.3059,0.002339,peripheral
PNC FINANCIAL SERVICES,0,0.0318,-0.2782,0.0,0.003194,ultra_peripheral
JETBLUE AIRWAYS,1,0.031642,-0.6242,0.5385,0.002314,peripheral
WESTERN UNION,0,0.029919,-0.6043,0.0,0.002625,ultra_peripheral
QUALCOMM,2,0.029736,-0.7743,0.3389,0.001438,peripheral
STATE FARM INSURANCE,0,0.029647,-0.6895,0.5163,0.003817,peripheral
LENNAR,1,0.028965,-0.5555,0.2462,0.002127,peripheral
IHEARTMEDIA,2,0.027663,-0.8309,0.3539,0.001251,peripheral
ARAMARK,6,0.027186,-1.4237,0.4923,0.00092,peripheral
PEABODY ENERGY,3,0.025998,-1.1759,0.0,0.001539,ultra_peripheral
OWENS CORNING,1,0.025965,-0.2793,0.4886,0.003352,peripheral
CATERPILLAR,3,0.025192,-0.9554,0.8221,0.005212,kinless
GOLDMAN SACHS GROUP,0,0.025164,-0.5702,0.0,0.002598,ultra_peripheral
SYNCHRONY FINANCIAL,0,0.023711,-0.9087,0.3162,0.00222,peripheral
CBS,2,0.023517,-0.5278,0.3817,0.002659,peripheral
ADVANCED MICRO DEVICES,2,0.023472,-0.702,0.0872,0.001886,peripheral
AMERICAN TOWER,1,0.023255,-1.0794,0.301,0.001008,peripheral
MASCO,1,0.021492,-0.7648,0.0,0.001569,ultra_peripheral
CHEMOURS,1,0.020861,-0.4357,0.609,0.003995,peripheral
J.M. SMUCKER,5,0.020542,-0.691,0.0,0.001509,ultra_peripheral
ALTRIA GROUP,5,0.019679,-1.2435,0.0,0.000752,ultra_peripheral
GOODYEAR TIRE & RUBBER,2,0.019504,-0.8259,0.4586,0.002156,peripheral
DISH NETWORK,1,0.018843,-1.1004,0.647,0.001189,non_hub_connector
AK STEEL HOLDING,1,0.018296,-0.637,0.2988,0.002239,peripheral
CHENIERE ENERGY,3,0.017901,-1.363,0.0,0.001243,ultra_peripheral
CITIZENS FINANCIAL GROUP,0,0.01758,-0.319,0.1192,0.003602,peripheral
CONSTELLATION BRANDS,0,0.017273,-0.3782,0.0,0.003299,ultra_peripheral
CHEVRON,7,0.016557,-1.1983,0.633,0.001457,non_hub_connector
MCKESSON,2,0.015896,-0.898,0.6889,0.001297,non_hub_connector
PUBLIX SUPER MARKETS,0,0.01529,-1.309,0.2451,0.001551,peripheral
LIBERTY MUTUAL INSURANCE GROUP,0,0.015165,-0.9692,0.5931,0.002679,peripheral
ABM INDUSTRIES,3,0.014852,-1.4027,0.5308,0.001558,peripheral
WESTERN DIGITAL,2,0.014805,-0.7841,0.0,0.001545,ultra_peripheral
KIMBERLY-CLARK,5,0.01465,-1.098,0.0,0.000928,ultra_peripheral
NIKE,2,0.014023,-0.8071,0.5962,0.001954,peripheral
OCCIDENTAL PETROLEUM,3,0.013706,-1.572,0.0,0.000776,ultra_peripheral
AFLAC,4,0.01366,-1.5112,0.1653,0.000921,peripheral
MGM RESORTS INTERNATIONAL,1,0.01334,-1.118,0.5158,0.001212,peripheral
PAYPAL HOLDINGS,0,0.013006,-0.7298,0.1537,0.002601,peripheral
BORGWARNER,2,0.012811,-0.9489,0.4082,0.000922,peripheral
GAP,2,0.01233,-0.6453,0.0,0.00251,ultra_peripheral
NUCOR,1,0.010764,-0.8609,0.2401,0.001653,peripheral
