source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced,directed_bills,lobbyist_mediated,firm_mediated,any_mediated,mean_lag_quarters,net_lob_connected,net_firm_connected,net_any_connected,lobbyist_mediation_rate,firm_mediation_rate,any_mediation_rate
ABBVIE,DUKE ENERGY,0.001024,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,ELI LILLY,0.097,0,0,3,3,0,1,,,,,,,,,,,
ABBVIE,ENTERGY,0.006489,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,EVERSOURCE ENERGY,0.001291,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,EXXONMOBIL,0.001024,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,FACEBOOK,0.334573,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,FIFTH THIRD BANCORP,0.085908,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,FLUOR,0.003142,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GENERAL DYNAMICS,0.005922,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GENERAL ELECTRIC,0.182491,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,GENERAL MOTORS,0.001643,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,GENWORTH FINANCIAL,0.138565,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GILEAD SCIENCES,0.141067,3,1,5,9,2,0,4.0,0.0,0.0,0.0,1.5,False,False,False,0.0,0.0,0.0
ABBVIE,GOLDMAN SACHS GROUP,0.249875,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,GRAPHIC PACKAGING HOLDING,0.003142,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HARTFORD FINANCIAL SERVICES,0.334573,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HCA HEALTHCARE,0.120355,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HONEYWELL INTERNATIONAL,0.026834,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,HUMANA,0.08485,3,0,3,6,3,0,3.0,0.0,0.0,0.0,2.6666666666666665,False,False,False,0.0,0.0,0.0
ABBVIE,HUNTSMAN,0.16375,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,IBM,0.019529,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,INTERNATIONAL PAPER,0.007563,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,JOHNSON & JOHNSON,0.026024,3,0,4,7,3,0,3.0,0.0,0.0,0.0,1.3333333333333333,False,False,False,0.0,0.0,0.0
ABBVIE,LABORATORY CORP. OF AMERICA,0.026586,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,LEIDOS HOLDINGS,0.006389,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,LOCKHEED MARTIN,0.002592,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MAGELLAN HEALTH,0.141677,0,0,5,5,0,1,,,,,,,,,,,
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.272905,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MCKESSON,0.004747,1,0,0,1,1,0,1.0,0.0,0.0,0.0,4.0,False,False,False,0.0,0.0,0.0
ABBVIE,MERCK,0.256863,7,0,2,9,7,0,7.0,0.0,0.0,0.0,3.2857142857142856,False,False,False,0.0,0.0,0.0
ABBVIE,METLIFE,0.122905,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MICRON TECHNOLOGY,0.001295,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MICROSOFT,0.020823,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MOLINA HEALTHCARE,0.055279,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.064887,3,0,1,4,3,0,3.0,0.0,0.0,0.0,2.3333333333333335,False,False,False,0.0,0.0,0.0
ABBVIE,NATIONWIDE,0.334573,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,NAVISTAR INTERNATIONAL,0.028526,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ABBVIE,NEXTERA ENERGY,0.272905,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,NORTHROP GRUMMAN,0.00559,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,ORACLE,0.01433,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,OWENS-ILLINOIS,0.15,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,PEPSICO,0.001026,1,0,0,1,1,0,1.0,0.0,0.0,0.0,6.0,False,False,False,0.0,0.0,0.0
ABBVIE,PPG INDUSTRIES,0.085045,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,PRUDENTIAL FINANCIAL,0.333272,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,RAYTHEON,0.016281,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,REGENERON PHARMACEUTICALS,0.06375,2,0,0,2,2,0,2.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
ABBVIE,RITE AID,0.247131,0,0,3,3,0,1,,,,,,,,,,,
ABBVIE,S&P GLOBAL,0.057864,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,THERMO FISHER SCIENTIFIC,0.007594,0,0,2,2,0,1,,,,,,,,,,,
ABBVIE,UNION PACIFIC,0.006389,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,W.R. BERKLEY,0.288565,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,WALGREENS BOOTS ALLIANCE,0.014093,2,0,0,2,2,0,2.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
ABBVIE,WALMART,0.155134,0,0,3,3,0,1,,,,,,,,,,,
ABBVIE,WESCO INTERNATIONAL,0.15,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,WESTERN UNION,0.03869,0,0,1,1,0,1,,,,,,,,,,,
ABBVIE,WESTROCK,0.002323,0,0,1,1,0,1,,,,,,,,,,,
ABM INDUSTRIES,AECOM,0.122905,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AMERICAN ELECTRIC POWER,ABM INDUSTRIES,0.059155,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
HONEYWELL INTERNATIONAL,ABM INDUSTRIES,0.02303,2,0,1,3,2,0,2.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
MOTOROLA SOLUTIONS,ABM INDUSTRIES,0.059155,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
PUBLIC SERVICE ENTERPRISE GROUP,ABM INDUSTRIES,0.122905,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
XCEL ENERGY,ABM INDUSTRIES,0.02303,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
ADP,BEST BUY,0.099875,2,0,0,2,2,0,2.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
ADP,HOME DEPOT,0.099875,0,0,2,2,0,1,,,,,,,,,,,
ADP,MCDONALD'S,0.036125,2,0,0,2,2,0,2.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
ADVANCED MICRO DEVICES,CHEMOURS,0.02303,0,0,1,1,0,1,,,,,,,,,,,
ADVANCED MICRO DEVICES,WESTERN DIGITAL,0.06375,0,0,2,2,0,1,,,,,,,,,,,
AECOM,AES,0.010552,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
ALASKA AIR GROUP,AECOM,0.120024,2,1,2,5,1,0,3.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,AMEREN,0.047657,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,AMERICAN AIRLINES GROUP,0.011771,0,0,3,3,0,1,,,,,,,,,,,
AECOM,APPLIED MATERIALS,0.008082,0,0,1,1,0,1,,,,,,,,,,,
AECOM,BALL,0.035383,0,0,4,4,0,1,,,,,,,,,,,
AECOM,BERKSHIRE HATHAWAY,0.030329,3,1,2,6,2,0,4.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
CATERPILLAR,AECOM,0.060026,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,CENTENE,0.000501,0,0,2,2,0,1,,,,,,,,,,,
AECOM,CHEMOURS,0.034835,1,0,1,2,1,0,1.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
AECOM,CISCO SYSTEMS,0.001042,0,0,1,1,0,1,,,,,,,,,,,
AECOM,CONOCOPHILLIPS,0.014433,0,0,2,2,0,1,,,,,,,,,,,
AECOM,CORNING,0.035299,2,0,1,3,2,0,2.0,0.0,0.0,0.0,1.5,False,False,False,0.0,0.0,0.0
AECOM,CSX,0.011771,1,0,2,3,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,CUMMINS,0.061371,1,1,3,5,0,1,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,DELTA AIR LINES,0.168457,1,0,6,7,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,DUKE ENERGY,0.000501,0,0,2,2,0,1,,,,,,,,,,,
AECOM,ECOLAB,0.019799,0,0,1,1,0,1,,,,,,,,,,,
AECOM,EDISON INTERNATIONAL,0.062868,1,0,1,2,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
AECOM,EVERSOURCE ENERGY,0.002766,1,0,0,1,1,0,1.0,0.0,0.0,0.0,4.0,False,False,False,0.0,0.0,0.0
AECOM,FACEBOOK,0.002448,0,0,1,1,0,1,,,,,,,,,,,
AECOM,FEDEX,0.151196,0,0,4,4,0,1,,,,,,,,,,,
AECOM,FIRSTENERGY,0.000225,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,FLUOR,0.057641,1,0,2,3,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
FORD,AECOM,0.040845,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
GENERAL DYNAMICS,AECOM,0.072695,2,0,6,8,2,0,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
GENERAL ELECTRIC,AECOM,0.009323,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,GILEAD SCIENCES,0.003451,0,0,1,1,0,1,,,,,,,,,,,
AECOM,GRAPHIC PACKAGING HOLDING,0.042761,0,0,1,1,0,1,,,,,,,,,,,
AECOM,HEWLETT PACKARD ENTERPRISE,0.001068,0,0,2,2,0,1,,,,,,,,,,,
AECOM,HOLLYFRONTIER,0.141217,1,0,1,2,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,HOME DEPOT,0.000843,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
HONEYWELL INTERNATIONAL,AECOM,0.154653,1,0,3,4,1,0,1.0,0.0,0.0,0.0,4.0,False,False,False,0.0,0.0,0.0
AECOM,JACOBS ENGINEERING GROUP,0.064021,0,0,4,4,0,1,,,,,,,,,,,
AECOM,LABORATORY CORP. OF AMERICA,0.002018,0,0,2,2,0,1,,,,,,,,,,,
LEIDOS HOLDINGS,AECOM,0.024582,2,0,7,9,2,0,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,LIBERTY MUTUAL INSURANCE GROUP,0.005028,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
LOCKHEED MARTIN,AECOM,0.00968,2,0,3,5,2,0,2.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,MAGELLAN HEALTH,0.001028,0,0,2,2,0,1,,,,,,,,,,,
AECOM,MICRON TECHNOLOGY,0.052101,0,0,2,2,0,1,,,,,,,,,,,
NORTHROP GRUMMAN,AECOM,0.079706,2,1,4,7,1,0,3.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,ORACLE,0.004111,0,0,2,2,0,1,,,,,,,,,,,
OWENS CORNING,AECOM,0.002685,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,PPG INDUSTRIES,0.060851,0,0,6,6,0,1,,,,,,,,,,,
AECOM,PUBLIC SERVICE ENTERPRISE GROUP,0.003492,0,0,3,3,0,1,,,,,,,,,,,
AECOM,RAYTHEON,0.050799,1,1,1,3,0,1,2.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
AECOM,SOUTHERN,0.014463,1,0,1,2,1,0,1.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
AECOM,SOUTHWEST AIRLINES,0.029526,1,0,4,5,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,STANLEY BLACK & DECKER,0.01566,1,0,0,1,1,0,1.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
TESLA,AECOM,0.044984,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AECOM,TEXTRON,0.014093,0,0,3,3,0,1,,,,,,,,,,,
AECOM,UNION PACIFIC,0.001345,0,0,3,3,0,1,,,,,,,,,,,
AECOM,UNITED AIRLINES HOLDINGS,0.012851,0,0,4,4,0,1,,,,,,,,,,,
AECOM,UNITED TECHNOLOGIES,0.09035,3,1,5,9,2,0,4.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
AECOM,WESTROCK,0.012215,0,0,1,1,0,1,,,,,,,,,,,
AECOM,WEYERHAEUSER,0.112792,0,0,1,1,0,1,,,,,,,,,,,
AMERICAN AIRLINES GROUP,AES,0.004542,1,0,2,3,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
AES,ARAMARK,0.004542,0,0,1,1,0,1,,,,,,,,,,,
CHS,AES,0.008082,1,0,0,1,1,0,1.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
CMS ENERGY,AES,0.075114,2,0,0,2,2,0,2.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
DELTA AIR LINES,AES,0.010552,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
DTE ENERGY,AES,0.172958,2,0,0,2,2,0,2.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
DUKE ENERGY,AES,0.064021,4,0,0,4,4,0,4.0,0.0,0.0,0.0,2.5,False,False,False,0.0,0.0,0.0
ECOLAB,AES,0.018634,1,0,0,1,1,0,1.0,0.0,0.0,0.0,1.0,False,False,False,0.0,0.0,0.0
EDISON INTERNATIONAL,AES,0.010552,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
ENTERGY,AES,0.018634,2,0,2,4,2,0,2.0,0.0,0.0,0.0,2.0,False,False,False,0.0,0.0,0.0
EVERSOURCE ENERGY,AES,0.015094,4,1,0,5,3,0,5.0,0.0,0.0,0.0,1.6,False,False,False,0.0,0.0,0.0
EXXONMOBIL,AES,0.010552,1,0,0,1,1,0,1.0,0.0,0.0,0.0,3.0,False,False,False,0.0,0.0,0.0
