firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
ZIMMER BIOMET HOLDINGS,3,0.131199,0.1252,0.4437,0.003299,peripheral
CATERPILLAR,3,0.127965,-0.4937,0.7287,0.003758,non_hub_connector
CORNING,3,0.127746,0.5301,0.7418,0.006229,non_hub_connector
POLARIS INDUSTRIES,4,0.127658,-0.5497,0.5511,0.003362,peripheral
GUARDIAN LIFE INS. CO. OF AMERICA,5,0.12692,-0.5062,0.7024,0.008283,non_hub_connector
EXXONMOBIL,1,0.125499,0.0325,0.5427,0.007076,peripheral
ALLSTATE,0,0.123236,0.4367,0.176,0.005786,peripheral
MOLINA HEALTHCARE,5,0.122944,-0.2236,0.0,0.004098,ultra_peripheral
BECTON DICKINSON,3,0.12068,0.2702,0.4116,0.003637,peripheral
NRG ENERGY,1,0.120474,-0.3528,0.076,0.00351,peripheral
BOOZ ALLEN HAMILTON,4,0.117272,-0.1737,0.5817,0.004765,peripheral
CENTENE,5,0.114619,-0.3929,0.1703,0.00414,peripheral
TEXTRON,4,0.112974,-0.7919,0.1759,0.00218,peripheral
PRINCIPAL FINANCIAL,0,0.110571,-0.1501,0.407,0.004234,peripheral
RAYTHEON,4,0.105892,-0.8342,0.6941,0.005356,non_hub_connector
ADVANCED MICRO DEVICES,2,0.10484,0.1308,0.0,0.003345,ultra_peripheral
CISCO SYSTEMS,2,0.104562,-0.3604,0.0,0.002322,ultra_peripheral
MICRON TECHNOLOGY,2,0.104529,-0.1296,0.6193,0.004848,peripheral
NATIONWIDE,0,0.101098,0.0255,0.4949,0.00555,peripheral
GENERAL ELECTRIC,5,0.099474,-1.0104,0.4518,0.003952,peripheral
PPG INDUSTRIES,7,0.098218,-1.372,0.6556,0.002108,non_hub_connector
CAPITAL ONE FINANCIAL,3,0.097517,-0.4725,0.7814,0.004493,non_hub_connector
KROGER,6,0.094053,-0.1304,0.6474,0.003978,non_hub_connector
NUCOR,7,0.093694,-0.9068,0.0,0.001935,ultra_peripheral
HUNTINGTON INGALLS INDUSTRIES,4,0.093129,-1.1553,0.3758,0.002009,peripheral
JETBLUE AIRWAYS,4,0.092758,-1.1715,0.5865,0.002279,peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,0,0.091718,-0.5201,0.1134,0.002398,peripheral
DUPONT DE NEMOURS,7,0.088924,-1.5007,0.5234,0.001388,peripheral
NAVISTAR INTERNATIONAL,5,0.087469,-0.7082,0.0794,0.003804,peripheral
JOHNSON & JOHNSON,5,0.086119,-1.0793,0.5572,0.004862,peripheral
SEMPRA ENERGY,1,0.08483,-0.7315,0.0942,0.002648,peripheral
AMEREN,1,0.081654,-0.4021,0.1634,0.003519,peripheral
AMGEN,5,0.080582,-1.2051,0.0,0.002172,ultra_peripheral
CELGENE,5,0.080381,-1.1448,0.0,0.002295,ultra_peripheral
KEYCORP,0,0.07766,-0.4643,0.4644,0.0032,peripheral
LIBERTY MEDIA,6,0.076966,0.195,0.6104,0.004364,peripheral
LENNAR,4,0.076929,-0.5272,0.6151,0.003942,peripheral
PHILLIPS 66,1,0.075877,-0.446,0.5617,0.005305,peripheral
MASCO,4,0.075021,-0.4678,0.0,0.002557,ultra_peripheral
METLIFE,0,0.074781,-0.803,0.0,0.001711,ultra_peripheral
QURATE RETAIL,6,0.074507,0.0903,0.6127,0.00416,peripheral
WALMART,5,0.071725,-1.0796,0.2717,0.003073,peripheral
VERIZON,2,0.07166,-0.0113,0.4107,0.004266,peripheral
TESLA,1,0.070723,-0.6358,0.5436,0.004008,peripheral
TARGET,6,0.070701,0.0923,0.3679,0.003333,peripheral
ESTEE LAUDER,3,0.070599,-0.3095,0.3133,0.002568,peripheral
COMCAST,2,0.070468,-0.306,0.0,0.002558,ultra_peripheral
KEURIG DR PEPPER,6,0.065847,-0.2207,0.6874,0.00407,non_hub_connector
PAYPAL HOLDINGS,0,0.064956,-0.6251,0.1196,0.00217,peripheral
3M,5,0.062214,-1.1211,0.752,0.00659,non_hub_connector
AT&T,2,0.060829,0.0496,0.408,0.00486,peripheral
EASTMAN CHEMICAL,6,0.060344,-0.0857,0.6615,0.004643,non_hub_connector
S&P GLOBAL,6,0.059908,-1.4023,0.0,0.001143,ultra_peripheral
CLOROX,3,0.059065,-0.4593,0.3321,0.002362,peripheral
ARCONIC,3,0.057538,-1.2237,0.0,0.001005,ultra_peripheral
CONOCOPHILLIPS,1,0.056974,-1.0527,0.5198,0.00304,peripheral
WESTERN UNION,0,0.055374,-0.7388,0.1464,0.001982,peripheral
WALGREENS BOOTS ALLIANCE,6,0.05329,-0.4796,0.5311,0.003245,peripheral
HARTFORD FINANCIAL SERVICES,0,0.050027,-0.4688,0.2184,0.003302,peripheral
NEXTERA ENERGY,0,0.049668,-0.9644,0.4036,0.001635,peripheral
PUBLIX SUPER MARKETS,0,0.048639,-0.5949,0.0,0.002386,ultra_peripheral
ANIXTER INTERNATIONAL,1,0.043074,-0.9497,0.5461,0.003283,peripheral
CHARLES SCHWAB,0,0.042669,-0.7929,0.0,0.002405,ultra_peripheral
ABM INDUSTRIES,4,0.042261,-1.7244,0.6043,0.001705,peripheral
VALERO ENERGY,1,0.038334,-1.0126,0.7466,0.004348,non_hub_connector
GENWORTH FINANCIAL,3,0.03785,-0.9899,0.798,0.003565,non_hub_connector
LABORATORY CORP. OF AMERICA,3,0.035715,-0.2269,0.1721,0.003583,peripheral
UNUM GROUP,0,0.035318,-0.7753,0.1878,0.002122,peripheral
W.R. BERKLEY,0,0.031288,-0.8152,0.0,0.001926,ultra_peripheral
HONEYWELL INTERNATIONAL,2,0.030868,-0.6675,0.6309,0.003339,non_hub_connector
WINDSTREAM HOLDINGS,2,0.030834,-0.686,0.2756,0.002021,peripheral
QUEST DIAGNOSTICS,3,0.030199,-0.1166,0.0,0.00375,ultra_peripheral
NORFOLK SOUTHERN,1,0.029461,-0.765,-0.0,0.002961,ultra_peripheral
MARSH & MCLENNAN,0,0.028674,-0.7569,0.6763,0.003729,non_hub_connector
