source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
THERMO FISHER SCIENTIFIC,3M,0.005107,0.010215,0,0,1,1,0
3M,UNION PACIFIC,0.004837,0.009674,0,0,2,2,0
UNION PACIFIC,3M,0.004837,0.009674,0,0,2,2,0
3M,UNITED TECHNOLOGIES,0.010928,0.01457,2,0,2,4,2
UNITED TECHNOLOGIES,3M,0.003643,0.01457,0,2,2,4,-2
3M,WALMART,0.0306,0.0612,0,0,1,1,0
WALMART,3M,0.0306,0.0612,0,0,1,1,0
3M,WESTROCK,0.006353,0.012705,0,0,2,2,0
WESTROCK,3M,0.006353,0.012705,0,0,2,2,0
ABBOTT LABORATORIES,AIG,0.002685,0.002685,1,0,0,1,1
AIG,ABBOTT LABORATORIES,0.0,0.002685,0,1,0,1,-1
ABBOTT LABORATORIES,BECTON DICKINSON,0.035886,0.035886,1,0,0,1,1
BECTON DICKINSON,ABBOTT LABORATORIES,0.0,0.035886,0,1,0,1,-1
ABBOTT LABORATORIES,CHS,0.009587,0.019174,0,0,1,1,0
CHS,ABBOTT LABORATORIES,0.009587,0.019174,0,0,1,1,0
ABBOTT LABORATORIES,DANAHER,0.05,0.1,0,0,1,1,0
DANAHER,ABBOTT LABORATORIES,0.05,0.1,0,0,1,1,0
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.0,0.016711,0,1,0,1,-1
GENERAL ELECTRIC,ABBOTT LABORATORIES,0.016711,0.016711,1,0,0,1,1
ABBOTT LABORATORIES,LABORATORY CORP. OF AMERICA,0.05535,0.110701,0,0,1,1,0
LABORATORY CORP. OF AMERICA,ABBOTT LABORATORIES,0.05535,0.110701,0,0,1,1,0
ABBOTT LABORATORIES,QUEST DIAGNOSTICS,0.110701,0.110701,1,0,0,1,1
QUEST DIAGNOSTICS,ABBOTT LABORATORIES,0.0,0.110701,0,1,0,1,-1
ABBVIE,AMAZON,0.0004,0.000799,0,0,1,1,0
AMAZON,ABBVIE,0.0004,0.000799,0,0,1,1,0
ABBVIE,AMEREN,0.003145,0.00629,0,0,1,1,0
AMEREN,ABBVIE,0.003145,0.00629,0,0,1,1,0
ABBVIE,AMERISOURCEBERGEN,0.00535,0.0107,0,0,1,1,0
AMERISOURCEBERGEN,ABBVIE,0.00535,0.0107,0,0,1,1,0
ABBVIE,AMGEN,0.039432,0.068349,3,1,9,13,2
AMGEN,ABBVIE,0.028917,0.068349,1,3,9,13,-2
ABBVIE,APPLIED MATERIALS,0.15387,0.307739,0,0,1,1,0
APPLIED MATERIALS,ABBVIE,0.15387,0.307739,0,0,1,1,0
ABBVIE,BALL,0.003172,0.006345,0,0,1,1,0
BALL,ABBVIE,0.003172,0.006345,0,0,1,1,0
ABBVIE,BECTON DICKINSON,0.000821,0.001641,0,0,1,1,0
BECTON DICKINSON,ABBVIE,0.000821,0.001641,0,0,1,1,0
ABBVIE,BEST BUY,0.160883,0.321766,0,0,1,1,0
BEST BUY,ABBVIE,0.160883,0.321766,0,0,1,1,0
ABBVIE,BIOGEN,0.159434,0.227762,5,1,4,10,4
BIOGEN,ABBVIE,0.068329,0.227762,1,5,4,10,-4
ABBVIE,BLACKSTONE GROUP,0.060178,0.120355,0,0,1,1,0
BLACKSTONE GROUP,ABBVIE,0.060178,0.120355,0,0,1,1,0
ABBVIE,BOEING,0.060412,0.120823,0,0,1,1,0
BOEING,ABBVIE,0.060412,0.120823,0,0,1,1,0
ABBVIE,BORGWARNER,0.136452,0.272905,0,0,1,1,0
BORGWARNER,ABBVIE,0.136452,0.272905,0,0,1,1,0
ABBVIE,BRISTOL-MYERS SQUIBB,0.018154,0.036309,0,0,4,4,0
BRISTOL-MYERS SQUIBB,ABBVIE,0.018154,0.036309,0,0,4,4,0
ABBVIE,CATERPILLAR,0.087179,0.130768,1,0,2,3,1
CATERPILLAR,ABBVIE,0.043589,0.130768,0,1,2,3,-1
ABBVIE,CBS,0.005061,0.010123,0,0,1,1,0
CBS,ABBVIE,0.005061,0.010123,0,0,1,1,0
ABBVIE,CENTENE,0.08337,0.125055,1,0,2,3,1
CENTENE,ABBVIE,0.041685,0.125055,0,1,2,3,-1
ABBVIE,CHS,0.057864,0.057864,1,0,0,1,1
CHS,ABBVIE,0.0,0.057864,0,1,0,1,-1
ABBVIE,CIGNA,0.027208,0.054415,0,0,7,7,0
CIGNA,ABBVIE,0.027208,0.054415,0,0,7,7,0
ABBVIE,CITIGROUP,0.165663,0.331326,0,0,1,1,0
CITIGROUP,ABBVIE,0.165663,0.331326,0,0,1,1,0
ABBVIE,CORNING,0.003195,0.006389,0,0,1,1,0
CORNING,ABBVIE,0.003195,0.006389,0,0,1,1,0
ABBVIE,COSTCO,0.075,0.15,0,0,1,1,0
COSTCO,ABBVIE,0.075,0.15,0,0,1,1,0
ABBVIE,CVS HEALTH,0.087321,0.174643,1,1,7,9,0
CVS HEALTH,ABBVIE,0.087321,0.174643,1,1,7,9,0
ABBVIE,DEERE,0.037407,0.074815,0,0,1,1,0
DEERE,ABBVIE,0.037407,0.074815,0,0,1,1,0
ABBVIE,DELL TECHNOLOGIES,0.042349,0.084698,0,0,1,1,0
DELL TECHNOLOGIES,ABBVIE,0.042349,0.084698,0,0,1,1,0
ABBVIE,DELTA AIR LINES,0.003195,0.006389,0,0,1,1,0
DELTA AIR LINES,ABBVIE,0.003195,0.006389,0,0,1,1,0
ABBVIE,DUKE ENERGY,0.000512,0.001024,0,0,1,1,0
DUKE ENERGY,ABBVIE,0.000512,0.001024,0,0,1,1,0
ABBVIE,ELI LILLY,0.0485,0.097,0,0,3,3,0
ELI LILLY,ABBVIE,0.0485,0.097,0,0,3,3,0
ABBVIE,ENTERGY,0.004867,0.006489,1,0,1,2,1
ENTERGY,ABBVIE,0.001622,0.006489,0,1,1,2,-1
ABBVIE,EVERSOURCE ENERGY,0.000646,0.001291,0,0,1,1,0
EVERSOURCE ENERGY,ABBVIE,0.000646,0.001291,0,0,1,1,0
ABBVIE,EXXONMOBIL,0.000512,0.001024,0,0,1,1,0
EXXONMOBIL,ABBVIE,0.000512,0.001024,0,0,1,1,0
ABBVIE,FACEBOOK,0.167287,0.334573,0,0,1,1,0
FACEBOOK,ABBVIE,0.167287,0.334573,0,0,1,1,0
ABBVIE,FIFTH THIRD BANCORP,0.042954,0.085908,0,0,1,1,0
FIFTH THIRD BANCORP,ABBVIE,0.042954,0.085908,0,0,1,1,0
ABBVIE,FLUOR,0.001571,0.003142,0,0,1,1,0
FLUOR,ABBVIE,0.001571,0.003142,0,0,1,1,0
ABBVIE,GENERAL DYNAMICS,0.002961,0.005922,0,0,1,1,0
GENERAL DYNAMICS,ABBVIE,0.002961,0.005922,0,0,1,1,0
ABBVIE,GENERAL ELECTRIC,0.091246,0.182491,0,0,2,2,0
GENERAL ELECTRIC,ABBVIE,0.091246,0.182491,0,0,2,2,0
ABBVIE,GENERAL MOTORS,0.001643,0.001643,1,0,0,1,1
GENERAL MOTORS,ABBVIE,0.0,0.001643,0,1,0,1,-1
ABBVIE,GENWORTH FINANCIAL,0.069282,0.138565,0,0,1,1,0
GENWORTH FINANCIAL,ABBVIE,0.069282,0.138565,0,0,1,1,0
ABBVIE,GILEAD SCIENCES,0.086207,0.141067,3,1,5,9,2
GILEAD SCIENCES,ABBVIE,0.054859,0.141067,1,3,5,9,-2
ABBVIE,GOLDMAN SACHS GROUP,0.124938,0.249875,0,0,1,1,0
GOLDMAN SACHS GROUP,ABBVIE,0.124938,0.249875,0,0,1,1,0
ABBVIE,GRAPHIC PACKAGING HOLDING,0.001571,0.003142,0,0,1,1,0
GRAPHIC PACKAGING HOLDING,ABBVIE,0.001571,0.003142,0,0,1,1,0
ABBVIE,GUARDIAN LIFE INS. CO. OF AMERICA,0.187107,0.374214,0,0,3,3,0
GUARDIAN LIFE INS. CO. OF AMERICA,ABBVIE,0.187107,0.374214,0,0,3,3,0
ABBVIE,HARTFORD FINANCIAL SERVICES,0.167287,0.334573,0,0,1,1,0
HARTFORD FINANCIAL SERVICES,ABBVIE,0.167287,0.334573,0,0,1,1,0
ABBVIE,HCA HEALTHCARE,0.060178,0.120355,0,0,1,1,0
HCA HEALTHCARE,ABBVIE,0.060178,0.120355,0,0,1,1,0
ABBVIE,HONEYWELL INTERNATIONAL,0.013417,0.026834,0,0,1,1,0
HONEYWELL INTERNATIONAL,ABBVIE,0.013417,0.026834,0,0,1,1,0
ABBVIE,HUMANA,0.063637,0.08485,3,0,3,6,3
HUMANA,ABBVIE,0.021212,0.08485,0,3,3,6,-3
ABBVIE,HUNTSMAN,0.081875,0.16375,0,0,2,2,0
HUNTSMAN,ABBVIE,0.081875,0.16375,0,0,2,2,0
ABBVIE,IBM,0.009764,0.019529,0,0,2,2,0
