firm,net_influence,net_strength,total_firsts,total_losses
SYSCO,-26,-1.5619,17,43
DELTA AIR LINES,-39,-1.5851,9,48
CONSOLIDATED EDISON,-49,-1.6203,42,91
CENTENE,-26,-1.6814,4,30
WESTROCK,-23,-1.6861,28,51
CUMMINS,14,-1.725,57,43
BAXTER INTERNATIONAL,-48,-1.8808,6,54
GILEAD SCIENCES,-37,-1.9119,2,39
ALLY FINANCIAL,-33,-1.9844,8,41
WALT DISNEY,-36,-2.0,1,37
PEPSICO,-3,-2.0233,7,10
HONEYWELL INTERNATIONAL,-37,-2.2011,44,81
BEST BUY,-58,-2.5702,38,96
GOODYEAR TIRE & RUBBER,-78,-2.5811,14,92
FORD,-95,-2.6029,23,118
BANK OF AMERICA,-38,-2.8049,37,75
ELI LILLY,-41,-2.8415,29,70
ORACLE,2,-2.9123,48,46
SOUTHERN,-25,-2.9197,33,58
CHEMOURS,-42,-2.9399,3,45
GUARDIAN LIFE INS. CO. OF AMERICA,-33,-2.986,14,47
FIFTH THIRD BANCORP,-56,-3.1411,31,87
MICRON TECHNOLOGY,-78,-3.5904,57,135
NEW YORK LIFE INSURANCE,-13,-3.8719,39,52
ASSURANT,-72,-4.6292,19,91
VISTRA ENERGY,-33,-5.2784,0,33
EMERSON ELECTRIC,-53,-5.3791,17,70
EXELON,-61,-5.6875,71,132
OLIN,-99,-5.8008,49,148
PRUDENTIAL FINANCIAL,-5,-5.8467,75,80
REGIONS FINANCIAL,-83,-5.9737,30,113
AMEREN,-124,-6.3323,46,170
SYNCHRONY FINANCIAL,-76,-8.2801,14,90
ALPHABET,-55,-8.6268,23,78
HEWLETT PACKARD ENTERPRISE,-153,-9.9203,29,182
AIG,-101,-12.4444,30,131
