source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
ABBOTT LABORATORIES,AES,0.000123,0.000247,0,0,1,1,0
AES,ABBOTT LABORATORIES,0.000123,0.000247,0,0,1,1,0
ABBOTT LABORATORIES,AK STEEL HOLDING,0.006875,0.006875,2,0,0,2,2
AK STEEL HOLDING,ABBOTT LABORATORIES,0.0,0.006875,0,2,0,2,-2
ABBOTT LABORATORIES,AMEREN,0.000314,0.000314,2,0,0,2,2
AMEREN,ABBOTT LABORATORIES,0.0,0.000314,0,2,0,2,-2
ABBOTT LABORATORIES,AMERICAN ELECTRIC POWER,0.0,0.008961,0,2,0,2,-2
AMERICAN ELECTRIC POWER,ABBOTT LABORATORIES,0.008961,0.008961,2,0,0,2,2
ABBOTT LABORATORIES,AMGEN,0.089739,0.179479,0,0,2,2,0
AMGEN,ABBOTT LABORATORIES,0.089739,0.179479,0,0,2,2,0
ABBOTT LABORATORIES,AT&T,0.0,0.0007,0,1,0,1,-1
AT&T,ABBOTT LABORATORIES,0.0007,0.0007,1,0,0,1,1
ABBOTT LABORATORIES,BALL,0.0,0.0007,0,1,0,1,-1
BALL,ABBOTT LABORATORIES,0.0007,0.0007,1,0,0,1,1
ABBOTT LABORATORIES,BANK OF AMERICA,0.000368,0.000368,1,0,0,1,1
BANK OF AMERICA,ABBOTT LABORATORIES,0.0,0.000368,0,1,0,1,-1
ABBOTT LABORATORIES,BAXTER INTERNATIONAL,0.007603,0.012164,1,0,3,4,1
BAXTER INTERNATIONAL,ABBOTT LABORATORIES,0.004562,0.012164,0,1,3,4,-1
ABBOTT LABORATORIES,BERKSHIRE HATHAWAY,0.00415,0.0083,0,0,2,2,0
BERKSHIRE HATHAWAY,ABBOTT LABORATORIES,0.00415,0.0083,0,0,2,2,0
ABBOTT LABORATORIES,BOEING,0.0,0.001382,0,4,0,4,-4
BOEING,ABBOTT LABORATORIES,0.001382,0.001382,4,0,0,4,4
ABBOTT LABORATORIES,BOSTON SCIENTIFIC,0.117052,0.351156,0,1,2,3,-1
BOSTON SCIENTIFIC,ABBOTT LABORATORIES,0.234104,0.351156,1,0,2,3,1
ABBOTT LABORATORIES,BRISTOL-MYERS SQUIBB,0.012766,0.025533,0,0,1,1,0
BRISTOL-MYERS SQUIBB,ABBOTT LABORATORIES,0.012766,0.025533,0,0,1,1,0
ABBOTT LABORATORIES,CALPINE,0.000278,0.000556,0,0,1,1,0
CALPINE,ABBOTT LABORATORIES,0.000278,0.000556,0,0,1,1,0
ABBOTT LABORATORIES,CAMPBELL SOUP,0.008344,0.033375,0,1,1,2,-1
CAMPBELL SOUP,ABBOTT LABORATORIES,0.025031,0.033375,1,0,1,2,1
ABBOTT LABORATORIES,CAPITAL ONE FINANCIAL,0.010023,0.010023,1,0,0,1,1
CAPITAL ONE FINANCIAL,ABBOTT LABORATORIES,0.0,0.010023,0,1,0,1,-1
ABBOTT LABORATORIES,CARDINAL HEALTH,0.02189,0.029186,1,0,1,2,1
CARDINAL HEALTH,ABBOTT LABORATORIES,0.007297,0.029186,0,1,1,2,-1
ABBOTT LABORATORIES,CATERPILLAR,0.000648,0.005184,0,3,1,4,-3
CATERPILLAR,ABBOTT LABORATORIES,0.004536,0.005184,3,0,1,4,3
ABBOTT LABORATORIES,CBS,0.001154,0.002307,1,1,1,3,0
CBS,ABBOTT LABORATORIES,0.001154,0.002307,1,1,1,3,0
ABBOTT LABORATORIES,CELGENE,0.004041,0.008082,0,0,1,1,0
CELGENE,ABBOTT LABORATORIES,0.004041,0.008082,0,0,1,1,0
ABBOTT LABORATORIES,CENTENE,0.001967,0.001967,1,0,0,1,1
CENTENE,ABBOTT LABORATORIES,0.0,0.001967,0,1,0,1,-1
ABBOTT LABORATORIES,CHEVRON,0.0,0.000247,0,2,0,2,-2
CHEVRON,ABBOTT LABORATORIES,0.000247,0.000247,2,0,0,2,2
ABBOTT LABORATORIES,CHS,0.0,0.005345,0,2,0,2,-2
CHS,ABBOTT LABORATORIES,0.005345,0.005345,2,0,0,2,2
ABBOTT LABORATORIES,CIGNA,0.0,0.008961,0,2,0,2,-2
CIGNA,ABBOTT LABORATORIES,0.008961,0.008961,2,0,0,2,2
ABBOTT LABORATORIES,CITIGROUP,0.00848,0.00848,1,0,0,1,1
CITIGROUP,ABBOTT LABORATORIES,0.0,0.00848,0,1,0,1,-1
ABBOTT LABORATORIES,CMS ENERGY,0.0,0.000247,0,1,0,1,-1
CMS ENERGY,ABBOTT LABORATORIES,0.000247,0.000247,1,0,0,1,1
ABBOTT LABORATORIES,COCA-COLA,0.01942,0.045313,1,2,4,7,-1
COCA-COLA,ABBOTT LABORATORIES,0.025893,0.045313,2,1,4,7,1
ABBOTT LABORATORIES,CORNING,0.059802,0.119604,0,0,2,2,0
CORNING,ABBOTT LABORATORIES,0.059802,0.119604,0,0,2,2,0
ABBOTT LABORATORIES,CUMMINS,0.000192,0.000766,0,1,1,2,-1
CUMMINS,ABBOTT LABORATORIES,0.000575,0.000766,1,0,1,2,1
ABBOTT LABORATORIES,CVS HEALTH,0.010023,0.010023,1,0,0,1,1
CVS HEALTH,ABBOTT LABORATORIES,0.0,0.010023,0,1,0,1,-1
ABBOTT LABORATORIES,DEAN FOODS,0.001676,0.005028,0,1,2,3,-1
DEAN FOODS,ABBOTT LABORATORIES,0.003352,0.005028,1,0,2,3,1
ABBOTT LABORATORIES,DELTA AIR LINES,6.7e-05,6.7e-05,1,0,0,1,1
DELTA AIR LINES,ABBOTT LABORATORIES,0.0,6.7e-05,0,1,0,1,-1
ABBOTT LABORATORIES,DUKE ENERGY,0.0,0.001757,0,4,0,4,-4
DUKE ENERGY,ABBOTT LABORATORIES,0.001757,0.001757,4,0,0,4,4
ABBOTT LABORATORIES,DUPONT DE NEMOURS,0.000171,0.001707,0,4,1,5,-4
DUPONT DE NEMOURS,ABBOTT LABORATORIES,0.001536,0.001707,4,0,1,5,4
ABBOTT LABORATORIES,EBAY,0.000209,0.001252,0,2,1,3,-2
EBAY,ABBOTT LABORATORIES,0.001043,0.001252,2,0,1,3,2
ABBOTT LABORATORIES,ECOLAB,0.003527,0.009404,1,2,1,4,-1
ECOLAB,ABBOTT LABORATORIES,0.005878,0.009404,2,1,1,4,1
ABBOTT LABORATORIES,ELI LILLY,0.167836,0.335671,0,0,4,4,0
ELI LILLY,ABBOTT LABORATORIES,0.167836,0.335671,0,0,4,4,0
ABBOTT LABORATORIES,ENTERGY,0.0,0.005308,0,3,0,3,-3
ENTERGY,ABBOTT LABORATORIES,0.005308,0.005308,3,0,0,3,3
ABBOTT LABORATORIES,EVERSOURCE ENERGY,0.003009,0.009028,1,2,0,3,-1
EVERSOURCE ENERGY,ABBOTT LABORATORIES,0.006019,0.009028,2,1,0,3,1
ABBOTT LABORATORIES,EXELON,0.000501,0.004008,0,3,1,4,-3
EXELON,ABBOTT LABORATORIES,0.003507,0.004008,3,0,1,4,3
ABBOTT LABORATORIES,EXXONMOBIL,0.000431,0.000862,1,1,1,3,0
EXXONMOBIL,ABBOTT LABORATORIES,0.000431,0.000862,1,1,1,3,0
ABBOTT LABORATORIES,FEDEX,0.003339,0.008903,1,2,1,4,-1
FEDEX,ABBOTT LABORATORIES,0.005565,0.008903,2,1,1,4,1
ABBOTT LABORATORIES,FIRSTENERGY,0.0,0.000314,0,2,0,2,-2
FIRSTENERGY,ABBOTT LABORATORIES,0.000314,0.000314,2,0,0,2,2
ABBOTT LABORATORIES,FORD,0.000157,0.000314,0,0,2,2,0
FORD,ABBOTT LABORATORIES,0.000157,0.000314,0,0,2,2,0
ABBOTT LABORATORIES,FRANKLIN RESOURCES,0.006688,0.026753,0,1,1,2,-1
FRANKLIN RESOURCES,ABBOTT LABORATORIES,0.020065,0.026753,1,0,1,2,1
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.000247,0.000494,1,1,0,2,0
GENERAL ELECTRIC,ABBOTT LABORATORIES,0.000247,0.000494,1,1,0,2,0
ABBOTT LABORATORIES,GENERAL MILLS,0.001762,0.014093,0,3,1,4,-3
GENERAL MILLS,ABBOTT LABORATORIES,0.012331,0.014093,3,0,1,4,3
ABBOTT LABORATORIES,GENERAL MOTORS,0.0,0.000947,0,2,0,2,-2
GENERAL MOTORS,ABBOTT LABORATORIES,0.000947,0.000947,2,0,0,2,2
ABBOTT LABORATORIES,GILEAD SCIENCES,0.011093,0.011093,1,0,0,1,1
GILEAD SCIENCES,ABBOTT LABORATORIES,0.0,0.011093,0,1,0,1,-1
ABBOTT LABORATORIES,GOODYEAR TIRE & RUBBER,0.00408,0.00408,2,0,0,2,2
GOODYEAR TIRE & RUBBER,ABBOTT LABORATORIES,0.0,0.00408,0,2,0,2,-2
ABBOTT LABORATORIES,HEWLETT PACKARD ENTERPRISE,0.000304,0.001217,0,1,1,2,-1
HEWLETT PACKARD ENTERPRISE,ABBOTT LABORATORIES,0.000913,0.001217,1,0,1,2,1
ABBOTT LABORATORIES,HOLLYFRONTIER,0.000112,0.000225,0,0,1,1,0
HOLLYFRONTIER,ABBOTT LABORATORIES,0.000112,0.000225,0,0,1,1,0
ABBOTT LABORATORIES,HOME DEPOT,0.001238,0.001857,1,0,2,3,1
HOME DEPOT,ABBOTT LABORATORIES,0.000619,0.001857,0,1,2,3,-1
ABBOTT LABORATORIES,HP,0.0,0.001217,0,2,0,2,-2
HP,ABBOTT LABORATORIES,0.001217,0.001217,2,0,0,2,2
ABBOTT LABORATORIES,HUMANA,0.090653,0.120871,1,0,1,2,1
HUMANA,ABBOTT LABORATORIES,0.030218,0.120871,0,1,1,2,-1
ABBOTT LABORATORIES,IBM,0.030784,0.061569,0,0,1,1,0
IBM,ABBOTT LABORATORIES,0.030784,0.061569,0,0,1,1,0
ABBOTT LABORATORIES,IHEARTMEDIA,0.006849,0.009132,1,0,1,2,1
IHEARTMEDIA,ABBOTT LABORATORIES,0.002283,0.009132,0,1,1,2,-1
ABBOTT LABORATORIES,INTEL,0.008721,0.034883,0,1,1,2,-1
INTEL,ABBOTT LABORATORIES,0.026162,0.034883,1,0,1,2,1
ABBOTT LABORATORIES,JOHNSON & JOHNSON,0.009259,0.037034,0,3,3,6,-3
JOHNSON & JOHNSON,ABBOTT LABORATORIES,0.027776,0.037034,3,0,3,6,3
ABBOTT LABORATORIES,KELLOGG,0.004341,0.043412,0,4,1,5,-4
KELLOGG,ABBOTT LABORATORIES,0.03907,0.043412,4,0,1,5,4
ABBOTT LABORATORIES,KRAFT HEINZ,0.001503,0.006011,1,3,0,4,-2
KRAFT HEINZ,ABBOTT LABORATORIES,0.004508,0.006011,3,1,0,4,2
ABBOTT LABORATORIES,LAND O'LAKES,0.0,0.002636,0,2,0,2,-2
LAND O'LAKES,ABBOTT LABORATORIES,0.002636,0.002636,2,0,0,2,2
ABBOTT LABORATORIES,LEIDOS HOLDINGS,0.167237,0.334474,0,0,1,1,0
