uniq_id,fortune_name,issue_code,amount,amount_allocated,year,congress
917d338d-ed03-4866-aa75-26a93c408652,YUM BRANDS,CSP,260000.0,37142.857142857145,2021,117
917d338d-ed03-4866-aa75-26a93c408652,YUM BRANDS,SMB,260000.0,37142.857142857145,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,MAN,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,CPT,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,HCR,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,BAN,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,EDU,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,LAW,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,IMM,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,TAX,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,TEC,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,TRA,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,TRD,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,LBR,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,ENV,1460000.0,104285.71428571429,2021,117
931b23da-8021-4f33-8f4b-70e571dba9b8,APPLE,CSP,1460000.0,104285.71428571429,2021,117
9355ddf0-026d-4ccf-b171-5fdf0d69332d,ALPHABET,HCR,120000.0,40000.0,2021,117
9355ddf0-026d-4ccf-b171-5fdf0d69332d,ALPHABET,CPI,120000.0,40000.0,2021,117
9355ddf0-026d-4ccf-b171-5fdf0d69332d,ALPHABET,LBR,120000.0,40000.0,2021,117
939aebe8-e147-42da-aa5a-a1b95616f6ac,MASTERCARD,FIN,30000.0,30000.0,2021,117
95395886-5885-4730-a1db-83bf864123ff,GENERAL MILLS,BUD,140000.0,46666.666666666664,2021,117
95395886-5885-4730-a1db-83bf864123ff,GENERAL MILLS,ENV,140000.0,46666.666666666664,2021,117
95395886-5885-4730-a1db-83bf864123ff,GENERAL MILLS,AGR,140000.0,46666.666666666664,2021,117
96b07bc6-66a7-46b1-a441-3b877a09eed0,CVS HEALTH,MMM,50000.0,25000.0,2021,117
96b07bc6-66a7-46b1-a441-3b877a09eed0,CVS HEALTH,HCR,50000.0,25000.0,2021,117
96ee74ec-629a-4d04-9f7d-34535091682b,TEXTRON,HOM,1400000.0,350000.0,2021,117
96ee74ec-629a-4d04-9f7d-34535091682b,TEXTRON,DEF,1400000.0,350000.0,2021,117
96ee74ec-629a-4d04-9f7d-34535091682b,TEXTRON,FOR,1400000.0,350000.0,2021,117
96ee74ec-629a-4d04-9f7d-34535091682b,TEXTRON,AVI,1400000.0,350000.0,2021,117
972a1bab-f53c-4ecb-855b-8aee3a493f55,PACCAR,MAN,90000.0,12857.142857142857,2021,117
972a1bab-f53c-4ecb-855b-8aee3a493f55,PACCAR,ENG,90000.0,12857.142857142857,2021,117
972a1bab-f53c-4ecb-855b-8aee3a493f55,PACCAR,TRA,90000.0,12857.142857142857,2021,117
972a1bab-f53c-4ecb-855b-8aee3a493f55,PACCAR,TAX,90000.0,12857.142857142857,2021,117
972a1bab-f53c-4ecb-855b-8aee3a493f55,PACCAR,TRD,90000.0,12857.142857142857,2021,117
972a1bab-f53c-4ecb-855b-8aee3a493f55,PACCAR,ENV,90000.0,12857.142857142857,2021,117
972a1bab-f53c-4ecb-855b-8aee3a493f55,PACCAR,TRU,90000.0,12857.142857142857,2021,117
97691fbd-dd39-4297-b92c-e416362498b5,CINTAS,TRD,80000.0,26666.666666666668,2021,117
97691fbd-dd39-4297-b92c-e416362498b5,CINTAS,LBR,80000.0,26666.666666666668,2021,117
97691fbd-dd39-4297-b92c-e416362498b5,CINTAS,APP,80000.0,26666.666666666668,2021,117
97ce726a-8305-4460-9145-5b6170f04402,BLACKSTONE GROUP,HCR,30000.0,30000.0,2021,117
98610bae-0222-498f-8b72-c322ba8a6082,ADP,HCR,20000.0,5000.0,2021,117
98610bae-0222-498f-8b72-c322ba8a6082,ADP,LBR,20000.0,5000.0,2021,117
98610bae-0222-498f-8b72-c322ba8a6082,ADP,TAX,20000.0,5000.0,2021,117
98610bae-0222-498f-8b72-c322ba8a6082,ADP,BAN,20000.0,5000.0,2021,117
9ac4be94-16d8-4934-a2fb-b298002d76db,DISH NETWORK,COM,470000.0,235000.0,2021,117
9ac4be94-16d8-4934-a2fb-b298002d76db,DISH NETWORK,TEC,470000.0,235000.0,2021,117
9ae6be11-f6af-4897-852d-2cfa1b20429f,COMMUNITY HEALTH SYSTEMS,MMM,10000.0,5000.0,2021,117
9ae6be11-f6af-4897-852d-2cfa1b20429f,COMMUNITY HEALTH SYSTEMS,HCR,10000.0,5000.0,2021,117
9aed1e91-a839-4b39-b632-f393a06c8cc7,ZOETIS,TRD,170000.0,85000.0,2021,117
9aed1e91-a839-4b39-b632-f393a06c8cc7,ZOETIS,AGR,170000.0,85000.0,2021,117
9b19e4e5-21fa-420a-8453-16e3357f3c5e,ALPHABET,DEF,80000.0,80000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,GOV,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,FUE,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,ROD,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,ENG,1600000.0,160000.0,2021,117
