firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
ADOBE,1,0.002648,-0.8596,0.0,0.000574,0.020088,ultra_peripheral
SHERWIN-WILLIAMS,2,0.002629,-0.7876,0.4211,0.000898,0.022375,peripheral
ARTHUR J. GALLAGHER,2,0.002312,-0.818,0.3704,0.000862,0.021573,peripheral
ESTEE LAUDER,4,0.001782,-0.9845,0.375,0.000746,0.020077,peripheral
KIMBERLY-CLARK,4,0.001616,-1.0225,0.5,0.000581,0.019979,peripheral
ADP,1,0.001566,-0.7954,0.375,0.000749,0.020254,peripheral
BROADCOM,1,0.001549,-0.8596,0.0,0.000582,0.020011,ultra_peripheral
HALLIBURTON,3,0.0015,-1.2962,0.5,0.000569,0.020202,peripheral
HARLEY-DAVIDSON,1,0.001353,-0.8596,0.4444,0.000595,0.020501,peripheral
COMMUNITY HEALTH SYSTEMS,4,0.001021,-1.0225,0.0,0.000557,0.019924,ultra_peripheral
TENNECO,2,0.001002,-0.8354,0.0,0.000646,0.020539,ultra_peripheral
STARBUCKS,4,0.000956,-1.0225,0.0,0.000559,0.019919,ultra_peripheral
ENTERPRISE PRODUCTS PARTNERS,1,0.000687,-0.8756,0.0,0.000561,0.019915,ultra_peripheral
RYDER SYSTEM,4,0.000516,-1.0225,0.5,0.000575,0.02008,peripheral
PHILIP MORRIS INTERNATIONAL,0,0.00048,-0.9196,0.0,0.000661,0.019979,ultra_peripheral
OLIN,2,0.000233,-0.8397,0.4444,0.000588,0.020242,peripheral
EBAY,4,0.000121,-1.0035,0.72,0.000684,0.020152,non_hub_connector
OWENS & MINOR,4,0.000106,-1.0225,0.5,0.00058,0.020088,peripheral
BOOKING HOLDINGS,2,4.8e-05,-0.844,0.0,0.000558,0.019933,ultra_peripheral
