source,target,weight
AECOM,EDISON INTERNATIONAL,0.102681
AECOM,ENERGY TRANSFER,0.087066
AECOM,ENTERGY,0.007225
AECOM,EVERSOURCE ENERGY,0.024231
AECOM,EXELON,0.041012
AECOM,EXXONMOBIL,0.016559
AECOM,FACEBOOK,0.003146
AECOM,FEDEX,0.214974
AECOM,FIRSTENERGY,0.034101
AECOM,FLUOR,0.192647
AECOM,FORD,0.079371
AECOM,GENERAL DYNAMICS,0.151714
AECOM,GENERAL ELECTRIC,0.056008
AECOM,GENERAL MOTORS,0.003137
AECOM,GILEAD SCIENCES,0.006387
AECOM,GRAPHIC PACKAGING HOLDING,0.064577
AECOM,HARTFORD FINANCIAL SERVICES,0.002139
AECOM,HEWLETT PACKARD ENTERPRISE,0.043289
AECOM,HOLLYFRONTIER,0.36454
AECOM,HOME DEPOT,0.034842
AECOM,HONEYWELL INTERNATIONAL,0.314382
AECOM,HUNTSMAN,0.000745
AECOM,IBM,0.066746
AECOM,IHEARTMEDIA,0.000518
AECOM,JACOBS ENGINEERING GROUP,0.114002
AECOM,JETBLUE AIRWAYS,0.007662
AECOM,KROGER,0.003636
AECOM,L3HARRIS TECHNOLOGIES,0.157613
AECOM,LABORATORY CORP. OF AMERICA,0.013978
AECOM,LEIDOS HOLDINGS,0.112528
AECOM,LIBERTY MUTUAL INSURANCE GROUP,0.013789
AECOM,LOCKHEED MARTIN,0.102606
AECOM,MAGELLAN HEALTH,0.005074
AECOM,MICRON TECHNOLOGY,0.126892
AECOM,MICROSOFT,0.001426
AECOM,NORTHROP GRUMMAN,0.168886
AECOM,ORACLE,0.032946
AECOM,OSHKOSH,0.144557
AECOM,OWENS CORNING,0.014774
AECOM,PG&E,0.043064
AECOM,POLARIS INC,0.230853
AECOM,PPG INDUSTRIES,0.105155
AECOM,PPL,0.003903
AECOM,PUBLIC SERVICE ENTERPRISE GROUP,0.029753
AECOM,QUEST DIAGNOSTICS,0.001294
AECOM,RAYTHEON,0.149144
AECOM,SHERWIN-WILLIAMS,0.072004
AECOM,SOUTHERN,0.018418
AECOM,SOUTHWEST AIRLINES,0.129672
AECOM,STANLEY BLACK & DECKER,0.030773
AECOM,TESLA,0.084804
AECOM,TEXTRON,0.100996
AECOM,UNION PACIFIC,0.056652
AECOM,UNITED AIRLINES HOLDINGS,0.124707
AECOM,UNITED TECHNOLOGIES,0.127047
AECOM,USAA,0.010023
AECOM,VALERO ENERGY,0.267586
AECOM,VERIZON,0.013128
AECOM,WESTROCK,0.05886
AECOM,WEYERHAEUSER,0.208377
AECOM,XCEL ENERGY,0.014888
AES,ALASKA AIR GROUP,0.066605
AES,AMAZON,0.099152
AES,AMEREN,0.03085
AES,AMERICAN AIRLINES GROUP,0.150873
AES,AMERICAN ELECTRIC POWER,0.090385
AES,AMERIPRISE FINANCIAL,0.013538
AES,ARAMARK,0.004223
AES,AT&T,0.013093
AES,BALL,0.003743
AES,BERKSHIRE HATHAWAY,0.116155
AES,CENTENE,0.005996
AES,CENTERPOINT ENERGY,0.012056
AES,CHS,0.099456
AES,CIGNA,0.003226
AES,CMS ENERGY,0.165037
AES,CONSTELLATION BRANDS,0.004616
AES,CSX,0.085005
AES,CUMMINS,0.125762
AES,DELTA AIR LINES,0.106349
AES,DTE ENERGY,0.171852
AES,DUKE ENERGY,0.17781
AES,ECOLAB,0.030245
AES,EDISON INTERNATIONAL,0.034867
AES,ELI LILLY,0.000967
AES,ENTERGY,0.108134
AES,EVERSOURCE ENERGY,0.194387
AES,EXELON,0.093004
AES,EXXONMOBIL,0.039624
AES,FEDEX,0.178242
AES,FIRSTENERGY,0.245941
AES,GENERAL DYNAMICS,0.190155
AES,GENERAL ELECTRIC,0.006847
AES,GENERAL MOTORS,0.02485
AES,INTERNATIONAL PAPER,0.01267
AES,L3HARRIS TECHNOLOGIES,0.387463
AES,LEIDOS HOLDINGS,0.072096
AES,LIVE NATION ENTERTAINMENT,0.007346
AES,LOCKHEED MARTIN,0.001613
AES,LUMEN TECHNOLOGIES,0.004449
AES,MARATHON PETROLEUM,0.058895
AES,NATIONWIDE,0.001395
AES,PG&E,0.092398
AES,PHILLIPS 66,0.031743
AES,PPL,0.318854
AES,PRINCIPAL FINANCIAL,0.008602
AES,QUEST DIAGNOSTICS,0.012498
AES,RAYTHEON,0.023358
AES,SOUTHERN,0.139431
AES,SOUTHWEST AIRLINES,0.303672
AES,TESLA,0.159893
AES,UNION PACIFIC,0.094824
AES,UNITED AIRLINES HOLDINGS,0.164277
AES,UNITED TECHNOLOGIES,0.05737
AES,VERIZON,0.032273
AES,WALGREENS BOOTS ALLIANCE,0.000874
AES,XCEL ENERGY,0.103791
AFLAC,AMAZON,0.005117
AFLAC,AT&T,0.003726
AFLAC,CISCO SYSTEMS,0.007775
AFLAC,COCA-COLA,0.008453
AFLAC,GENERAL MOTORS,0.001813
AFLAC,HP,0.012184
AFLAC,IBM,0.004006
AIG,ALLSTATE,0.141241
AIG,ALLY FINANCIAL,0.201538
AIG,ALTRIA GROUP,0.025161
AIG,AMERICAN EXPRESS,0.166548
AIG,AMERICAN FAMILY INSURANCE GROUP,0.024968
AIG,AMERIPRISE FINANCIAL,0.209808
AIG,BANK OF AMERICA,0.08244
AIG,BANK OF NEW YORK MELLON,0.015903
AIG,BLACKROCK,0.197528
AIG,BOEING,0.031469
