source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
3M,GENERAL MOTORS,3.5849426773552756e-06,0.0009057971014492,2,0.006779,0.000583828988907
3M,GILEAD SCIENCES,0.00014341879326022847,0.0009057971014492,2,0.027253,0.0058097951696806
3M,GRAPHIC PACKAGING HOLDING,0.0015232035067336443,0.0009057971014492,2,0.086748,0.0193850771364652
3M,HCA HEALTHCARE,0.003495022288286857,0.0004528985507246,1,0.122236,0.0631320495806311
3M,HEWLETT PACKARD ENTERPRISE,5.923189529490867e-05,0.0009057971014492,2,0.029075,0.0022490803922815
3M,HOME DEPOT,6.687844628327988e-05,0.0004528985507246,1,0.032607,0.0045287088475939
3M,HONEYWELL INTERNATIONAL,0.002361325255027313,0.0018115942028985,4,0.066298,0.0196604956525855
3M,HUMANA,8.68757153199477e-06,0.0004528985507246,1,0.007547,0.0025416931154957
3M,IBM,0.0014913018319330127,0.0031702898550724,7,0.064129,0.007335202582536
3M,LABORATORY CORP. OF AMERICA,0.001721110669438076,0.0009057971014492,2,0.04996,0.0380325496208926
3M,LEIDOS HOLDINGS,0.019015346613043993,0.0031702898550724,7,0.159943,0.0375007572533447
3M,LIBERTY MUTUAL INSURANCE GROUP,9.126110600363104e-05,0.0009057971014492,2,0.015258,0.0066032416455641
3M,LOCKHEED MARTIN,0.002365688669707594,0.0027173913043478,6,0.057121,0.0152408646636509
3M,MAGELLAN HEALTH,0.006085010867478294,0.0009057971014492,2,0.118922,0.0564895645691848
3M,MERCK,0.0003435962010902898,0.0004528985507246,1,0.050276,0.0150899119263152
3M,MICRON TECHNOLOGY,0.005362504907646266,0.0022644927536231,5,0.172084,0.0137611989912873
3M,MOLINA HEALTHCARE,0.0016148048161364213,0.0004528985507246,1,0.067085,0.053148826623381
3M,MOTOROLA SOLUTIONS,0.00035567784544645746,0.0013586956521739,3,0.024919,0.0105051925939482
3M,MUTUAL OF OMAHA INSURANCE,6.838223815197194e-06,0.0004528985507246,1,0.007531,0.002004886228118
3M,NAVISTAR INTERNATIONAL,0.0008126797674154699,0.0004528985507246,1,0.059446,0.030185326623381
3M,NORTHROP GRUMMAN,0.02198114014745869,0.0031702898550724,7,0.183974,0.0376872799150111
3M,ORACLE,0.003264050445107,0.0018115942028985,4,0.078559,0.0229350659466021
3M,OWENS CORNING,1.984860059627001e-05,0.0004528985507246,1,0.013826,0.003169804000909
3M,PG&E,4.542930391929428e-05,0.0013586956521739,3,0.044174,0.0007569151012949
3M,PHILLIPS 66,0.0038593275431743914,0.0031702898550724,7,0.11898,0.0102314857422967
3M,PPG INDUSTRIES,0.02677038815161048,0.0040760869565217,9,0.137636,0.0477176651447429
3M,PPL,3.50283544812568e-06,0.0013586956521739,3,0.010747,0.0002398889820248
3M,PUBLIC SERVICE ENTERPRISE GROUP,0.0003345454609882348,0.0018115942028985,4,0.026337,0.007011774099765
3M,RAYTHEON,0.004220811259392364,0.0022644927536231,5,0.06929,0.0269001335278935
3M,SOUTHERN,0.00023904431963891272,0.0013586956521739,3,0.014927,0.0117864687649388
3M,TESLA,0.0017510348902167465,0.0004528985507246,1,0.079365,0.0487152401889863
3M,THERMO FISHER SCIENTIFIC,0.00014987375117704902,0.0004528985507246,1,0.024199,0.0136749965948573
3M,UNION PACIFIC,0.002473615302141056,0.0022644927536231,5,0.057468,0.0190079438544152
3M,UNITED TECHNOLOGIES,0.003071101553542638,0.0027173913043478,6,0.044923,0.0251578338869555
3M,WALMART,0.004512454739499262,0.0009057971014492,2,0.07891,0.0631320495806311
3M,WESTROCK,0.0012040126514331424,0.0009057971014492,2,0.079067,0.0168114379852821
ABBOTT LABORATORIES,AIG,3.9741704781320894e-05,0.0004528985507246,1,0.027683,0.003169804000909
ABBOTT LABORATORIES,BECTON DICKINSON,0.0011534614806395535,0.0004528985507246,1,0.072273,0.0352392034266233
ABBOTT LABORATORIES,CHS,0.0007544179603648403,0.0004528985507246,1,0.095549,0.0174335142857142
ABBOTT LABORATORIES,DANAHER,0.00883669854074678,0.0004528985507246,1,0.238645,0.0817592255357142
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.0004172966467276003,0.0004528985507246,1,0.051747,0.017805689140909
ABBOTT LABORATORIES,LABORATORY CORP. OF AMERICA,0.008640236030216939,0.0004528985507246,1,0.203851,0.0935862034266233
ABBOTT LABORATORIES,QUEST DIAGNOSTICS,0.00735588406634316,0.0004528985507246,1,0.173549,0.0935862034266233
ABBVIE,AMAZON,3.084198760687024e-05,0.0004528985507246,1,0.025913,0.0026279901453315
ABBVIE,AMEREN,0.00010724279562376922,0.0004528985507246,1,0.021477,0.0110253803015925
ABBVIE,AMERISOURCEBERGEN,0.0003693252380335633,0.0004528985507246,1,0.06895,0.011826977890909
ABBVIE,AMGEN,0.34127710447407655,0.0086050724637681,19,0.372337,0.1065163868497119
ABBVIE,APPLIED MATERIALS,0.03341985042059763,0.0004528985507246,1,0.334228,0.2207805142857142
ABBVIE,BALL,0.00026394129576633277,0.0004528985507246,1,0.052007,0.0112058450026364
ABBVIE,BECTON DICKINSON,1.2264785995802755e-05,0.0004528985507246,1,0.012465,0.0021725348960076
ABBVIE,BEST BUY,0.040180930761035384,0.0004528985507246,1,0.376862,0.2354163994257142
ABBVIE,BIOGEN,0.39884910936576734,0.0045289855072463,10,0.408905,0.2153700330100217
ABBVIE,BLACKSTONE GROUP,0.010322284916072866,0.0004528985507246,1,0.210338,0.1083570495806311
ABBVIE,BOEING,0.015400512152054667,0.0013586956521739,3,0.102868,0.1101875893758248
ABBVIE,BORGWARNER,0.027547733186138998,0.0004528985507246,1,0.319755,0.1902249999999999
ABBVIE,BRISTOL-MYERS SQUIBB,0.1274986210091174,0.0117753623188405,26,0.224016,0.0483339368596153
ABBVIE,CATERPILLAR,0.030768990324547323,0.0013586956521739,3,0.185639,0.121989328098444
ABBVIE,CBS,0.00016529206010290452,0.0004528985507246,1,0.021984,0.0166013859492014
ABBVIE,CENTENE,0.040649183703564976,0.0022644927536231,5,0.149455,0.1201075877253688
ABBVIE,CHEVRON,1.3417582614356694e-06,0.0004528985507246,1,0.00943,0.0003141677880435
ABBVIE,CHS,0.002807177204347588,0.0004528985507246,1,0.127064,0.0487805142857142
ABBVIE,CIGNA,0.04652358757803645,0.0036231884057971,8,0.175071,0.073344586890679
ABBVIE,CITIGROUP,0.020291073393419765,0.0004528985507246,1,0.180655,0.2480013841447763
ABBVIE,CORNING,0.00010996031875262111,0.0004528985507246,1,0.020711,0.0117228711219066
ABBVIE,COSTCO,0.017644746376810107,0.0004528985507246,1,0.389596,0.0999999999999999
ABBVIE,CVS HEALTH,0.26035847957930336,0.004981884057971,11,0.280106,0.1865759660177684
ABBVIE,DEERE,0.0016249163845107315,0.0004528985507246,1,0.061491,0.0583469999999999
ABBVIE,DELL TECHNOLOGIES,0.003941238099911371,0.0004528985507246,1,0.10461,0.0831875893758248
ABBVIE,DELTA AIR LINES,0.00012058812722579437,0.0004528985507246,1,0.022538,0.0118137627524437
ABBVIE,DUKE ENERGY,2.6912257286844904e-05,0.0004528985507246,1,0.019013,0.0031253491868384
ABBVIE,ELI LILLY,0.025542632812499726,0.0013586956521739,3,0.240925,0.0780299999999999
ABBVIE,ENTERGY,0.0010823347841854285,0.0009057971014492,2,0.094817,0.0126021452032949
ABBVIE,EVERSOURCE ENERGY,1.306666254271439e-05,0.0004528985507246,1,0.012062,0.0023919077179834
ABBVIE,EXXONMOBIL,5.874184386493788e-05,0.0004528985507246,1,0.0415,0.0031253491868384
ABBVIE,FACEBOOK,0.01420544247525306,0.0004528985507246,1,0.122912,0.2551875893758247
ABBVIE,FIFTH THIRD BANCORP,0.0031581343186138683,0.0004528985507246,1,0.102263,0.0681885
ABBVIE,FLUOR,0.0001134464169533998,0.0004528985507246,1,0.05413,0.0046275575213953
ABBVIE,GENERAL DYNAMICS,0.00017495055666114103,0.0004528985507246,1,0.038694,0.00998322295725
ABBVIE,GENERAL ELECTRIC,0.06744202054978868,0.0018115942028985,4,0.212549,0.1751501787516497
ABBVIE,GENERAL MOTORS,3.082063280185348e-05,0.0004528985507246,1,0.015538,0.0043797114961062
