source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced
ABBOTT LABORATORIES,BECTON DICKINSON,0.104542,0,0,1,1,0,1
ABBOTT LABORATORIES,BERKSHIRE HATHAWAY,0.089636,1,0,1,2,1,0
BOEING,ABBOTT LABORATORIES,0.007773,1,0,2,3,1,0
ABBOTT LABORATORIES,BOSTON SCIENTIFIC,0.240259,0,0,3,3,0,1
ABBOTT LABORATORIES,CAMPBELL SOUP,0.071891,0,0,1,1,0,1
ABBOTT LABORATORIES,CARDINAL HEALTH,0.118666,0,0,2,2,0,1
ABBOTT LABORATORIES,CHARTER COMMUNICATIONS,0.056565,2,0,0,2,2,0
ABBOTT LABORATORIES,COCA-COLA,0.013689,1,1,0,2,0,1
ABBOTT LABORATORIES,COMCAST,0.043416,1,0,0,1,1,0
ABBOTT LABORATORIES,CORNING,0.043416,1,0,0,1,1,0
ABBOTT LABORATORIES,CVS HEALTH,0.005438,1,0,1,2,1,0
ABBOTT LABORATORIES,DEAN FOODS,0.134903,0,0,3,3,0,1
ABBOTT LABORATORIES,DEERE,0.102492,1,0,2,3,1,0
ABBOTT LABORATORIES,DELTA AIR LINES,0.082106,0,0,1,1,0,1
ABBOTT LABORATORIES,DUPONT DE NEMOURS,0.043416,1,0,1,2,1,0
EBAY,ABBOTT LABORATORIES,0.002502,1,0,0,1,1,0
ABBOTT LABORATORIES,ELI LILLY,0.056227,0,0,3,3,0,1
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.059076,0,0,1,1,0,1
ABBOTT LABORATORIES,GENERAL MILLS,0.122905,0,0,1,1,0,1
GENERAL MOTORS,ABBOTT LABORATORIES,0.002502,1,0,0,1,1,0
ABBOTT LABORATORIES,HOLLYFRONTIER,0.003797,0,0,2,2,0,1
ABBOTT LABORATORIES,INTEL,0.001474,1,0,1,2,1,0
ABBOTT LABORATORIES,INTERNATIONAL PAPER,0.005438,1,0,0,1,1,0
ABBOTT LABORATORIES,KELLOGG,0.21375,0,0,1,1,0,1
ABBOTT LABORATORIES,KROGER,0.045387,0,0,2,2,0,1
ABBOTT LABORATORIES,LAND O'LAKES,0.017127,2,2,0,4,0,1
MARRIOTT INTERNATIONAL,ABBOTT LABORATORIES,0.000655,1,0,0,1,1,0
ABBOTT LABORATORIES,MARSH & MCLENNAN,0.063875,0,0,2,2,0,1
ABBOTT LABORATORIES,MCKESSON,0.002937,1,0,0,1,1,0
ABBOTT LABORATORIES,MERCK,0.005438,0,0,1,1,0,1
ABBOTT LABORATORIES,MONDELEZ INTERNATIONAL,0.15,1,0,0,1,1,0
ABBOTT LABORATORIES,MUTUAL OF OMAHA INSURANCE,0.010215,0,0,1,1,0,1
ABBOTT LABORATORIES,NORFOLK SOUTHERN,0.003797,0,0,1,1,0,1
ABBOTT LABORATORIES,OWENS & MINOR,0.008016,1,0,0,1,1,0
PEPSICO,ABBOTT LABORATORIES,0.032323,1,0,3,4,1,0
ABBOTT LABORATORIES,REPUBLIC SERVICES,0.02303,0,0,1,1,0,1
ABBOTT LABORATORIES,RITE AID,0.010215,1,0,0,1,1,0
ABBOTT LABORATORIES,ROCKWELL COLLINS,0.010215,0,0,1,1,0,1
ABBOTT LABORATORIES,STRYKER,0.059155,0,0,1,1,0,1
TEXAS INSTRUMENTS,ABBOTT LABORATORIES,0.002502,1,0,1,2,1,0
TYSON FOODS,ABBOTT LABORATORIES,0.099875,1,0,0,1,1,0
ABBOTT LABORATORIES,UNION PACIFIC,0.002502,0,0,1,1,0,1
UNITED PARCEL SERVICE,ABBOTT LABORATORIES,0.002502,1,0,0,1,1,0
UNITED TECHNOLOGIES,ABBOTT LABORATORIES,0.018231,1,0,0,1,1,0
WEYERHAEUSER,ABBOTT LABORATORIES,0.014012,1,0,2,3,1,0
