source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced
AMERIPRISE FINANCIAL,THERMO FISHER SCIENTIFIC,0.008016,1,0,0,1,1,0
TRAVELERS,AMERIPRISE FINANCIAL,0.014433,1,0,1,2,1,0
UNION PACIFIC,AMERIPRISE FINANCIAL,0.019522,1,0,0,1,1,0
AMERIPRISE FINANCIAL,UNITED PARCEL SERVICE,0.003247,0,0,1,1,0,1
AMERIPRISE FINANCIAL,UNUM GROUP,0.034268,2,0,0,2,2,0
USAA,AMERIPRISE FINANCIAL,0.153959,2,0,4,6,2,0
VERIZON,AMERIPRISE FINANCIAL,0.008499,1,0,1,2,1,0
AMERIPRISE FINANCIAL,VISA,0.02089,2,1,0,3,1,0
AMERIPRISE FINANCIAL,VOYA FINANCIAL,0.033571,3,1,1,5,2,0
AMERIPRISE FINANCIAL,WELLS FARGO,0.028416,1,0,3,4,1,0
WINDSTREAM HOLDINGS,AMERIPRISE FINANCIAL,0.014433,1,0,0,1,1,0
AMERISOURCEBERGEN,AMGEN,0.029705,1,1,2,4,0,1
AMERISOURCEBERGEN,BOSTON SCIENTIFIC,0.004232,1,0,2,3,1,0
AMERISOURCEBERGEN,BRISTOL-MYERS SQUIBB,0.023035,1,1,2,4,0,1
AMERISOURCEBERGEN,CARDINAL HEALTH,0.054442,1,1,4,6,0,1
AMERISOURCEBERGEN,CIGNA,0.048861,0,0,1,1,0,1
AMERISOURCEBERGEN,CVS HEALTH,0.073548,3,1,4,8,2,0
AMERISOURCEBERGEN,ELI LILLY,0.007713,0,0,1,1,0,1
AMERISOURCEBERGEN,FEDEX,0.004232,1,0,1,2,1,0
HCA HEALTHCARE,AMERISOURCEBERGEN,0.007713,1,0,1,2,1,0
JOHNSON & JOHNSON,AMERISOURCEBERGEN,0.115729,1,0,2,3,1,0
AMERISOURCEBERGEN,MARSH & MCLENNAN,0.006011,0,0,1,1,0,1
AMERISOURCEBERGEN,MCKESSON,0.525167,2,1,5,8,1,0
MERCK,AMERISOURCEBERGEN,0.023694,1,0,3,4,1,0
AMERISOURCEBERGEN,PFIZER,0.003733,0,0,1,1,0,1
RITE AID,AMERISOURCEBERGEN,0.051654,1,0,5,6,1,0
AMERISOURCEBERGEN,TARGET,0.002685,0,0,1,1,0,1
UNITED PARCEL SERVICE,AMERISOURCEBERGEN,0.01065,1,0,2,3,1,0
APPLE,AMGEN,0.200337,2,0,0,2,2,0
BAXTER INTERNATIONAL,AMGEN,0.006094,3,1,2,6,2,0
AMGEN,BECTON DICKINSON,0.004542,0,0,2,2,0,1
BEST BUY,AMGEN,0.059155,1,0,0,1,1,0
AMGEN,BOEING,0.003797,0,0,1,1,0,1
BOSTON SCIENTIFIC,AMGEN,0.041156,2,0,3,5,2,0
AMGEN,BRISTOL-MYERS SQUIBB,0.048434,1,1,6,8,0,1
CARDINAL HEALTH,AMGEN,0.048118,2,0,3,5,2,0
CISCO SYSTEMS,AMGEN,0.226052,1,0,2,3,1,0
COMCAST,AMGEN,0.118231,1,0,0,1,1,0
AMGEN,CORNING,0.005438,1,0,0,1,1,0
AMGEN,CVS HEALTH,0.019923,0,0,6,6,0,1
AMGEN,DEERE,0.018231,1,0,1,2,1,0
DISH NETWORK,AMGEN,0.12992,2,0,1,3,2,0
EBAY,AMGEN,0.021219,2,0,0,2,2,0
ELI LILLY,AMGEN,0.000655,1,0,0,1,1,0
AMGEN,FACEBOOK,0.087522,1,0,3,4,1,0
HCA HEALTHCARE,AMGEN,0.004631,1,0,2,3,1,0
IBM,AMGEN,0.12453,1,0,3,4,1,0
AMGEN,IHEARTMEDIA,0.185888,3,0,0,3,3,0
AMGEN,ILLINOIS TOOL WORKS,0.045387,1,0,0,1,1,0
AMGEN,INTEL,0.012969,0,0,3,3,0,1
INTERNATIONAL PAPER,AMGEN,0.003797,1,0,0,1,1,0
AMGEN,INTUIT,0.064862,2,0,0,2,2,0
JOHNSON & JOHNSON,AMGEN,0.000655,1,0,1,2,1,0
AMGEN,MARSH & MCLENNAN,0.014093,0,0,1,1,0,1
AMGEN,MCKESSON,0.034629,3,0,1,4,3,0
MERCK,AMGEN,0.063205,1,0,4,5,1,0
AMGEN,MICRON TECHNOLOGY,0.145934,2,0,0,2,2,0
MICROSOFT,AMGEN,0.075739,2,1,1,4,1,0
MUTUAL OF OMAHA INSURANCE,AMGEN,0.010215,1,0,1,2,1,0
ORACLE,AMGEN,0.177307,2,0,2,4,2,0
AMGEN,OWENS & MINOR,0.008016,1,1,3,5,0,1
PEPSICO,AMGEN,0.023904,2,0,0,2,2,0
AMGEN,PFIZER,0.006418,1,0,0,1,1,0
PROCTER & GAMBLE,AMGEN,0.003797,1,0,0,1,1,0
QUALCOMM,AMGEN,0.03192,2,0,1,3,2,0
RITE AID,AMGEN,0.018643,1,0,4,5,1,0
AMGEN,ROCKWELL COLLINS,0.010215,0,0,1,1,0,1
AMGEN,TENET HEALTHCARE,0.002502,0,0,1,1,0,1
TEXAS INSTRUMENTS,AMGEN,0.300212,2,0,1,3,2,0
THERMO FISHER SCIENTIFIC,AMGEN,0.003474,1,0,0,1,1,0
UNITED PARCEL SERVICE,AMGEN,0.008841,1,0,2,3,1,0
UNITED TECHNOLOGIES,AMGEN,0.013689,1,0,0,1,1,0
ANADARKO PETROLEUM,APPLE,0.032323,0,0,1,1,0,1
ASSURANT,ANADARKO PETROLEUM,0.003797,1,0,0,1,1,0
ANADARKO PETROLEUM,AT&T,0.000655,0,0,1,1,0,1
ANADARKO PETROLEUM,BAXTER INTERNATIONAL,0.00753,1,0,0,1,1,0
ANADARKO PETROLEUM,BECTON DICKINSON,0.010552,1,0,0,1,1,0
ANADARKO PETROLEUM,BOEING,0.032323,0,0,1,1,0,1
ANADARKO PETROLEUM,BRISTOL-MYERS SQUIBB,0.032323,0,0,1,1,0,1
CALPINE,ANADARKO PETROLEUM,0.011187,1,0,0,1,1,0
ANADARKO PETROLEUM,CELANESE,0.011093,0,0,1,1,0,1
ANADARKO PETROLEUM,CHESAPEAKE ENERGY,0.214304,1,0,3,4,1,0
ANADARKO PETROLEUM,CHEVRON,0.106347,1,1,1,3,0,1
CISCO SYSTEMS,ANADARKO PETROLEUM,0.003797,1,0,0,1,1,0
ANADARKO PETROLEUM,CONOCOPHILLIPS,0.017486,0,0,2,2,0,1
CONSOLIDATED EDISON,ANADARKO PETROLEUM,0.003797,1,0,0,1,1,0
ANADARKO PETROLEUM,DELTA AIR LINES,0.010215,0,0,1,1,0,1
ANADARKO PETROLEUM,DOMINION ENERGY,0.024241,1,0,1,2,1,0
ANADARKO PETROLEUM,DTE ENERGY,0.001474,0,0,2,2,0,1
ANADARKO PETROLEUM,ECOLAB,0.004776,0,0,1,1,0,1
ANADARKO PETROLEUM,EDISON INTERNATIONAL,0.000655,0,0,1,1,0,1
ELI LILLY,ANADARKO PETROLEUM,0.003797,1,0,0,1,1,0
ANADARKO PETROLEUM,EXELON,0.032323,0,0,1,1,0,1
EXXONMOBIL,ANADARKO PETROLEUM,0.199513,2,0,3,5,2,0
ANADARKO PETROLEUM,FEDEX,0.011689,0,0,3,3,0,1
FIRSTENERGY,ANADARKO PETROLEUM,0.014012,2,0,2,4,2,0
ANADARKO PETROLEUM,GENERAL ELECTRIC,0.051356,1,1,2,4,0,1
HALLIBURTON,ANADARKO PETROLEUM,0.01832,1,0,2,3,1,0
ANADARKO PETROLEUM,HOLLYFRONTIER,0.00753,1,0,1,2,1,0
INTERNATIONAL PAPER,ANADARKO PETROLEUM,0.005271,1,0,1,2,1,0
LOEWS,ANADARKO PETROLEUM,0.00753,1,0,0,1,1,0
ANADARKO PETROLEUM,MARATHON OIL,0.03612,0,0,6,6,0,1
ANADARKO PETROLEUM,MERCK,0.000655,0,0,1,1,0,1
ANADARKO PETROLEUM,MUTUAL OF OMAHA INSURANCE,0.032323,0,0,1,1,0,1
ANADARKO PETROLEUM,NATIONAL OILWELL VARCO,0.129165,0,0,5,5,0,1
ANADARKO PETROLEUM,NATIONWIDE,0.001474,1,0,0,1,1,0
ANADARKO PETROLEUM,NAVIENT,0.028526,0,0,1,1,0,1
ANADARKO PETROLEUM,NCR,0.008082,0,0,1,1,0,1
ANADARKO PETROLEUM,NORFOLK SOUTHERN,0.013689,0,0,1,1,0,1
ANADARKO PETROLEUM,OWENS & MINOR,0.022108,0,0,1,1,0,1
ANADARKO PETROLEUM,OWENS-ILLINOIS,0.026885,0,0,1,1,0,1
ANADARKO PETROLEUM,PEABODY ENERGY,0.024241,0,0,1,1,0,1
PPG INDUSTRIES,ANADARKO PETROLEUM,0.000655,1,0,0,1,1,0
ANADARKO PETROLEUM,PRINCIPAL FINANCIAL,0.032323,0,0,1,1,0,1
ANADARKO PETROLEUM,SEMPRA ENERGY,0.024241,1,0,1,2,1,0
ANADARKO PETROLEUM,SOUTHERN,0.003797,0,0,1,1,0,1
ANADARKO PETROLEUM,TENET HEALTHCARE,0.018231,0,0,1,1,0,1
ANADARKO PETROLEUM,UNITED AIRLINES HOLDINGS,0.032323,0,0,1,1,0,1
ANADARKO PETROLEUM,WILLIAMS,0.049783,1,0,0,1,1,0
ANADARKO PETROLEUM,WINDSTREAM HOLDINGS,0.006418,1,0,0,1,1,0
APPLE,AT&T,0.047485,1,0,2,3,1,0
APPLE,BAXTER INTERNATIONAL,0.035904,2,0,1,3,2,0
APPLE,BECTON DICKINSON,0.010552,1,0,0,1,1,0
APPLE,BEST BUY,0.332059,0,0,2,2,0,1
APPLE,BLACKSTONE GROUP,0.006408,1,0,1,2,1,0
APPLE,BOEING,0.083674,0,0,1,1,0,1
APPLE,BOSTON SCIENTIFIC,0.04684,1,0,3,4,1,0
APPLE,BRISTOL-MYERS SQUIBB,0.215131,2,0,1,3,2,0
CATERPILLAR,APPLE,0.005366,1,0,0,1,1,0
APPLE,CHARLES SCHWAB,0.000619,0,0,1,1,0,1
APPLE,CHESAPEAKE ENERGY,0.000277,1,0,0,1,1,0
APPLE,CISCO SYSTEMS,0.126093,3,0,0,3,3,0
APPLE,COMCAST,0.123869,1,0,1,2,1,0
APPLE,CORNING,0.029019,2,0,1,3,2,0
APPLE,DEERE,0.019799,1,0,0,1,1,0
APPLE,DELTA AIR LINES,0.011783,0,0,1,1,0,1
APPLE,DICK'S SPORTING GOODS,0.288565,2,0,0,2,2,0
APPLE,DISH NETWORK,0.115256,2,0,1,3,2,0
APPLE,DOLLAR GENERAL,0.272905,0,0,1,1,0,1
APPLE,DTE ENERGY,0.003042,0,0,1,1,0,1
APPLE,DUPONT DE NEMOURS,0.002223,1,0,0,1,1,0
APPLE,EBAY,0.155596,2,0,3,5,2,0
APPLE,EXELON,0.044984,0,0,1,1,0,1
APPLE,FACEBOOK,0.096784,2,0,2,4,2,0
APPLE,FEDEX,0.002424,0,0,1,1,0,1
APPLE,FIRSTENERGY,0.011783,0,0,1,1,0,1
APPLE,FORD,0.019799,0,0,1,1,0,1
APPLE,FOX CORP,0.008822,1,0,0,1,1,0
APPLE,HARTFORD FINANCIAL SERVICES,0.001042,1,0,0,1,1,0
APPLE,HOME DEPOT,0.119799,0,0,1,1,0,1
APPLE,IBM,0.123869,1,0,2,3,1,0
APPLE,IHEARTMEDIA,0.109484,2,0,0,2,2,0
APPLE,ILLINOIS TOOL WORKS,0.045387,1,0,0,1,1,0
APPLE,INTEL,0.011322,1,0,1,2,1,0
APPLE,INTUIT,0.037977,1,0,0,1,1,0
APPLE,KOHL'S,0.249875,0,0,1,1,0,1
LIBERTY MUTUAL INSURANCE GROUP,APPLE,0.005366,1,0,0,1,1,0
APPLE,LOEWS,0.000424,0,0,1,1,0,1
APPLE,LOWE'S,0.321766,0,0,1,1,0,1
APPLE,MARATHON OIL,0.060644,0,0,1,1,0,1
MARRIOTT INTERNATIONAL,APPLE,0.001319,1,0,1,2,1,0
APPLE,MERCK,0.002223,0,0,1,1,0,1
APPLE,MICRON TECHNOLOGY,0.082184,2,0,1,3,2,0
APPLE,MICROSOFT,0.098675,2,0,1,3,2,0
APPLE,MOTOROLA SOLUTIONS,0.014433,1,0,0,1,1,0
APPLE,MUTUAL OF OMAHA INSURANCE,0.033892,0,0,1,1,0,1
APPLE,NATIONAL OILWELL VARCO,0.03869,0,0,1,1,0,1
APPLE,NATIONWIDE,0.003042,1,0,1,2,1,0
APPLE,NAVIENT,0.078309,0,0,1,1,0,1
APPLE,NCR,0.093989,0,0,1,1,0,1
APPLE,NORFOLK SOUTHERN,0.015257,0,0,1,1,0,1
ORACLE,APPLE,0.176178,3,0,3,6,3,0
APPLE,OWENS & MINOR,0.171766,0,0,1,1,0,1
APPLE,PEABODY ENERGY,0.02581,0,0,1,1,0,1
APPLE,PEPSICO,0.027041,1,0,1,2,1,0
APPLE,PRINCIPAL FINANCIAL,0.044984,0,0,1,1,0,1
APPLE,PRUDENTIAL FINANCIAL,0.001042,1,0,0,1,1,0
APPLE,PUBLIC SERVICE ENTERPRISE GROUP,0.001042,0,0,1,1,0,1
APPLE,QUALCOMM,0.045723,2,0,4,6,2,0
APPLE,SIMON PROPERTY GROUP,0.21375,0,0,1,1,0,1
APPLE,SOUTHERN,0.005366,0,0,1,1,0,1
APPLE,TARGET,0.324451,0,0,1,1,0,1
APPLE,TENET HEALTHCARE,0.031029,0,0,2,2,0,1
APPLE,TEXAS INSTRUMENTS,0.223272,0,0,3,3,0,1
APPLE,THERMO FISHER SCIENTIFIC,0.01149,2,0,0,2,2,0
APPLE,UNITED AIRLINES HOLDINGS,0.119799,0,0,1,1,0,1
APPLE,VERIZON,0.34369,2,0,3,5,2,0
APPLE,WALT DISNEY,0.010141,1,0,1,2,1,0
APPLE,WEC ENERGY GROUP,0.138565,0,0,1,1,0,1
APPLIED MATERIALS,CAMPBELL SOUP,0.010552,1,0,0,1,1,0
APPLIED MATERIALS,CATERPILLAR,0.029727,1,0,3,4,1,0
APPLIED MATERIALS,CISCO SYSTEMS,0.115094,3,0,1,4,3,0
APPLIED MATERIALS,COCA-COLA,0.021105,0,0,2,2,0,1
APPLIED MATERIALS,COGNIZANT TECHNOLOGY SOLUTIONS,0.099875,0,0,1,1,0,1
APPLIED MATERIALS,CORNING,0.123176,2,1,0,3,1,0
APPLIED MATERIALS,DXC TECHNOLOGY,0.029727,1,0,0,1,1,0
APPLIED MATERIALS,FACEBOOK,0.104542,0,0,1,1,0,1
APPLIED MATERIALS,GOODYEAR TIRE & RUBBER,0.01566,2,0,0,2,2,0
APPLIED MATERIALS,IBM,0.168292,0,0,3,3,0,1
APPLIED MATERIALS,IHEARTMEDIA,0.015094,0,0,2,2,0,1
APPLIED MATERIALS,ILLINOIS TOOL WORKS,0.029186,0,0,2,2,0,1
INTEL,APPLIED MATERIALS,0.30202,1,0,4,5,1,0
APPLIED MATERIALS,MARSH & MCLENNAN,0.063875,0,0,1,1,0,1
APPLIED MATERIALS,MCDONALD'S,0.057864,1,0,0,1,1,0
APPLIED MATERIALS,MOTOROLA SOLUTIONS,0.168292,1,0,0,1,1,0
APPLIED MATERIALS,NUCOR,0.029186,0,0,2,2,0,1
ORACLE,APPLIED MATERIALS,0.068417,1,0,0,1,1,0
APPLIED MATERIALS,OWENS-ILLINOIS,0.045387,1,0,0,1,1,0
QUALCOMM,APPLIED MATERIALS,0.055939,1,0,2,3,1,0
TEXAS INSTRUMENTS,APPLIED MATERIALS,0.104542,1,0,4,5,1,0
APPLIED MATERIALS,VISA,0.010552,2,0,0,2,2,0
APPLIED MATERIALS,XEROX,0.065946,1,0,1,2,1,0
BANK OF AMERICA,ASSURANT,0.018643,1,0,2,3,1,0
ASSURANT,BLACKSTONE GROUP,0.020389,1,1,0,2,0,1
CAPITAL ONE FINANCIAL,ASSURANT,0.122182,1,0,1,2,1,0
ASSURANT,CISCO SYSTEMS,0.01219,1,0,0,1,1,0
CITIGROUP,ASSURANT,0.001976,1,0,0,1,1,0
ASSURANT,CONOCOPHILLIPS,0.019522,1,0,0,1,1,0
ASSURANT,CONSOLIDATED EDISON,0.333956,0,0,1,1,0,1
ASSURANT,DEERE,0.004477,0,0,1,1,0,1
DISCOVER FINANCIAL SERVICES,ASSURANT,0.001976,1,0,0,1,1,0
ASSURANT,EDISON INTERNATIONAL,0.002631,1,0,0,1,1,0
ASSURANT,ELI LILLY,0.082632,1,0,1,2,1,0
ASSURANT,EXXONMOBIL,0.00345,0,0,1,1,0,1
ASSURANT,FEDEX,0.000424,1,0,0,1,1,0
FIFTH THIRD BANCORP,ASSURANT,0.001976,1,0,0,1,1,0
ASSURANT,FIRSTENERGY,0.026217,0,0,1,1,0,1
ASSURANT,FORD,0.000684,0,0,1,1,0,1
ASSURANT,FRANKLIN RESOURCES,0.011093,1,0,0,1,1,0
ASSURANT,HALLIBURTON,0.329479,0,0,1,1,0,1
HARTFORD FINANCIAL SERVICES,ASSURANT,0.021232,1,0,1,2,1,0
ASSURANT,HERTZ GLOBAL HOLDINGS,0.06375,1,0,0,1,1,0
HOME DEPOT,ASSURANT,0.001976,1,0,1,2,1,0
ASSURANT,INTERNATIONAL PAPER,0.183774,0,0,1,1,0,1
JPMORGAN CHASE & CO.,ASSURANT,0.001976,1,0,0,1,1,0
LIBERTY MUTUAL INSURANCE GROUP,ASSURANT,0.119952,2,1,1,4,1,0
LOEWS,ASSURANT,0.01918,1,0,0,1,1,0
MARRIOTT INTERNATIONAL,ASSURANT,0.020206,1,0,0,1,1,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,ASSURANT,0.001976,1,0,0,1,1,0
METLIFE,ASSURANT,0.12089,1,0,1,2,1,0
ASSURANT,MUTUAL OF OMAHA INSURANCE,0.000183,0,0,1,1,0,1
NATIONWIDE,ASSURANT,0.028038,2,0,2,4,2,0
NORFOLK SOUTHERN,ASSURANT,0.007414,1,0,0,1,1,0
ASSURANT,PNC FINANCIAL SERVICES,0.049511,0,0,3,3,0,1
ASSURANT,PPG INDUSTRIES,0.002631,1,0,0,1,1,0
ASSURANT,PPL,0.001976,0,0,1,1,0,1
PRINCIPAL FINANCIAL,ASSURANT,0.020206,1,0,0,1,1,0
ASSURANT,STATE FARM INSURANCE,0.001091,1,1,1,3,0,1
ASSURANT,UNUM GROUP,0.104542,1,0,0,1,1,0
USAA,ASSURANT,0.138531,3,0,1,4,3,0
ASSURANT,WALT DISNEY,0.000225,1,0,0,1,1,0
WELLS FARGO,ASSURANT,0.001976,1,0,2,3,1,0
AT&T,BAXTER INTERNATIONAL,0.003203,1,0,0,1,1,0
AT&T,BERKSHIRE HATHAWAY,0.000617,0,0,1,1,0,1
AT&T,BEST BUY,0.122905,1,1,0,2,0,1
AT&T,BLACKSTONE GROUP,0.005161,2,0,0,2,2,0
AT&T,BOEING,0.003247,0,0,1,1,0,1
AT&T,BOSTON SCIENTIFIC,0.08423,0,0,1,1,0,1
AT&T,BRISTOL-MYERS SQUIBB,0.003247,0,0,1,1,0,1
CAPITAL ONE FINANCIAL,AT&T,0.026668,1,0,1,2,1,0
CBS,AT&T,0.027513,1,0,4,5,1,0
AT&T,CENTERPOINT ENERGY,0.000347,0,0,1,1,0,1
AT&T,CHARLES SCHWAB,0.000843,0,0,1,1,0,1
AT&T,CHARTER COMMUNICATIONS,0.024767,1,1,1,3,0,1
AT&T,CHESAPEAKE ENERGY,0.000954,1,0,0,1,1,0
AT&T,CHEVRON,0.120823,0,0,1,1,0,1
CMS ENERGY,AT&T,0.000468,1,0,0,1,1,0
AT&T,COCA-COLA,0.120724,1,0,0,1,1,0
AT&T,COMCAST,0.009375,1,1,1,3,0,1
AT&T,CUMMINS,0.026834,1,0,0,1,1,0
AT&T,DEERE,0.00027,0,0,1,1,0,1
AT&T,DELTA AIR LINES,0.003864,0,0,2,2,0,1
AT&T,DOLLAR GENERAL,0.059155,1,1,0,2,0,1
DTE ENERGY,AT&T,0.003715,1,0,1,2,1,0
DUKE ENERGY,AT&T,0.000468,1,0,0,1,1,0
AT&T,DUPONT DE NEMOURS,0.012852,2,0,0,2,2,0
EBAY,AT&T,0.183272,1,0,1,2,1,0
AT&T,EMERSON ELECTRIC,0.074815,0,0,1,1,0,1
AT&T,ENTERGY,0.001492,1,0,1,2,1,0
AT&T,EXELON,0.003247,0,0,1,1,0,1
AT&T,FEDEX,0.04597,0,0,2,2,0,1
AT&T,FIRSTENERGY,0.003247,0,0,1,1,0,1
AT&T,FOX CORP,0.011506,1,0,0,1,1,0
AT&T,HARTFORD FINANCIAL SERVICES,0.120823,0,0,1,1,0,1
HOME DEPOT,AT&T,0.028647,2,0,2,4,2,0
AT&T,IBM,0.13931,0,0,4,4,0,1
INTUIT,AT&T,0.018803,1,0,1,2,1,0
AT&T,JOHNSON & JOHNSON,0.085722,0,0,2,2,0,1
AT&T,LINCOLN NATIONAL,0.018803,1,0,0,1,1,0
AT&T,LOCKHEED MARTIN,0.12107,0,0,2,2,0,1
AT&T,LOWE'S,0.033201,1,1,0,2,0,1
AT&T,MARATHON OIL,0.003247,0,0,1,1,0,1
AT&T,MARRIOTT INTERNATIONAL,0.000633,1,0,0,1,1,0
AT&T,MASCO,0.110701,1,0,0,1,1,0
AT&T,MERCK,0.003247,0,0,1,1,0,1
AT&T,MICROSOFT,0.063311,2,0,0,2,2,0
AT&T,MUTUAL OF OMAHA INSURANCE,0.030081,0,0,2,2,0,1
AT&T,NATIONWIDE,0.003247,1,0,0,1,1,0
AT&T,NEXTERA ENERGY,0.000247,0,0,1,1,0,1
AT&T,NORFOLK SOUTHERN,0.003247,0,0,1,1,0,1
AT&T,NORTHWESTERN MUTUAL,0.034916,0,0,1,1,0,1
ORACLE,AT&T,0.0001,1,0,0,1,1,0
AT&T,PEABODY ENERGY,0.003247,0,0,1,1,0,1
AT&T,PEPSICO,0.000617,0,0,1,1,0,1
AT&T,PPL,0.000468,0,0,1,1,0,1
AT&T,PRINCIPAL FINANCIAL,0.003247,0,0,1,1,0,1
AT&T,PRUDENTIAL FINANCIAL,0.120778,0,0,1,1,0,1
AT&T,PUBLIC SERVICE ENTERPRISE GROUP,0.002066,0,0,1,1,0,1
AT&T,RAYTHEON,0.120823,0,0,1,1,0,1
AT&T,SOUTHERN,0.003247,0,0,1,1,0,1
AT&T,TENET HEALTHCARE,0.00574,1,1,1,3,0,1
AT&T,TRAVELERS,0.006418,1,0,0,1,1,0
AT&T,UNITED AIRLINES HOLDINGS,0.003247,0,0,1,1,0,1
AT&T,VERIZON,0.193398,2,1,7,10,1,0
AT&T,WALT DISNEY,0.012008,0,0,2,2,0,1
AT&T,WELLS FARGO,0.084743,2,0,0,2,2,0
AT&T,WEYERHAEUSER,0.000617,0,0,1,1,0,1
XCEL ENERGY,AT&T,0.000468,1,0,0,1,1,0
HERTZ GLOBAL HOLDINGS,AVIS BUDGET GROUP,0.15,1,0,0,1,1,0
BERKSHIRE HATHAWAY,BALL,0.094952,1,0,3,4,1,0
BOEING,BALL,0.11747,3,1,12,16,2,0
BALL,BOSTON SCIENTIFIC,0.04554,0,0,1,1,0,1
BRISTOL-MYERS SQUIBB,BALL,0.18482,1,0,1,2,1,0
BALL,CATERPILLAR,0.001643,0,0,1,1,0,1
CENTERPOINT ENERGY,BALL,0.0014,1,0,1,2,1,0
BALL,CHESAPEAKE ENERGY,0.00172,0,0,1,1,0,1
BALL,CITIGROUP,0.001543,0,0,1,1,0,1
CMS ENERGY,BALL,0.001301,1,0,0,1,1,0
COCA-COLA,BALL,0.032486,2,0,5,7,2,0
CONSOLIDATED EDISON,BALL,0.004066,1,0,0,1,1,0
BALL,CSX,0.033615,0,0,1,1,0,1
CUMMINS,BALL,0.02516,3,0,7,10,3,0
BALL,DAVITA,0.014027,0,0,1,1,0,1
DEERE,BALL,0.027712,3,0,1,4,3,0
BALL,DELTA AIR LINES,0.001301,0,0,1,1,0,1
DTE ENERGY,BALL,0.001301,1,0,0,1,1,0
BALL,DUKE ENERGY,4.5e-05,0,0,1,1,0,1
DUPONT DE NEMOURS,BALL,0.070948,2,0,4,6,2,0
BALL,DXC TECHNOLOGY,0.363679,0,0,4,4,0,1
BALL,EDISON INTERNATIONAL,0.012807,0,0,1,1,0,1
ELI LILLY,BALL,0.002,1,0,1,2,1,0
EXELON,BALL,0.011255,2,0,1,3,2,0
BALL,EXXONMOBIL,0.008499,0,0,2,2,0,1
BALL,FACEBOOK,0.012084,1,1,4,6,0,1
BALL,FEDEX,0.003451,0,0,1,1,0,1
FIFTH THIRD BANCORP,BALL,0.001301,1,0,0,1,1,0
FIRSTENERGY,BALL,0.005367,2,0,0,2,2,0
FORD,BALL,0.001917,2,0,0,2,2,0
BALL,GENERAL DYNAMICS,0.105278,0,0,12,12,0,1
GENERAL ELECTRIC,BALL,0.001301,1,0,0,1,1,0
BALL,GENERAL MOTORS,0.004066,0,0,1,1,0,1
BALL,HARTFORD FINANCIAL SERVICES,0.000166,1,0,0,1,1,0
BALL,HONEYWELL INTERNATIONAL,0.05902,1,0,3,4,1,0
BALL,HUMANA,0.080865,2,0,1,3,2,0
BALL,HUNTINGTON INGALLS INDUSTRIES,0.15,0,0,1,1,0,1
IBM,BALL,0.004104,2,0,2,4,2,0
BALL,INTEL,0.024889,0,0,2,2,0,1
BALL,INTERNATIONAL PAPER,0.002448,0,0,1,1,0,1
BALL,INTERPUBLIC GROUP,0.037845,0,0,6,6,0,1
JPMORGAN CHASE & CO.,BALL,0.011589,2,0,1,3,2,0
BALL,L3HARRIS TECHNOLOGIES,0.174396,2,1,8,11,1,0
BALL,LEIDOS HOLDINGS,0.437295,0,0,5,5,0,1
LOCKHEED MARTIN,BALL,0.040042,4,0,4,8,4,0
BALL,MARRIOTT INTERNATIONAL,0.000451,1,0,0,1,1,0
BALL,MERCK,0.000617,0,0,1,1,0,1
MICROSOFT,BALL,0.061916,1,0,1,2,1,0
BALL,NATIONWIDE,0.061668,0,0,1,1,0,1
BALL,NAVIENT,0.028526,0,0,1,1,0,1
BALL,NEWMONT,0.06375,0,0,1,1,0,1
BALL,NEXTERA ENERGY,0.004066,0,0,1,1,0,1
NORFOLK SOUTHERN,BALL,0.000716,1,0,1,2,1,0
BALL,NORTHROP GRUMMAN,0.176562,0,0,10,10,0,1
NORTHWESTERN MUTUAL,BALL,0.001301,1,0,0,1,1,0
ORACLE,BALL,0.011703,3,0,0,3,3,0
PEPSICO,BALL,0.000662,1,0,1,2,1,0
BALL,PG&E,0.008031,0,0,1,1,0,1
BALL,PPG INDUSTRIES,0.147355,0,0,9,9,0,1
PPL,BALL,0.009332,2,0,0,2,2,0
PRINCIPAL FINANCIAL,BALL,0.001301,1,0,0,1,1,0
PUBLIC SERVICE ENTERPRISE GROUP,BALL,0.001301,1,0,0,1,1,0
RAYTHEON,BALL,0.098412,1,0,12,13,1,0
BALL,ROCKWELL COLLINS,0.013765,2,1,1,4,1,0
SEMPRA ENERGY,BALL,0.001301,1,0,0,1,1,0
SOUTHERN,BALL,0.003893,2,0,0,2,2,0
SOUTHWEST AIRLINES,BALL,0.338145,1,0,1,2,1,0
BALL,STRYKER,0.02303,0,0,1,1,0,1
BALL,TENET HEALTHCARE,0.183272,0,0,1,1,0,1
TEXAS INSTRUMENTS,BALL,0.005519,1,0,5,6,1,0
BALL,UNITED PARCEL SERVICE,0.027081,0,0,2,2,0,1
UNITED TECHNOLOGIES,BALL,0.134735,4,0,7,11,4,0
USAA,BALL,0.000347,1,0,0,1,1,0
BALL,WELLS FARGO,0.004757,1,1,2,4,0,1
WEYERHAEUSER,BALL,0.003576,1,0,4,5,1,0
WHIRLPOOL,BALL,0.006011,2,0,0,2,2,0
BANK OF AMERICA,BAXTER INTERNATIONAL,0.003203,0,0,1,1,0,1
BANK OF AMERICA,BERKSHIRE HATHAWAY,0.000166,1,0,0,1,1,0
