source,target,weight
AECOM,GENERAL ELECTRIC,0.013973395803869903
AECOM,GILEAD SCIENCES,0.005618432807531126
AECOM,GRAPHIC PACKAGING HOLDING,0.04465438414477645
AECOM,HEWLETT PACKARD ENTERPRISE,0.0022490803922815277
AECOM,HOLLYFRONTIER,0.12248579885142856
AECOM,HOME DEPOT,0.0017517213507746532
AECOM,HONEYWELL INTERNATIONAL,0.15945012522640456
AECOM,JACOBS ENGINEERING GROUP,0.059670889071428555
AECOM,LABORATORY CORP. OF AMERICA,0.003965562251428497
AECOM,LEIDOS HOLDINGS,0.03465200324676617
AECOM,LIBERTY MUTUAL INSURANCE GROUP,0.006603241645564121
AECOM,LOCKHEED MARTIN,0.01591652258883672
AECOM,MAGELLAN HEALTH,0.0015251194969974004
AECOM,MICRON TECHNOLOGY,0.055489695608660704
AECOM,NORTHROP GRUMMAN,0.10078304836775527
AECOM,ORACLE,0.007596756012083032
AECOM,OWENS CORNING,0.0031698040009090914
AECOM,PPG INDUSTRIES,0.08215295496229205
AECOM,PUBLIC SERVICE ENTERPRISE GROUP,0.006342393702815254
AECOM,RAYTHEON,0.058398371837605476
AECOM,SOUTHERN,0.022716615006239803
AECOM,SOUTHWEST AIRLINES,0.03812147864759425
AECOM,STANLEY BLACK & DECKER,0.013121999999999998
AECOM,TESLA,0.048715240188986396
AECOM,TEXTRON,0.013570725535714284
AECOM,UNION PACIFIC,0.00282801684271281
AECOM,UNITED AIRLINES HOLDINGS,0.018894921155553645
AECOM,UNITED TECHNOLOGIES,0.11903117767965248
AECOM,WESTROCK,0.015172370033470613
AECOM,WEYERHAEUSER,0.09620129172737338
AES,AMERICAN AIRLINES GROUP,0.004782969
AES,ARAMARK,0.004782969
AES,CHS,0.007592014285714285
AES,CMS ENERGY,0.06951238907142857
AES,DELTA AIR LINES,0.01076168025
AES,DTE ENERGY,0.14608438907142857
AES,DUKE ENERGY,0.059670889071428555
AES,ECOLAB,0.018353694535714282
AES,EDISON INTERNATIONAL,0.01076168025
AES,ENTERGY,0.018353694535714282
AES,EVERSOURCE ENERGY,0.01554464925
AES,EXXONMOBIL,0.01076168025
AES,FEDEX,0.04131719453571427
AES,FIRSTENERGY,0.08550576385714286
AES,GENERAL DYNAMICS,0.02819519453571428
AES,GENERAL MOTORS,0.018353694535714282
AES,L3HARRIS TECHNOLOGIES,0.21318849999999995
AES,MARATHON PETROLEUM,0.018353694535714282
AES,PPL,0.14608438907142857
AES,QUEST DIAGNOSTICS,0.004782969
AES,SOUTHERN,0.09132516353571428
AES,SOUTHWEST AIRLINES,0.13154219453571422
AES,TESLA,0.06951238907142857
AES,UNION PACIFIC,0.004782969
AES,XCEL ENERGY,0.02819519453571428
AFLAC,HP,0.05834699999999999
AIG,ALLSTATE,0.11240991580878794
AIG,ALLY FINANCIAL,0.013121999999999998
AIG,AMERICAN EXPRESS,0.05496444507218749
AIG,AMERICAN FAMILY INSURANCE GROUP,0.0012543623092677787
AIG,AMERIPRISE FINANCIAL,0.018690174837260945
AIG,BANK OF AMERICA,0.0217744079625399
AIG,BLACKROCK,0.13862106932142856
AIG,CAPITAL ONE FINANCIAL,0.0006754258588364963
AIG,CHARLES SCHWAB,0.07600138414477646
AIG,CITIGROUP,0.004627557521395385
AIG,DISCOVER FINANCIAL SERVICES,0.007592014285714285
AIG,FIFTH THIRD BANCORP,0.022963499999999994
AIG,FORD,0.02939093678571428
AIG,HARTFORD FINANCIAL SERVICES,0.00354978061884603
AIG,HILTON WORLDWIDE HOLDINGS,0.008688413565605332
AIG,INTERNATIONAL PAPER,0.002044334073988827
AIG,JPMORGAN CHASE & CO.,0.02515983814791335
AIG,KEYCORP,0.05648956456918489
AIG,LIBERTY MUTUAL INSURANCE GROUP,0.006603241645564121
AIG,LINCOLN NATIONAL,0.04681033920109437
AIG,MARRIOTT INTERNATIONAL,0.004093313310533726
AIG,MUTUAL OF OMAHA INSURANCE,0.059914808237359736
AIG,NATIONWIDE,0.0388737401889864
AIG,NEW YORK LIFE INSURANCE,0.07789588907142858
AIG,NEXTERA ENERGY,0.045224999999999994
AIG,NORTHERN TRUST,0.18448200374142856
AIG,NORTHWESTERN MUTUAL,0.06589809623319634
AIG,PNC FINANCIAL SERVICES,0.0630916024982542
AIG,PRINCIPAL FINANCIAL,0.0026232705244201094
AIG,PRUDENTIAL FINANCIAL,0.07529145185776359
AIG,STATE FARM INSURANCE,0.021487820752637023
AIG,SYNCHRONY FINANCIAL,0.05097629172737337
AIG,TIAA,0.18266465011265945
AIG,U.S. BANCORP,0.013121999999999998
AIG,UNITED TECHNOLOGIES,0.020520045653272118
AIR PRODUCTS & CHEMICALS,CONSOLIDATED EDISON,0.018224999999999998
AIR PRODUCTS & CHEMICALS,DAVITA,0.018224999999999998
AIR PRODUCTS & CHEMICALS,ENERGY TRANSFER,0.06344999999999999
AIR PRODUCTS & CHEMICALS,ENTERGY,0.045224999999999994
AIR PRODUCTS & CHEMICALS,FLUOR,0.22667499999999996
AIR PRODUCTS & CHEMICALS,HOLLYFRONTIER,0.018224999999999998
AIR PRODUCTS & CHEMICALS,HUNTSMAN,0.045224999999999994
AIR PRODUCTS & CHEMICALS,JETBLUE AIRWAYS,0.018224999999999998
AIR PRODUCTS & CHEMICALS,LEIDOS HOLDINGS,0.045224999999999994
AIR PRODUCTS & CHEMICALS,MICRON TECHNOLOGY,0.13545
AIR PRODUCTS & CHEMICALS,NORTHROP GRUMMAN,0.06344999999999999
AIR PRODUCTS & CHEMICALS,ORACLE,0.045224999999999994
AIR PRODUCTS & CHEMICALS,OSHKOSH,0.17199999999999996
ALASKA AIR GROUP,AMAZON,0.08542989229688316
ALASKA AIR GROUP,AMERICAN AIRLINES GROUP,0.3334427398376184
ALASKA AIR GROUP,AMERICAN ELECTRIC POWER,0.00022945483715737118
ALASKA AIR GROUP,BANK OF AMERICA,0.001839607694480351
ALASKA AIR GROUP,BECTON DICKINSON,0.004787623196757693
ALASKA AIR GROUP,BERKSHIRE HATHAWAY,0.0028286701435369724
ALASKA AIR GROUP,BOSTON SCIENTIFIC,0.059542194535714285
ALASKA AIR GROUP,CAPITAL ONE FINANCIAL,0.04813630373855511
ALASKA AIR GROUP,CARDINAL HEALTH,0.05475922553571428
ALASKA AIR GROUP,CENTENE,0.0008077346192908369
ALASKA AIR GROUP,CORNING,0.00036002182936193083
ALASKA AIR GROUP,CUMMINS,0.05474748694823521
ALASKA AIR GROUP,DELL TECHNOLOGIES,0.08339747429365021
ALASKA AIR GROUP,DELTA AIR LINES,0.12431697865269162
ALASKA AIR GROUP,DUKE ENERGY,0.00046547665717804445
ALASKA AIR GROUP,EDISON INTERNATIONAL,0.004060856044209948
ALASKA AIR GROUP,ENTERGY,0.0011730647878035242
ALASKA AIR GROUP,FACEBOOK,0.05291156564870538
ALASKA AIR GROUP,FEDEX,0.17935458024548448
ALASKA AIR GROUP,FIRSTENERGY,5.335673576432966e-05
ALASKA AIR GROUP,GENERAL ELECTRIC,0.0010424977955989644
ALASKA AIR GROUP,GENERAL MILLS,0.04878051428571428
ALASKA AIR GROUP,GENERAL MOTORS,0.0844127835330537
ALASKA AIR GROUP,HEWLETT PACKARD ENTERPRISE,0.005845034661308379
ALASKA AIR GROUP,HOLLYFRONTIER,0.09041639942571428
ALASKA AIR GROUP,IBM,0.009815132624161074
ALASKA AIR GROUP,JACOBS ENGINEERING GROUP,0.04131719453571427
ALASKA AIR GROUP,JOHNSON & JOHNSON,0.0033501414732360004
ALASKA AIR GROUP,LEIDOS HOLDINGS,0.040189911121785105
ALASKA AIR GROUP,LOCKHEED MARTIN,0.017297819790662253
ALASKA AIR GROUP,MICRON TECHNOLOGY,0.003988153344814121
ALASKA AIR GROUP,MICROSOFT,4.6039762929306716e-05
ALASKA AIR GROUP,PG&E,0.0001055561420821929
ALASKA AIR GROUP,PNC FINANCIAL SERVICES,0.014770846154007722
ALASKA AIR GROUP,PPG INDUSTRIES,0.0005303787140258552
ALASKA AIR GROUP,PPL,0.000687639146141571
ALASKA AIR GROUP,PRINCIPAL FINANCIAL,0.0009950580984721682
ALASKA AIR GROUP,RAYTHEON,0.0008663996942059229
ALASKA AIR GROUP,SALESFORCE,0.03134699999999999
ALASKA AIR GROUP,SOUTHWEST AIRLINES,0.09664566541523513
ALASKA AIR GROUP,STANLEY BLACK & DECKER,0.03134699999999999
ALASKA AIR GROUP,U.S. BANCORP,0.013121999999999998
ALASKA AIR GROUP,UNION PACIFIC,0.003625689930254343
ALASKA AIR GROUP,UNITED AIRLINES HOLDINGS,0.23241916948722333
ALASKA AIR GROUP,UNITED TECHNOLOGIES,0.0002392993292306176
ALASKA AIR GROUP,VERIZON,4.6039762929306716e-05
ALASKA AIR GROUP,WEYERHAEUSER,0.09620129172737338
ALLSTATE,ALTRIA GROUP,0.0035720059146561976
ALLSTATE,AMAZON,0.002533899280996407
ALLSTATE,AMERICAN EXPRESS,0.05496444507218749
ALLSTATE,AMERICAN FAMILY INSURANCE GROUP,0.10801035743346721
ALLSTATE,AMERIPRISE FINANCIAL,0.06101790343903798
ALLSTATE,ASSURANT,0.0038742048900000004
ALLSTATE,AT&T,0.04484537817559965
ALLSTATE,BANK OF AMERICA,0.00768464235578873
ALLSTATE,BLACKROCK,0.08654219453571428
ALLSTATE,BOEING,0.00026400325249015916
ALLSTATE,CBS,0.04880694146473495
ALLSTATE,COCA-COLA,0.001774715676475952
ALLSTATE,CUMMINS,0.0014427168108226867
ALLSTATE,ENTERGY,1.2815418144537823e-05
ALLSTATE,FORD,0.023412225535714284
ALLSTATE,FOX CORP,0.03993659551950832
ALLSTATE,HARTFORD FINANCIAL SERVICES,0.15830706621539278
ALLSTATE,HEWLETT PACKARD ENTERPRISE,0.10755959923049327
ALLSTATE,HOME DEPOT,0.0002543643730136586
ALLSTATE,HONEYWELL INTERNATIONAL,0.00019494265539450373
ALLSTATE,IBM,0.05334514851179872
ALLSTATE,JOHNSON & JOHNSON,0.004215955961860455
ALLSTATE,JPMORGAN CHASE & CO.,0.007476964723635016
ALLSTATE,LINCOLN NATIONAL,0.014735044234186877
ALLSTATE,LOCKHEED MARTIN,0.11082227878684078
ALLSTATE,MICROSOFT,0.08377416460391988
ALLSTATE,MUTUAL OF OMAHA INSURANCE,0.024502484634239458
ALLSTATE,NATIONWIDE,0.026658366200438342
ALLSTATE,NORTHWESTERN MUTUAL,0.011390386160527016
ALLSTATE,PEPSICO,0.002969854377314663
ALLSTATE,PG&E,6.713962005504456e-05
ALLSTATE,PRINCIPAL FINANCIAL,0.058175895652576026
ALLSTATE,PRUDENTIAL FINANCIAL,0.09266524427003801
ALLSTATE,RAYTHEON,0.0024596747243466593
ALLSTATE,SEMPRA ENERGY,0.07578051428571428
ALLSTATE,STATE FARM INSURANCE,0.015504519465135773
ALLSTATE,SYNCHRONY FINANCIAL,0.00965909719165909
ALLSTATE,TIAA,0.33247601235332713
ALLSTATE,UNITED AIRLINES HOLDINGS,0.000762492446355407
ALLSTATE,UNITED TECHNOLOGIES,0.007476964723635016
ALLSTATE,VERIZON,0.11082227878684078
ALLSTATE,W.R. BERKLEY,0.03134699999999999
ALLY FINANCIAL,AMERICAN EXPRESS,0.20334699999999994
ALLY FINANCIAL,BANK OF NEW YORK MELLON,0.018224999999999998
ALLY FINANCIAL,CITIZENS FINANCIAL GROUP,0.08969399999999998
