source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
ABM INDUSTRIES,HONEYWELL INTERNATIONAL,0.034095056624999814,5,5,0.374157,0.0182249999999999
ABM INDUSTRIES,MOTOROLA SOLUTIONS,0.00454628834999999,1,1,0.100526,0.0452249999999999
ABM INDUSTRIES,PUBLIC SERVICE ENTERPRISE GROUP,0.02831783804999997,2,2,0.156929,0.0902249999999999
ABM INDUSTRIES,XCEL ENERGY,0.001671414749999991,3,3,0.03057,0.0182249999999999
ADP,BEST BUY,0.020132351999999968,2,2,0.139808,0.0719999999999999
ADP,HOME DEPOT,0.05600635199999992,2,2,0.388933,0.0719999999999999
ADP,MCDONALD'S,0.019647953999999926,2,2,0.363851,0.0269999999999999
ADVANCED MICRO DEVICES,CHEMOURS,0.0006233496749999966,1,1,0.034203,0.0182249999999999
ADVANCED MICRO DEVICES,WESTERN DIGITAL,0.01870019999999996,2,2,0.20778,0.0449999999999999
AECOM,AES,0.004308460211448,2,2,0.200176,0.01076168025
AECOM,ALASKA AIR GROUP,0.07185153323955715,6,6,0.111336,0.1075595992304932
AECOM,AMEREN,0.005436336868997474,2,2,0.050551,0.0537708143162101
AECOM,AMERICAN AIRLINES GROUP,0.012850745571383897,6,6,0.115575,0.0185316108895867
AECOM,APPLIED MATERIALS,0.000369267982842853,1,1,0.048639,0.0075920142857142
AECOM,BALL,0.014273485259011212,4,4,0.085138,0.0419127923459889
AECOM,BERKSHIRE HATHAWAY,0.02772016683628657,8,8,0.088508,0.0391492391030847
AECOM,CATERPILLAR,0.004488464256352591,1,1,0.074088,0.0605828778797186
AECOM,CENTENE,3.2505200152022555e-05,3,3,0.010067,0.0010762954919381
AECOM,CHEMOURS,0.004959465523714272,2,2,0.081155,0.0305555142857142
AECOM,CISCO SYSTEMS,6.294504613811515e-06,1,1,0.003079,0.0020443340739888
AECOM,CONOCOPHILLIPS,0.0007705851984459815,2,2,0.02319,0.0166146010876667
AECOM,CORNING,0.008968419529346764,3,3,0.061274,0.0487886081608663
AECOM,CSX,0.0018933376213672941,3,3,0.034056,0.0185316108895867
AECOM,CUMMINS,0.10939026130745585,9,9,0.191678,0.0634108947224314
AECOM,DELTA AIR LINES,0.5026389425611802,13,13,0.223877,0.1727043601762026
AECOM,DUKE ENERGY,0.000492366440923971,6,6,0.076244,0.0010762954919381
AECOM,ECOLAB,0.00045973047323530076,1,1,0.018169,0.0253030146532721
AECOM,EDISON INTERNATIONAL,0.013532964838641658,2,2,0.102681,0.0658980962331963
AECOM,EVERSOURCE ENERGY,0.00011555131881300932,1,1,0.024231,0.0047687391693702
AECOM,FACEBOOK,1.4340144659665052e-05,1,1,0.003146,0.0045582150857168
AECOM,FEDEX,0.12766064143033606,4,4,0.214974,0.1484605596843526
AECOM,FIRSTENERGY,3.3920881348846776e-05,2,2,0.034101,0.0004973590415068
AECOM,FLUOR,0.036945174808418337,3,3,0.192647,0.0639255128264275
AECOM,FORD,0.0028997580149951714,1,1,0.079371,0.0365342255357142
AECOM,GENERAL DYNAMICS,0.1140973928056741,8,8,0.151714,0.0940069743115946
AECOM,GENERAL ELECTRIC,0.0086088414740146,11,11,0.056008,0.0139733958038699
AECOM,GILEAD SCIENCES,3.5884930341701136e-05,1,1,0.006387,0.0056184328075311
AECOM,GRAPHIC PACKAGING HOLDING,0.0028836461649172254,1,1,0.064577,0.0446543841447764
AECOM,HEWLETT PACKARD ENTERPRISE,0.00019472088220294772,2,2,0.043289,0.0022490803922815
AECOM,HOLLYFRONTIER,0.08930194622659948,2,2,0.36454,0.1224857988514285
AECOM,HOME DEPOT,6.103347530368861e-05,1,1,0.034842,0.0017517213507746
AECOM,HONEYWELL INTERNATIONAL,0.20051299707571,4,4,0.314382,0.1594501252264045
AECOM,JACOBS ENGINEERING GROUP,0.02721040278368397,4,4,0.114002,0.0596708890714285
AECOM,LABORATORY CORP. OF AMERICA,0.00011086125830093237,2,2,0.013978,0.0039655622514284
AECOM,LEIDOS HOLDINGS,0.03899320621352096,10,10,0.112528,0.0346520032467661
AECOM,LIBERTY MUTUAL INSURANCE GROUP,9.105209905068337e-05,1,1,0.013789,0.0066032416455641
AECOM,LOCKHEED MARTIN,0.013065045734001428,8,8,0.102606,0.0159165225888367
AECOM,MAGELLAN HEALTH,1.5476912655529617e-05,2,2,0.005074,0.0015251194969974
AECOM,MICRON TECHNOLOGY,0.014082396910348348,2,2,0.126892,0.0554896956086607
AECOM,NORTHROP GRUMMAN,0.11914592134645693,7,7,0.168886,0.1007830483677552
AECOM,ORACLE,0.0005005654471481731,2,2,0.032946,0.007596756012083
AECOM,OWENS CORNING,4.683068430942957e-05,1,1,0.014774,0.003169804000909
AECOM,PPG INDUSTRIES,0.060471557853418706,7,7,0.105155,0.082152954962292
AECOM,PUBLIC SERVICE ENTERPRISE GROUP,0.000566115719519582,3,3,0.029753,0.0063423937028152
AECOM,RAYTHEON,0.0870976676934782,10,10,0.149144,0.0583983718376054
AECOM,SOUTHERN,0.0008367892303698493,2,2,0.018418,0.0227166150062398
AECOM,SOUTHWEST AIRLINES,0.024716441895954178,5,5,0.129672,0.0381214786475942
AECOM,STANLEY BLACK & DECKER,0.0004038033059999969,1,1,0.030773,0.0131219999999999
AECOM,TESLA,0.004131247228986794,1,1,0.084804,0.0487152401889863
AECOM,TEXTRON,0.004111766988614974,3,3,0.100996,0.0135707255357142
AECOM,UNION PACIFIC,0.0012817024813869245,8,8,0.056652,0.0028280168427128
AECOM,UNITED AIRLINES HOLDINGS,0.01649430252781936,7,7,0.124707,0.0188949211555536
AECOM,UNITED TECHNOLOGIES,0.13610298627600118,9,9,0.127047,0.1190311776796524
AECOM,WESTROCK,0.0008930457001700795,1,1,0.05886,0.0151723700334706
AECOM,WEYERHAEUSER,0.020046136566274866,1,1,0.208377,0.0962012917273733
AES,AMERICAN AIRLINES GROUP,0.0021648626458109998,3,3,0.150873,0.004782969
AES,ARAMARK,2.0198478087e-05,1,1,0.004223,0.004782969
AES,CHS,0.0007550713727999915,1,1,0.099456,0.0075920142857142
AES,CMS ENERGY,0.08030481308626941,7,7,0.165037,0.0695123890714285
AES,DELTA AIR LINES,0.0022889878658145,2,2,0.106349,0.01076168025
AES,DTE ENERGY,0.17573426101492196,7,7,0.171852,0.1460843890714285
AES,DUKE ENERGY,0.0424403231431628,4,4,0.17781,0.0596708890714285
AES,ECOLAB,0.000555107491232676,1,1,0.030245,0.0183536945357142
AES,EDISON INTERNATIONAL,0.00037522750527675,1,1,0.034867,0.01076168025
AES,ENTERGY,0.009923292024624596,5,5,0.108134,0.0183536945357142
AES,EVERSOURCE ENERGY,0.015108388668798751,5,5,0.194387,0.01554464925
AES,EXXONMOBIL,0.00042642081822600003,1,1,0.039624,0.01076168025
AES,FEDEX,0.014728918776869541,2,2,0.178242,0.0413171945357142
AES,FIRSTENERGY,0.10514686534394779,5,5,0.245941,0.0855057638571428
AES,GENERAL DYNAMICS,0.010722914433877467,2,2,0.190155,0.0281951945357142
AES,GENERAL MOTORS,0.00045608930921249785,1,1,0.02485,0.0183536945357142
AES,L3HARRIS TECHNOLOGIES,0.08260265577549995,1,1,0.387463,0.2131884999999999
