firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
MUTUAL OF OMAHA INSURANCE,3,0.098007,-0.3521,0.4792,0.004169,0.044594,peripheral
NORTHWESTERN MUTUAL,1,0.089506,0.3791,0.1535,0.005044,0.04461,peripheral
BRISTOL-MYERS SQUIBB,3,0.081943,-0.2442,0.0195,0.003103,0.044337,ultra_peripheral
SOUTHWEST AIRLINES,0,0.079202,-0.0625,0.0538,0.002352,0.044281,peripheral
WALMART,3,0.077936,-0.372,0.0286,0.00283,0.044191,ultra_peripheral
FEDEX,0,0.075963,0.2364,0.0244,0.003942,0.044631,ultra_peripheral
ELI LILLY,3,0.069932,-0.5985,0.0105,0.00194,0.043932,ultra_peripheral
AMGEN,3,0.069187,-0.3578,0.0131,0.002973,0.044212,ultra_peripheral
DUKE ENERGY,2,0.061512,0.2756,0.031,0.007692,0.088377,ultra_peripheral
AMERICAN FAMILY INSURANCE GROUP,1,0.060862,0.506,0.1852,0.005289,0.044746,peripheral
ENTERGY,2,0.057187,0.0166,0.1489,0.007315,0.082071,peripheral
PRINCIPAL FINANCIAL,1,0.055258,-0.6134,0.3418,0.001801,0.043793,peripheral
RITE AID,3,0.054667,-0.3597,0.3373,0.003691,0.044392,peripheral
CITIGROUP,1,0.053943,0.4692,0.2294,0.005711,0.044761,peripheral
LABORATORY CORP. OF AMERICA,3,0.044212,0.2603,0.052,0.006557,0.044913,peripheral
AIG,1,0.03774,-0.2066,0.1005,0.003104,0.04406,peripheral
NAVISTAR INTERNATIONAL,3,0.036802,-0.8742,0.1501,0.001319,0.043635,peripheral
SOUTHERN,2,0.032973,-0.3221,0.0134,0.002112,0.063791,ultra_peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,1,0.032652,-0.3569,0.2975,0.002945,0.044015,peripheral
BEST BUY,1,0.030273,-0.0668,0.4943,0.005034,0.044503,peripheral
BOEING,3,0.029886,-0.8964,0.5984,0.001979,0.043866,peripheral
EVERSOURCE ENERGY,2,0.024864,-0.2848,0.0441,0.004142,0.060376,ultra_peripheral
AT&T,0,0.024314,3.5408,0.0043,0.010692,0.049068,provincial_hub
VERIZON,0,0.024275,3.3657,0.0094,0.010471,0.0489,provincial_hub
REGENERON PHARMACEUTICALS,3,0.02415,-0.713,0.0,0.001746,0.04379,ultra_peripheral
DELTA AIR LINES,0,0.023881,0.6469,0.0557,0.005965,0.04517,peripheral
W.R. BERKLEY,1,0.023664,-0.3463,0.3393,0.00314,0.044049,peripheral
AMERISOURCEBERGEN,3,0.019564,-0.8856,0.004,0.001403,0.043593,ultra_peripheral
WALGREENS BOOTS ALLIANCE,3,0.019435,-0.8434,0.0458,0.001982,0.043646,ultra_peripheral
NEXTERA ENERGY,1,0.019292,-0.1745,0.3517,0.003882,0.044233,peripheral
QUEST DIAGNOSTICS,3,0.01885,0.0569,0.0168,0.005842,0.044652,ultra_peripheral
PNC FINANCIAL SERVICES,1,0.017621,2.2484,0.0088,0.010149,0.04605,ultra_peripheral
BORGWARNER,1,0.016814,-0.2827,0.3511,0.003455,0.044121,peripheral
NEW YORK LIFE INSURANCE,1,0.016457,-0.3708,0.1319,0.003182,0.043923,peripheral
INTERNATIONAL PAPER,4,0.015834,-0.5383,0.5917,0.001856,0.043618,peripheral
FIFTH THIRD BANCORP,1,0.015478,1.4909,0.0297,0.007947,0.045457,ultra_peripheral
PG&E,2,0.014319,-0.2721,0.0781,0.004495,0.05531,peripheral
NORTHERN TRUST,1,0.014201,0.933,0.0038,0.006483,0.04496,ultra_peripheral
BANK OF AMERICA,1,0.013252,0.7946,0.0388,0.006182,0.044876,ultra_peripheral
JPMORGAN CHASE & CO.,1,0.012874,0.5853,0.0302,0.005888,0.044693,ultra_peripheral
GOLDMAN SACHS GROUP,1,0.012417,-0.4135,0.2757,0.002744,0.043945,peripheral
KEYCORP,1,0.012242,0.9885,0.0301,0.006603,0.045038,ultra_peripheral
BLACKROCK,1,0.011257,-0.726,0.0963,0.001532,0.043608,peripheral
OWENS-ILLINOIS,1,0.011142,-0.5089,0.2906,0.002418,0.043857,peripheral
WESCO INTERNATIONAL,1,0.011142,-0.5089,0.2906,0.002418,0.043857,peripheral
COSTCO,1,0.011142,-0.5089,0.2906,0.002418,0.043857,peripheral
AECOM,0,0.010847,0.1515,0.0629,0.004674,0.044522,peripheral
PUBLIC SERVICE ENTERPRISE GROUP,2,0.010108,-0.3627,0.0534,0.002827,0.05164,peripheral
WELLS FARGO,1,0.008749,0.4004,0.0242,0.005378,0.044534,ultra_peripheral
ASSURANT,1,0.007658,-0.6928,0.0,0.001498,0.043623,ultra_peripheral
DANAHER,3,0.007511,-0.616,0.0468,0.002814,0.043906,ultra_peripheral
CENTERPOINT ENERGY,2,0.007366,-0.4032,0.0226,0.004693,0.049426,ultra_peripheral
JOHNSON & JOHNSON,3,0.006764,-0.9877,0.4833,0.001627,0.043541,peripheral
METLIFE,1,0.00652,-0.7641,0.4127,0.001675,0.043642,peripheral
UNITED PARCEL SERVICE,0,0.006274,-0.4788,0.0128,0.001556,0.043694,ultra_peripheral
U.S. BANCORP,1,0.005986,-0.0701,0.0753,0.003751,0.044163,peripheral
ALLY FINANCIAL,1,0.005517,0.2092,0.0037,0.004302,0.044363,ultra_peripheral
ILLINOIS TOOL WORKS,4,0.005352,-0.3488,0.2274,0.00467,0.043808,peripheral
SYNCHRONY FINANCIAL,1,0.005335,-0.0579,0.1179,0.003744,0.044194,peripheral
GENWORTH FINANCIAL,1,0.00501,-0.8266,0.4822,0.001517,0.043594,peripheral
AMERICAN EXPRESS,1,0.004764,0.0728,0.0357,0.004051,0.044263,ultra_peripheral
LEIDOS HOLDINGS,0,0.004361,0.42,0.2962,0.005145,0.045333,peripheral
WHIRLPOOL,4,0.004281,-0.4103,0.0718,0.003643,0.043679,peripheral
AES,2,0.004031,-0.5292,0.2719,0.001222,0.045973,peripheral
GENERAL DYNAMICS,0,0.003409,0.3652,0.256,0.005938,0.045036,peripheral
CHARTER COMMUNICATIONS,0,0.003396,-0.2493,0.0075,0.001772,0.044036,ultra_peripheral
CHARLES SCHWAB,1,0.003258,-0.9699,-0.0,0.000772,0.043396,ultra_peripheral
MICROSOFT,0,0.003185,1.7711,0.0479,0.010022,0.046688,ultra_peripheral
HOLLYFRONTIER,0,0.003049,-0.3891,0.0329,0.002178,0.043814,ultra_peripheral
AMAZON,0,0.002962,0.4701,0.052,0.005557,0.044943,peripheral
TESLA,2,0.002658,-0.5119,0.1899,0.002072,0.04551,peripheral
DOMINION ENERGY,2,0.002557,-0.5124,0.0614,0.001111,0.045484,peripheral
RAYTHEON,0,0.002415,0.3816,0.1342,0.005159,0.04488,peripheral
CUMMINS,0,0.002366,1.9173,0.2212,0.012,0.048033,peripheral
REGIONS FINANCIAL,1,0.002358,-0.4758,0.0,0.002256,0.043799,ultra_peripheral
LOCKHEED MARTIN,0,0.002302,0.6039,0.1407,0.005922,0.045199,peripheral
WESTERN UNION,1,0.002194,-0.782,0.1658,0.001386,0.04357,peripheral
DELL TECHNOLOGIES,0,0.002133,0.6485,0.0812,0.00702,0.045188,peripheral
CBS,0,0.002123,0.3848,0.0304,0.003706,0.044813,ultra_peripheral
STATE FARM INSURANCE,1,0.002111,-0.8737,0.2527,0.002046,0.043493,peripheral
IBM,0,0.00205,1.0731,0.0931,0.009007,0.045786,peripheral
WEYERHAEUSER,0,0.002019,-0.4925,0.4684,0.002618,0.043845,peripheral
VISA,1,0.001985,-0.5347,0.0,0.002094,0.04375,ultra_peripheral
STATE STREET CORP.,1,0.001985,-0.5347,0.0,0.002094,0.04375,ultra_peripheral
THERMO FISHER SCIENTIFIC,3,0.001852,-0.9915,0.3299,0.001138,0.043504,peripheral
GENERAL MOTORS,0,0.001765,-0.0791,0.3721,0.004063,0.044588,peripheral
NORTHROP GRUMMAN,0,0.001572,1.3423,0.0599,0.008702,0.046076,peripheral
ORACLE,0,0.001539,1.5778,0.0589,0.009683,0.046441,peripheral
S&P GLOBAL,1,0.001514,-0.9068,0.4527,0.001876,0.043484,peripheral
TARGET,3,0.001458,-1.0198,0.4957,0.001477,0.043485,peripheral
EDISON INTERNATIONAL,2,0.001419,-0.5341,0.3475,0.001554,0.044567,peripheral
CITIZENS FINANCIAL GROUP,1,0.00136,-0.6159,0.0752,0.002618,0.043694,peripheral
FACEBOOK,0,0.001187,0.6303,0.2743,0.007338,0.045426,peripheral
FOX CORP,0,0.001177,0.2275,0.132,0.003526,0.044672,peripheral
BALL,0,0.001127,0.6412,0.2323,0.006809,0.045383,peripheral
CELANESE,6,0.001115,-1.4142,0.0,0.000598,0.043353,ultra_peripheral
EXXONMOBIL,2,0.001058,-0.5187,0.449,0.002912,0.044745,peripheral
DEERE,1,0.000963,-0.9854,0.4689,0.000772,0.043399,peripheral
CARDINAL HEALTH,0,0.000846,-0.2724,0.006,0.003886,0.043942,ultra_peripheral
CONSTELLATION BRANDS,1,0.000806,-0.6098,0.0759,0.002712,0.043699,peripheral
HEWLETT PACKARD ENTERPRISE,0,0.000783,0.8245,0.0467,0.006847,0.04541,ultra_peripheral
GENERAL MILLS,0,0.000779,-0.2733,0.0017,0.00324,0.043948,ultra_peripheral
CAPITAL ONE FINANCIAL,0,0.000752,-0.4335,0.3711,0.002411,0.043882,peripheral
USAA,1,0.00071,-0.8274,0.0271,0.00184,0.043512,ultra_peripheral
AMEREN,2,0.000683,-0.5233,0.2876,0.001907,0.044362,peripheral
MICRON TECHNOLOGY,0,0.000584,0.7918,0.093,0.006544,0.045442,peripheral
TEXAS INSTRUMENTS,0,0.000564,1.3459,0.0026,0.008719,0.04599,ultra_peripheral
HONEYWELL INTERNATIONAL,0,0.000555,-0.3745,0.1102,0.003054,0.043858,peripheral
STANLEY BLACK & DECKER,0,0.000512,-0.594,0.0417,0.001501,0.043554,ultra_peripheral
SALESFORCE,0,0.000498,0.5005,-0.0,0.00546,0.044934,ultra_peripheral
JACOBS ENGINEERING GROUP,0,0.000466,-0.5254,0.0,0.002225,0.04363,ultra_peripheral
L3HARRIS TECHNOLOGIES,0,0.000459,-0.6909,0.4674,0.001026,0.043479,peripheral
UNITED TECHNOLOGIES,0,0.000435,-0.4352,0.0903,0.00197,0.043769,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,0,0.000403,0.7082,0.0,0.006171,0.045198,ultra_peripheral
XEROX,1,0.000376,-0.9042,0.0,0.001254,0.043448,ultra_peripheral
BOSTON SCIENTIFIC,0,0.000371,-0.5956,0.0,0.002086,0.043546,ultra_peripheral
ALPHABET,0,0.000358,0.0817,0.0026,0.004859,0.044406,ultra_peripheral
3M,0,0.000355,-0.3474,0.4106,0.003057,0.044044,peripheral
CISCO SYSTEMS,0,0.000354,0.3885,0.0095,0.005348,0.044804,ultra_peripheral
MARATHON PETROLEUM,2,0.000342,-0.5096,0.09,0.002489,0.044297,peripheral
CORNING,0,0.000333,0.1845,0.324,0.005376,0.045084,peripheral
INTEL,0,0.00031,0.2402,0.0378,0.004498,0.044664,ultra_peripheral
ABBOTT LABORATORIES,3,0.000301,-1.0732,0.159,0.000724,0.043384,peripheral
APPLIED MATERIALS,0,0.000294,0.1921,0.5013,0.007253,0.045343,peripheral
PPG INDUSTRIES,0,0.000286,-0.259,0.2766,0.003879,0.044078,peripheral
FLUOR,0,0.000249,-0.0015,0.4391,0.0039,0.045296,peripheral
HUNTSMAN,0,0.000238,-0.3553,0.5185,0.002491,0.04424,peripheral
TRAVELERS,1,0.000208,-0.8801,0.0,0.001246,0.043468,ultra_peripheral
CATERPILLAR,0,0.000205,-0.1128,0.4752,0.003951,0.044583,peripheral
LUMEN TECHNOLOGIES,0,0.000192,-0.6501,0.0268,0.001699,0.043483,ultra_peripheral
ABM INDUSTRIES,0,0.000152,-0.6894,0.3353,0.000921,0.043472,peripheral
LOEWS,2,0.000142,-0.5276,0.1878,0.001663,0.043955,peripheral
MOTOROLA SOLUTIONS,0,0.000128,-0.6186,0.3756,0.001249,0.043617,peripheral
GENERAL ELECTRIC,0,0.000125,-0.2582,0.5287,0.004355,0.04433,peripheral
PEABODY ENERGY,2,0.000117,-0.5573,0.0996,0.00079,0.043464,peripheral
LIBERTY MUTUAL INSURANCE GROUP,1,0.000113,-0.9317,0.0638,0.001507,0.043428,peripheral
