firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
TENNECO,3,0.001022,-0.804,0.0,0.000656,0.020781,ultra_peripheral
STARBUCKS,4,0.000928,-1.0507,0.0,0.000567,0.020152,ultra_peripheral
ENTERPRISE PRODUCTS PARTNERS,1,0.000679,-0.8197,0.0,0.00057,0.020148,ultra_peripheral
RYDER SYSTEM,4,0.000526,-1.0507,0.5,0.000584,0.020317,peripheral
PHILIP MORRIS INTERNATIONAL,0,0.00048,-0.8646,0.0,0.000677,0.020213,ultra_peripheral
ARCONIC,0,0.000393,-0.8809,0.4444,0.00061,0.020335,peripheral
OLIN,3,0.000234,-0.8085,0.4444,0.000598,0.02048,peripheral
EBAY,4,0.000114,-1.0324,0.64,0.000701,0.020391,non_hub_connector
OWENS & MINOR,4,9.8e-05,-1.0507,0.5,0.000589,0.020325,peripheral
BOOKING HOLDINGS,3,4.9e-05,-0.8129,0.0,0.000566,0.020166,ultra_peripheral
LAND O'LAKES,0,4.5e-05,-0.8971,0.5,0.000648,0.020174,peripheral
