firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
TESLA,0,0.098116,-0.1152,0.7706,0.002473,0.04395,non_hub_connector
MONDELEZ INTERNATIONAL,0,0.098102,-0.2006,0.5062,0.001553,0.024175,peripheral
HANESBRANDS,0,0.098102,-0.2006,0.5062,0.001553,0.024175,peripheral
ZOETIS,5,0.098009,-0.767,0.7251,0.001671,0.025914,non_hub_connector
FORD,1,0.097516,-0.4045,0.7745,0.003004,0.054136,non_hub_connector
ALASKA AIR GROUP,2,0.097435,-0.212,0.5827,0.002558,0.051314,peripheral
KOHL'S,1,0.097412,-0.2893,0.7476,0.002323,0.036901,non_hub_connector
UNITED AIRLINES HOLDINGS,2,0.097398,-0.2116,0.6887,0.003076,0.058607,non_hub_connector
QUANTA SERVICES,2,0.096732,-0.4743,0.713,0.003113,0.064082,non_hub_connector
COMCAST,0,0.096268,0.2826,0.7992,0.003344,0.05331,non_hub_connector
AIR PRODUCTS & CHEMICALS,3,0.095985,-0.3375,0.2896,0.001415,0.026161,peripheral
BLACKROCK,1,0.094598,-0.2471,0.5477,0.001913,0.024758,peripheral
BALL,2,0.094362,-0.1022,0.67,0.003144,0.058518,non_hub_connector
CIGNA,4,0.094178,-0.7755,0.7677,0.003023,0.050146,non_hub_connector
AFLAC,4,0.09398,-0.7403,0.8043,0.002773,0.041425,kinless
HARTFORD FINANCIAL SERVICES,1,0.09393,0.2692,0.6498,0.002347,0.033481,non_hub_connector
COMMUNITY HEALTH SYSTEMS,4,0.093697,-0.6741,0.286,0.00137,0.019593,peripheral
CHESAPEAKE ENERGY,3,0.093203,-0.1926,0.7893,0.003233,0.058023,non_hub_connector
JACOBS ENGINEERING GROUP,2,0.092949,-0.466,0.5808,0.002325,0.049371,peripheral
UNITED RENTALS,0,0.092934,-0.1024,0.677,0.002063,0.030576,non_hub_connector
PEPSICO,3,0.092651,-0.1326,0.764,0.002801,0.052231,non_hub_connector
CHEMOURS,3,0.092415,-0.1794,0.791,0.003479,0.059166,non_hub_connector
CITIGROUP,1,0.09238,0.1606,0.7861,0.003599,0.056774,non_hub_connector
SOUTHWEST AIRLINES,2,0.092204,-0.3302,0.533,0.00234,0.046044,peripheral
L BRANDS,0,0.09208,-0.2832,0.4728,0.001484,0.022782,peripheral
AIG,1,0.091634,-0.0393,0.7701,0.002775,0.044118,non_hub_connector
STRYKER,4,0.090948,-0.7662,0.7523,0.002291,0.033386,non_hub_connector
PRUDENTIAL FINANCIAL,1,0.08989,0.165,0.6916,0.002618,0.035897,non_hub_connector
CONAGRA BRANDS,5,0.088885,-0.8305,0.6355,0.001252,0.019326,non_hub_connector
DUPONT DE NEMOURS,3,0.088585,-0.0786,0.7631,0.002807,0.050505,non_hub_connector
NORTHWESTERN MUTUAL,1,0.088024,0.173,0.6741,0.002381,0.033795,non_hub_connector
PVH,5,0.087317,-1.1507,0.0,0.000779,0.013286,ultra_peripheral
SYSCO,0,0.086357,-0.2478,0.7924,0.00253,0.042246,non_hub_connector
STARBUCKS,3,0.08631,-0.3741,0.7988,0.002963,0.053845,non_hub_connector
MCDONALD'S,3,0.085815,-0.1814,0.7579,0.00258,0.045659,non_hub_connector
RAYTHEON,2,0.085435,-0.2501,0.7518,0.003659,0.065351,non_hub_connector
ONEOK,3,0.084747,-0.6008,0.5614,0.001652,0.028927,peripheral
WILLIAMS,3,0.084747,-0.6008,0.5614,0.001652,0.028927,peripheral
EOG RESOURCES,3,0.084161,-0.5853,0.2895,0.001294,0.023814,peripheral
PLAINS GP HOLDINGS,3,0.084071,-0.6008,0.5479,0.001575,0.027163,peripheral
DEVON ENERGY,3,0.084071,-0.6008,0.5479,0.001575,0.027163,peripheral
DEERE,3,0.083977,-0.3682,0.7725,0.002663,0.045833,non_hub_connector
LAND O'LAKES,2,0.083536,-0.7528,0.7397,0.003077,0.05826,non_hub_connector
TARGET,1,0.081932,-0.2626,0.8086,0.003207,0.050365,kinless
SEABOARD,3,0.081348,-0.4256,0.5422,0.001611,0.029494,peripheral
LINCOLN NATIONAL,1,0.081094,0.0283,0.5557,0.002029,0.02589,peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,1,0.081094,0.0283,0.5557,0.002029,0.02589,peripheral
FIDELITY NATIONAL FINANCIAL,1,0.08099,-0.0159,0.6614,0.002294,0.029663,non_hub_connector
ORACLE,5,0.080625,-0.3595,0.7961,0.002489,0.039581,non_hub_connector
CSX,3,0.080405,-0.4992,0.7557,0.002316,0.043079,non_hub_connector
NAVISTAR INTERNATIONAL,2,0.080348,-0.497,0.7632,0.00373,0.06762,non_hub_connector
FIRST AMERICAN FINANCIAL,1,0.080166,-0.1479,0.2917,0.001588,0.019708,peripheral
ARAMARK,0,0.079821,-0.3213,0.8055,0.002763,0.041964,kinless
MARATHON PETROLEUM,0,0.07867,-0.3372,0.7959,0.002732,0.047304,non_hub_connector
SHERWIN-WILLIAMS,3,0.07771,-0.4674,0.7808,0.002743,0.046029,non_hub_connector
ALCOA,5,0.077561,-1.1427,0.7526,0.001483,0.024297,non_hub_connector
ALPHABET,0,0.076361,-0.364,0.8148,0.002824,0.048946,kinless
EBAY,5,0.075871,-0.4279,0.8193,0.002835,0.045918,kinless
AMERICAN AIRLINES GROUP,2,0.075006,-0.7653,0.7553,0.003459,0.061997,non_hub_connector
DEAN FOODS,4,0.074993,-1.0906,0.7617,0.001976,0.030365,non_hub_connector
NAVIENT,1,0.073855,-0.2569,0.6734,0.00213,0.029472,non_hub_connector
HOLLYFRONTIER,0,0.072202,-0.4205,0.533,0.001542,0.022442,peripheral
ALLY FINANCIAL,1,0.071789,-0.2234,0.4411,0.001707,0.021018,peripheral
HENRY SCHEIN,4,0.069983,-1.1782,0.4559,0.00113,0.018698,peripheral
LAS VEGAS SANDS,4,0.069968,-1.2448,0.8125,0.002949,0.051174,kinless
VERIZON,0,0.069782,-0.3983,0.8112,0.002547,0.043337,kinless
PNC FINANCIAL SERVICES,1,0.069113,-0.5442,0.1278,0.001278,0.016624,peripheral
CITIZENS FINANCIAL GROUP,1,0.069113,-0.5442,0.1278,0.001278,0.016624,peripheral
TEXAS INSTRUMENTS,1,0.068931,-0.3567,0.8134,0.003752,0.063975,kinless
VISA,1,0.068222,-0.7007,0.7202,0.001835,0.029595,non_hub_connector
UNIVERSAL HEALTH SERVICES,4,0.067399,-1.3163,0.0,0.000896,0.014963,ultra_peripheral
OWENS & MINOR,4,0.067399,-1.3163,0.0,0.000896,0.014963,ultra_peripheral
MAGELLAN HEALTH,4,0.067399,-1.3163,0.0,0.000896,0.014963,ultra_peripheral
QUALCOMM,0,0.066837,-0.4492,0.8066,0.002369,0.039282,kinless
HP,5,0.066536,-0.6733,0.7943,0.002077,0.033353,non_hub_connector
JEFFERIES FINANCIAL GROUP,1,0.066386,-1.0826,0.0,0.000905,0.014361,ultra_peripheral
REGIONS FINANCIAL,1,0.066386,-1.0826,0.0,0.000905,0.014361,ultra_peripheral
FRANKLIN RESOURCES,0,0.065975,-0.7018,0.6375,0.001364,0.022504,non_hub_connector
AMERICAN FAMILY INSURANCE GROUP,1,0.064809,-0.3097,0.8025,0.003,0.047142,kinless
EMERSON ELECTRIC,5,0.064488,-1.2509,0.8146,0.002453,0.045427,kinless
AMERISOURCEBERGEN,4,0.064286,-1.2115,0.1796,0.00105,0.015786,peripheral
FACEBOOK,5,0.063277,-1.0007,0.8172,0.00209,0.036567,kinless
AMERICAN FINANCIAL GROUP,4,0.062638,-1.3065,0.7128,0.001623,0.021902,non_hub_connector
WALGREENS BOOTS ALLIANCE,4,0.061505,-1.3886,0.8114,0.002512,0.04161,kinless
TIAA,1,0.060877,-0.5267,0.5521,0.001665,0.021974,peripheral
NEW YORK LIFE INSURANCE,5,0.060118,-0.7904,0.8197,0.003084,0.048134,kinless
CHARTER COMMUNICATIONS,0,0.059389,-0.5621,0.256,0.001174,0.017667,peripheral
KEURIG DR PEPPER,3,0.058553,-0.8626,0.8105,0.00242,0.040435,kinless
BOOZ ALLEN HAMILTON,2,0.055848,-1.0927,0.6386,0.002092,0.036605,non_hub_connector
CAPITAL ONE FINANCIAL,1,0.0539,-0.8484,0.7795,0.001974,0.031605,non_hub_connector
ASSURANT,1,0.053467,-0.6828,0.4497,0.001351,0.018972,peripheral
