firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
EVERSOURCE ENERGY,1,0.133788,1.1613,0.7412,0.003791,0.070752,non_hub_connector
NORTHWESTERN MUTUAL,0,0.133484,1.1908,0.6859,0.002786,0.048021,non_hub_connector
GENWORTH FINANCIAL,0,0.133477,1.3469,0.6113,0.0026,0.042013,peripheral
CINTAS,2,0.133383,0.5335,0.7115,0.002311,0.045364,non_hub_connector
LIBERTY MUTUAL INSURANCE GROUP,0,0.133358,1.2012,0.7732,0.003975,0.068865,non_hub_connector
EXELON,1,0.132963,1.2002,0.7566,0.004129,0.076515,non_hub_connector
AMERICAN ELECTRIC POWER,1,0.132921,1.1645,0.7236,0.003524,0.065041,non_hub_connector
PRINCIPAL FINANCIAL,0,0.13282,1.1743,0.7461,0.003342,0.058721,non_hub_connector
LKQ,2,0.132675,0.5076,0.7523,0.002863,0.055616,non_hub_connector
INTUIT,3,0.132579,0.387,0.7897,0.003402,0.062037,non_hub_connector
HOME DEPOT,3,0.132543,0.4858,0.7908,0.003777,0.065944,non_hub_connector
XEROX,0,0.132507,0.895,0.7749,0.003764,0.072286,non_hub_connector
BEST BUY,0,0.132451,1.0169,0.7793,0.004075,0.072074,non_hub_connector
BORGWARNER,2,0.131969,0.4563,0.7746,0.003292,0.063872,non_hub_connector
MOSAIC,2,0.131919,0.4882,0.7672,0.003485,0.067628,non_hub_connector
ALCOA,2,0.131761,0.4524,0.7706,0.003067,0.060146,non_hub_connector
METLIFE,0,0.131555,1.1041,0.7745,0.003866,0.068571,non_hub_connector
KIMBERLY-CLARK,4,0.131438,0.2099,0.7882,0.003671,0.067942,non_hub_connector
BERKSHIRE HATHAWAY,1,0.131318,1.1428,0.7597,0.004131,0.078303,non_hub_connector
OWENS CORNING,1,0.131309,1.1192,0.7421,0.003844,0.072229,non_hub_connector
KRAFT HEINZ,2,0.131246,0.5588,0.7736,0.003072,0.057261,non_hub_connector
AMEREN,1,0.130754,1.0819,0.7404,0.003762,0.06853,non_hub_connector
NEWELL BRANDS,2,0.130537,0.4274,0.7342,0.00241,0.046769,non_hub_connector
GRAPHIC PACKAGING HOLDING,1,0.130453,1.0701,0.7213,0.003424,0.064784,non_hub_connector
PEABODY ENERGY,1,0.130453,1.0701,0.7213,0.003424,0.064784,non_hub_connector
WESTROCK,1,0.130453,1.0701,0.7213,0.003424,0.064784,non_hub_connector
BOOZ ALLEN HAMILTON,3,0.130092,0.2799,0.6901,0.001735,0.029271,non_hub_connector
YUM BRANDS,2,0.12988,0.505,0.7853,0.003623,0.068983,non_hub_connector
CONSTELLATION BRANDS,2,0.129803,0.4261,0.7605,0.002836,0.053098,non_hub_connector
FIRSTENERGY,1,0.129245,1.0351,0.6978,0.003196,0.059257,non_hub_connector
INTERPUBLIC GROUP,3,0.129234,0.3944,0.6394,0.001576,0.025532,non_hub_connector
FACEBOOK,3,0.128957,0.5074,0.7898,0.00299,0.054059,non_hub_connector
ADP,0,0.12884,0.7868,0.7682,0.003435,0.065868,non_hub_connector
GOLDMAN SACHS GROUP,0,0.128818,0.9615,0.7499,0.003379,0.061193,non_hub_connector
L BRANDS,0,0.128656,0.7763,0.7569,0.003214,0.062714,non_hub_connector
AIG,0,0.128331,0.9827,0.7503,0.0034,0.060607,non_hub_connector
BANK OF AMERICA,0,0.12833,1.0204,0.7035,0.002817,0.048916,non_hub_connector
DOMINION ENERGY,1,0.127929,0.9086,0.7304,0.00347,0.065074,non_hub_connector
XCEL ENERGY,1,0.12755,0.9157,0.7556,0.003885,0.072043,non_hub_connector
ALPHABET,3,0.12748,0.3837,0.7989,0.003337,0.060139,non_hub_connector
PRUDENTIAL FINANCIAL,0,0.127128,0.8281,0.7169,0.002782,0.049518,non_hub_connector
NCR,3,0.127042,0.2324,0.7745,0.002668,0.045988,non_hub_connector
DELTA AIR LINES,3,0.126782,0.187,0.7876,0.003436,0.062122,non_hub_connector
COCA-COLA,2,0.126678,0.4788,0.7839,0.003836,0.070991,non_hub_connector
CONSOLIDATED EDISON,1,0.126356,0.8805,0.7131,0.003338,0.060627,non_hub_connector
EASTMAN CHEMICAL,2,0.126015,0.3994,0.7718,0.003449,0.064317,non_hub_connector
CHEMOURS,2,0.125308,0.4104,0.7822,0.003784,0.069823,non_hub_connector
REINSURANCE GROUP OF AMERICA,2,0.125258,0.2622,0.7566,0.002928,0.053743,non_hub_connector
WESCO INTERNATIONAL,0,0.12516,0.6487,0.7596,0.003171,0.062253,non_hub_connector
COSTCO,0,0.12516,0.6487,0.7596,0.003171,0.062253,non_hub_connector
WEC ENERGY GROUP,1,0.12515,0.8266,0.6026,0.002632,0.046974,peripheral
WESTLAKE CHEMICAL,0,0.125142,0.6484,0.7604,0.003221,0.063125,non_hub_connector
SHERWIN-WILLIAMS,2,0.124897,0.4369,0.7761,0.003526,0.065998,non_hub_connector
THERMO FISHER SCIENTIFIC,3,0.124767,0.0735,0.7474,0.002207,0.037184,non_hub_connector
POLARIS INC,2,0.124688,0.2492,0.7442,0.002627,0.048631,non_hub_connector
NEXTERA ENERGY,1,0.12458,0.7658,0.7545,0.003807,0.070296,non_hub_connector
NIKE,2,0.124557,0.2793,0.7869,0.003502,0.066359,non_hub_connector
HESS,0,0.123971,0.6256,0.7757,0.003955,0.076434,non_hub_connector
SYSCO,2,0.123612,0.3063,0.7816,0.003487,0.067407,non_hub_connector
MICROSOFT,3,0.123555,0.3112,0.7918,0.003253,0.059746,non_hub_connector
OSHKOSH,3,0.123036,0.0184,0.6081,0.001377,0.023309,peripheral
AMERICAN AIRLINES GROUP,3,0.122446,0.0557,0.7895,0.003278,0.06267,non_hub_connector
PHILLIPS 66,2,0.122186,0.3643,0.7723,0.003681,0.068426,non_hub_connector
DELEK US HOLDINGS,1,0.122013,0.7667,0.6724,0.002895,0.054511,non_hub_connector
EBAY,3,0.121365,0.2531,0.7911,0.00315,0.057866,non_hub_connector
NORFOLK SOUTHERN,2,0.120902,0.1381,0.7859,0.003403,0.066356,non_hub_connector
HP,3,0.120831,0.1759,0.7824,0.002792,0.05105,non_hub_connector
VISTRA ENERGY,1,0.120676,0.6114,0.7187,0.003276,0.061835,non_hub_connector
CHEVRON,1,0.120563,0.6606,0.7224,0.003322,0.059638,non_hub_connector
WILLIAMS,1,0.119842,0.5754,0.6072,0.00251,0.046747,peripheral
WALT DISNEY,2,0.119579,0.1533,0.788,0.003345,0.062993,non_hub_connector
CMS ENERGY,1,0.119371,0.5923,0.7502,0.003689,0.065768,non_hub_connector
AMERICAN TOWER,2,0.119319,0.1097,0.7864,0.003334,0.062216,non_hub_connector
TYSON FOODS,1,0.119194,0.6391,0.7508,0.003813,0.071846,non_hub_connector
LABORATORY CORP. OF AMERICA,4,0.118862,-0.1881,0.773,0.00255,0.045063,non_hub_connector
TENNECO,2,0.11864,0.1055,0.731,0.002386,0.046581,non_hub_connector
COMMUNITY HEALTH SYSTEMS,4,0.118219,-0.3571,0.2811,0.001221,0.019461,peripheral
CHESAPEAKE ENERGY,2,0.117524,0.0704,0.7693,0.003304,0.063294,non_hub_connector
BOSTON SCIENTIFIC,4,0.117462,-0.1954,0.7926,0.003484,0.064675,non_hub_connector
JPMORGAN CHASE & CO.,0,0.117453,0.6502,0.7725,0.003528,0.063226,non_hub_connector
ADVANCED MICRO DEVICES,2,0.117357,0.0553,0.7403,0.002405,0.045453,non_hub_connector
CUMMINS,1,0.117143,0.448,0.7654,0.00382,0.072061,non_hub_connector
TARGET,4,0.117088,-0.1811,0.7921,0.00387,0.070106,non_hub_connector
SOUTHERN,1,0.117046,0.4733,0.7251,0.003177,0.058656,non_hub_connector
PUBLIX SUPER MARKETS,2,0.116616,0.1478,0.7834,0.003319,0.06314,non_hub_connector
HALLIBURTON,2,0.116615,0.2317,0.736,0.002458,0.045357,non_hub_connector
GAP,2,0.116413,0.1136,0.7711,0.003142,0.060091,non_hub_connector
HARTFORD FINANCIAL SERVICES,0,0.116154,0.6589,0.7076,0.002661,0.04563,non_hub_connector
SPIRIT AEROSYSTEMS HOLDINGS,3,0.116005,-0.16,0.5317,0.001221,0.020235,peripheral
WORLD FUEL SERVICES,3,0.116005,-0.16,0.5317,0.001221,0.020235,peripheral
JABIL,3,0.116005,-0.16,0.5317,0.001221,0.020235,peripheral
ZOETIS,2,0.115526,0.0537,0.6968,0.002015,0.038793,non_hub_connector
PACCAR,1,0.115509,0.4778,0.7416,0.003507,0.066842,non_hub_connector
KROGER,4,0.115388,-0.1757,0.7888,0.003274,0.059071,non_hub_connector
HUNTSMAN,2,0.115007,0.1901,0.7763,0.003497,0.062611,non_hub_connector
UNITED AIRLINES HOLDINGS,3,0.114998,-0.1014,0.7836,0.002931,0.05551,non_hub_connector
PIONEER NATURAL RESOURCES,1,0.114956,0.3678,0.6297,0.002558,0.046461,non_hub_connector
ONEOK,1,0.1148,0.3567,0.5013,0.002129,0.039294,peripheral
ARCHER DANIELS MIDLAND,1,0.114735,0.4439,0.7474,0.003657,0.068652,non_hub_connector
CHENIERE ENERGY,1,0.114144,0.3155,0.7455,0.003597,0.068462,non_hub_connector
MICRON TECHNOLOGY,2,0.113711,-0.0485,0.7809,0.002944,0.056187,non_hub_connector
LOEWS,0,0.113525,0.5361,0.722,0.002739,0.047663,non_hub_connector
PG&E,1,0.113121,0.3569,0.7428,0.003363,0.060756,non_hub_connector
EDISON INTERNATIONAL,1,0.113094,0.2681,0.7361,0.003237,0.059424,non_hub_connector
ARTHUR J. GALLAGHER,0,0.112964,0.3437,0.7625,0.002976,0.056189,non_hub_connector
AFLAC,0,0.112328,0.4541,0.7536,0.00307,0.051724,non_hub_connector
AT&T,2,0.112291,-0.0594,0.7898,0.003342,0.062876,non_hub_connector
DUPONT DE NEMOURS,2,0.112238,0.1113,0.7465,0.002836,0.050868,non_hub_connector
TEXTRON,3,0.112206,-0.1415,0.6436,0.001393,0.02398,non_hub_connector
CELANESE,2,0.111655,-0.0818,0.7278,0.002295,0.044447,non_hub_connector
USAA,0,0.111577,0.5927,0.7702,0.003435,0.056363,non_hub_connector
FLUOR,1,0.111498,0.221,0.7685,0.003676,0.066724,non_hub_connector
HORMEL FOODS,2,0.111223,0.0087,0.778,0.002889,0.054884,non_hub_connector
ARROW ELECTRONICS,3,0.110896,-0.1647,0.6886,0.001497,0.024882,non_hub_connector
DARDEN RESTAURANTS,0,0.11054,0.2215,0.77,0.00306,0.059425,non_hub_connector
STANLEY BLACK & DECKER,1,0.110421,0.2042,0.7737,0.003947,0.072967,non_hub_connector
DEVON ENERGY,1,0.109868,0.1426,0.5582,0.002214,0.041037,peripheral
SALESFORCE,3,0.109801,-0.1873,0.7777,0.002344,0.042615,non_hub_connector
